Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/99;24,5079;23453;959;1,1041;2455,4731;2220;52523
01/07/99;24,5079;23453;959;1,1106;2455,4731;2220;52523
02/07/99;24,5079;23453;959;1,1033;2455,4731;2220;52523
05/07/99;24,5079;23453;959;1,1067;2455,4731;2220;52523
06/07/99;24,5079;23453;959;1,0983;2455,4731;2220;52523
07/07/99;24,5079;23453;959;1,0997;2455,4731;2220;52523
08/07/99;24,5079;23453;959;1,1182;2455,4731;2220;52523
09/07/99;24,5079;23453;959;1,1432;2455,4731;2220;52523
12/07/99;24,5079;23453;959;1,1422;2455,4731;2220;52523
13/07/99;24,5079;23453;959;1,1348;2455,4731;2220;52523
14/07/99;24,5079;23453;959;1,1282;2455,4731;2220;52523
15/07/99;24,5079;23453;959;1,1284;2455,4731;2220;52523
16/07/99;24,5079;23453;959;1,1386;2455,4731;2220;52523
19/07/99;24,5079;23453;959;1,1292;2455,4731;2220;52523
20/07/99;24,5079;23453;959;1,0983;2455,4731;2220;52523
21/07/99;24,5079;23453;959;1,0583;2455,4731;2220;52523
22/07/99;24,5079;23453;959;1,0803;2455,4731;2220;52523
23/07/99;24,5079;23453;959;1,0993;2455,4731;2220;52523
26/07/99;24,5079;23453;959;1,0629;2455,4731;2220;52523
27/07/99;24,5079;23453;959;1,0743;2455,4731;2220;52523
28/07/99;24,5079;23453;959;1,0937;2455,4731;2220;52523
29/07/99;24,5079;23453;959;1,0743;2455,4731;2220;52523
30/07/99;24,5079;23453;959;1,0603;2455,4731;2220;52523
02/08/99;24,5079;23453;959;1,0394;2455,4731;2220;52523
03/08/99;24,5079;23453;959;1,0455;2455,4731;2220;52523
04/08/99;24,5079;23453;959;1,033;2455,4731;2220;52523
05/08/99;24,5079;23453;959;1,0154;2455,4731;2220;52523
06/08/99;24,5079;23453;959;1,0334;2455,4731;2220;52523
09/08/99;24,5079;23453;959;1,0503;2455,4731;2220;52523
10/08/99;24,5079;23453;959;1,0713;2455,4731;2220;52523
11/08/99;24,5079;23453;959;1,0781;2455,4731;2220;52523
12/08/99;24,5079;23453;959;1,0823;2455,4731;2220;52523
13/08/99;24,5079;23453;959;1,0943;2455,4731;2220;52523
16/08/99;24,5079;23453;959;1,0903;2455,4731;2220;52523
17/08/99;24,5079;23453;959;1,0841;2455,4731;2220;52523
18/08/99;24,5079;23453;959;1,0673;2455,4731;2220;52523
19/08/99;24,5079;23453;959;1,0555;2455,4731;2220;52523
20/08/99;24,5079;23453;959;1,0763;2455,4731;2220;52523
23/08/99;24,5079;23453;959;1,0779;2455,4731;2220;52523
24/08/99;24,5079;23453;959;1,0683;2455,4731;2220;52523
25/08/99;24,5079;23453;959;1,0773;2455,4731;2220;52523
26/08/99;24,5079;23453;959;1,0567;2455,4731;2220;52523
27/08/99;24,5079;23453;959;1,0561;2455,4731;2220;52523
30/08/99;24,5079;23453;959;1,0553;2455,4731;2220;52523
31/08/99;24,5079;23453;959;1,0483;2455,4731;2220;52523
01/09/99;24,5079;23453;959;1,0404;2455,4731;2220;52523
02/09/99;24,5079;23453;959;1,0374;2455,4731;2220;52523
03/09/99;24,5079;23453;959;1,0224;2455,4731;2220;52523
06/09/99;24,5079;23453;959;1,04;2455,4731;2220;52523
07/09/99;24,5079;23453;959;1,0302;2455,4731;2220;52523
08/09/99;24,5079;23453;959;1,0084;2455,4731;2220;52523
09/09/99;24,5079;23453;959;1,0214;2455,4731;2220;52523
10/09/99;24,5079;23453;959;1,0004;2455,4731;2220;52523
13/09/99;24,5079;23453;959;1,0004;2455,4731;2220;52523
14/09/99;24,5079;23453;959;0,9906;2455,4731;2220;52523
15/09/99;24,5079;23453;959;0,9964;2455,4731;2220;52523
16/09/99;24,5079;23453;959;0,9972;2455,4731;2220;52523
17/09/99;24,5079;23453;959;0,9886;2455,4731;2220;52523
20/09/99;24,5079;23453;959;0,9874;2455,4731;2220;52523
21/09/99;24,5079;23453;959;0,9773;2455,4731;2220;52523
22/09/99;24,5079;23453;959;0,9295;2455,4731;2220;52523
23/09/99;24,5079;23453;959;0,9365;2455,4731;2220;52523
24/09/99;24,5079;23453;959;0,9295;2455,4731;2220;52523
27/09/99;24,5079;23453;959;0,9475;2455,4731;2220;52523
28/09/99;24,5079;23453;959;0,9445;2455,4731;2220;52523
29/09/99;24,5079;23453;959;0,9585;2455,4731;2220;52523
30/09/99;24,5149;23921;499;0,9299;2142,7363;2284;53388
01/10/99;24,5149;23921;499;0,9394;2142,7363;2284;53388
04/10/99;24,5149;23921;499;0,9394;2142,7363;2284;53388
05/10/99;24,5149;23921;499;0,9472;2142,7363;2284;53388
06/10/99;24,5149;23921;499;0,9522;2142,7363;2284;53388
07/10/99;24,5149;23921;499;0,9481;2142,7363;2284;53388
08/10/99;24,5149;23921;499;0,9491;2142,7363;2284;53388
11/10/99;24,5149;23921;499;0,9433;2142,7363;2284;53388
12/10/99;24,5149;23921;499;0,9345;2142,7363;2284;53388
13/10/99;24,5149;23921;499;0,9301;2142,7363;2284;53388
14/10/99;24,5149;23921;499;0,9297;2142,7363;2284;53388
15/10/99;24,5149;23921;499;0,9287;2142,7363;2284;53388
18/10/99;24,5149;23921;499;0,9423;2142,7363;2284;53388
19/10/99;24,5149;23921;499;0,9473;2142,7363;2284;53388
20/10/99;24,5149;23921;499;0,951;2142,7363;2284;53388
21/10/99;24,5149;23921;499;0,9549;2142,7363;2284;53388
22/10/99;24,5149;23921;499;0,9536;2142,7363;2284;53388
25/10/99;24,5149;23921;499;0,9452;2142,7363;2284;53388
26/10/99;24,5149;23921;499;0,94685;2142,7363;2284;53388
27/10/99;24,5149;23921;499;0,9485;2142,7363;2284;53388
28/10/99;24,5149;23921;499;0,9617;2142,7363;2284;53388
29/10/99;24,5149;23921;499;0,972;2142,7363;2284;53388
02/11/99;24,5149;23921;499;0,9957;2142,7363;2284;53388
03/11/99;24,5149;23921;499;1,0005;2142,7363;2284;53388
04/11/99;24,5149;23921;499;0,9899;2142,7363;2284;53388
05/11/99;24,5149;23921;499;1,0054;2142,7363;2284;53388
08/11/99;24,5149;23921;499;0,9932;2142,7363;2284;53388
09/11/99;24,5149;23921;499;0,9879;2142,7363;2284;53388
10/11/99;24,5149;23921;499;0,9854;2142,7363;2284;53388
11/11/99;24,5149;23921;499;0,9937;2142,7363;2284;53388
12/11/99;24,5149;23921;499;0,9945;2142,7363;2284;53388
15/11/99;24,5149;23921;499;0,9869;2142,7363;2284;53388
16/11/99;24,5149;23921;499;0,9996;2142,7363;2284;53388
17/11/99;24,5149;23921;499;0,985;2142,7363;2284;53388
18/11/99;24,5149;23921;499;1,0081;2142,7363;2284;53388
19/11/99;24,5149;23921;499;1,0044;2142,7363;2284;53388
22/11/99;24,5149;23921;499;0,9802;2142,7363;2284;53388
23/11/99;24,5149;23921;499;0,9743;2142,7363;2284;53388
24/11/99;24,5149;23921;499;0,9714;2142,7363;2284;53388
25/11/99;24,5149;23921;499;0,9656;2142,7363;2284;53388
26/11/99;24,5149;23921;499;0,9532;2142,7363;2284;53388
29/11/99;24,5149;23921;499;0,953;2142,7363;2284;53388
30/11/99;24,5149;23921;499;0,9277;2142,7363;2284;53388
01/12/99;24,5149;23921;499;0,893;2142,7363;2284;53388
02/12/99;24,5149;23921;499;0,8773;2142,7363;2284;53388
03/12/99;24,5149;23921;499;0,9093;2142,7363;2284;53388
06/12/99;24,5149;23921;499;0,8753;2142,7363;2284;53388
07/12/99;24,5149;23921;499;0,8792;2142,7363;2284;53388
09/12/99;24,5149;23921;499;0,8489;2142,7363;2284;53388
10/12/99;24,5149;23921;499;0,8757;2142,7363;2284;53388
13/12/99;24,5149;23921;499;0,8734;2142,7363;2284;53388
14/12/99;24,5149;23921;499;0,8653;2142,7363;2284;53388
15/12/99;24,5149;23921;499;0,8346;2142,7363;2284;53388
16/12/99;24,5149;23921;499;0,8297;2142,7363;2284;53388
17/12/99;24,5149;23921;499;0,8346;2142,7363;2284;53388
20/12/99;24,5149;23921;499;0,8354;2142,7363;2284;53388
21/12/99;24,5149;23921;499;0,8928;2142,7363;2284;53388
22/12/99;24,5149;23921;499;0,9015;2142,7363;2284;53388
23/12/99;24,5149;23921;499;0,9103;2142,7363;2284;53388
27/12/99;24,5149;23921;499;0,9093;2142,7363;2284;53388
28/12/99;24,5149;23921;499;0,8783;2142,7363;2284;53388
29/12/99;29,0648;20273,3008;940;1,3585;1967,8647;1435,8;50579,5996
03/01/00;29,0648;20273,3008;940;1,4131;1967,8647;1435,8;50579,5996
04/01/00;29,0648;20273,3008;940;1,4094;1967,8647;1435,8;50579,5996
05/01/00;29,0648;20273,3008;940;1,3875;1967,8647;1435,8;50579,5996
07/01/00;29,0648;20273,3008;940;1,4511;1967,8647;1435,8;50579,5996
10/01/00;29,0648;20273,3008;940;1,469;1967,8647;1435,8;50579,5996
11/01/00;29,0648;20273,3008;940;1,4462;1967,8647;1435,8;50579,5996
12/01/00;29,0648;20273,3008;940;1,4431;1967,8647;1435,8;50579,5996
13/01/00;29,0648;20273,3008;940;1,4468;1967,8647;1435,8;50579,5996
14/01/00;29,0648;20273,3008;940;1,4573;1967,8647;1435,8;50579,5996
17/01/00;29,0648;20273,3008;940;1,4527;1967,8647;1435,8;50579,5996
18/01/00;29,0648;20273,3008;940;1,4419;1967,8647;1435,8;50579,5996
19/01/00;29,0648;20273,3008;940;1,3955;1967,8647;1435,8;50579,5996
20/01/00;29,0648;20273,3008;940;1,3526;1967,8647;1435,8;50579,5996
21/01/00;29,0648;20273,3008;940;1,3217;1967,8647;1435,8;50579,5996
24/01/00;29,0648;20273,3008;940;1,3671;1967,8647;1435,8;50579,5996
25/01/00;29,0648;20273,3008;940;1,3313;1967,8647;1435,8;50579,5996
26/01/00;29,0648;20273,3008;940;1,3786;1967,8647;1435,8;50579,5996
27/01/00;29,0648;20273,3008;940;1,3647;1967,8647;1435,8;50579,5996
28/01/00;29,0648;20273,3008;940;1,3356;1967,8647;1435,8;50579,5996
31/01/00;29,0648;20273,3008;940;1,2832;1967,8647;1435,8;50579,5996
01/02/00;29,0648;20273,3008;940;1,2643;1967,8647;1435,8;50579,5996
02/02/00;29,0648;20273,3008;940;1,2612;1967,8647;1435,8;50579,5996
