Year,Quarter,MVA,DELTA_MVA
1999,3,60062.619989337414,-0.0019254255086330544
1999,4,52618.29780431085,-0.12394268159377848
2000,1,57453.86113564979,0.09189889322004594
2000,2,74070.79910436744,0.2892223018655735
2000,3,74769.25769344605,0.009429607855242213
2000,4,101588.99029419184,0.3586999982092465
2001,1,101542.87417524328,-0.00045394799982763503
2001,2,121890.15639938138,0.20038119256918643
2001,3,133736.65662066304,0.09718996653401443
2001,4,122507.7270299543,-0.08396299021112066
2002,1,135438.34070264938,0.1055493721594673
2002,2,203021.36194884052,0.4989947521179955
2002,3,291573.2669849962,0.4361703822008146
2002,4,220520.46832893134,-0.24368763086816567
2003,1,177902.79243309228,-0.19325950202622438
2003,2,192574.91851750916,0.0824727137992223
2003,3,231199.77028098257,0.20057052112921753
2003,4,262817.8253150574,0.13675642928039536
2004,1,265789.97016266064,0.01130876432768711
2004,2,318051.07739177375,0.19662558070618644
2004,3,336313.361688866,0.057419344235067137
2004,4,344919.0022326251,0.025588161292623424
2005,1,386579.6818715792,0.12078395034570097
2005,2,402369.01985080633,0.04084368299643929
2005,3,413132.4230828622,0.02675007940732324
2005,4,441921.9220081933,0.06968588596968271
2006,1,416801.464282518,-0.0568436560275675
2006,2,420101.35247570777,0.007917170346006763
2006,3,314783.5213374715,-0.2506962439363397
2006,4,349773.4647007778,0.11115557515412139
2007,1,416148.32788373425,0.18976529062814546
2007,2,421877.46718098555,0.013767060716994966
2007,3,423578.772421382,0.004032699949027161
2007,4,396609.5933364768,-0.0636698079338024
2008,1,338973.3159660098,-0.1453224489241474
2008,2,308478.1968381826,-0.08996318498086468
2008,3,299072.8507876154,-0.03048950022066195
2008,4,245923.9107081988,-0.17771235315892978
2009,1,107856.79018581797,-0.5614221086708582
2009,2,96037.7814360275,-0.10958057188081007
2009,3,130806.86850966711,0.36203550887730507
2009,4,190133.49983666,0.45354370151142653
2010,1,160943.68153177763,-0.1535227528550138
2010,2,184591.40225246458,0.1469316502246024
2010,3,158695.18920505358,-0.1402893782235475
2010,4,175801.98562183787,0.10779656587245512
2011,1,197880.11706152197,0.1255852222691937
2011,2,199411.06465881388,0.007736742933176672
2011,3,199526.1051697247,0.0005769013424990025
2011,4,121686.52790040393,-0.3901222709835757
2012,1,90231.35245110949,-0.2584934913669275
2012,2,111397.65154208688,0.23457809858769477
2012,3,95712.17711322953,-0.1408061499656594
2012,4,110867.95366388171,0.15834742253039108
2013,1,150463.7138664401,0.3571434205649799
2013,2,135235.91405372895,-0.10120579521404209
2013,3,127596.64526737128,-0.056488461957839145
2013,4,163825.5839675032,0.283933316775032
2014,1,185496.1454646225,0.13227824966226237
2014,2,182850.65677868837,-0.014261690879386375
2014,3,179816.0282133043,-0.016596213646949107
2014,4,146770.14302202,-0.18377608225271258
2015,1,157229.51449044578,0.07126361842446773
2015,2,187085.06025821515,0.18988512344216116
2015,3,203369.82580142506,0.08704471388968017
2015,4,202217.77057817756,-0.005664828686888855
2016,1,218706.41057593873,0.08153902572764568
2016,2,183808.78744285105,-0.15956378709333993
2016,3,150166.83970612584,-0.18302687376785512
