Date;PX_LAST
05/12/97;10,963
09/12/97;10,945
10/12/97;10,942
11/12/97;10,927
12/12/97;10,918
15/12/97;10,908
16/12/97;10,883
17/12/97;10,874
18/12/97;10,961
19/12/97;11,479
22/12/97;11,123
23/12/97;11,141
29/12/97;11,087
30/12/97;11,203
02/01/98;11,212
05/01/98;11,212
07/01/98;11,087
08/01/98;11,168
09/01/98;11,07
12/01/98;10,981
13/01/98;11,07
14/01/98;11,034
15/01/98;11,105
16/01/98;11,194
19/01/98;11,461
20/01/98;11,888
21/01/98;11,604
22/01/98;11,541
23/01/98;11,479
26/01/98;11,479
27/01/98;11,497
28/01/98;11,637
29/01/98;11,764
30/01/98;11,835
02/02/98;11,746
03/02/98;11,835
04/02/98;11,924
05/02/98;11,817
06/02/98;11,826
09/02/98;11,871
10/02/98;11,785
11/02/98;12,191
12/02/98;12,173
13/02/98;12,333
16/02/98;12,44
17/02/98;12,547
18/02/98;12,796
19/02/98;13,081
20/02/98;13,241
23/02/98;14,042
24/02/98;13,873
25/02/98;14,149
26/02/98;14,504
27/02/98;13,971
02/03/98;14,06
03/03/98;14,202
04/03/98;13,971
05/03/98;13,793
06/03/98;13,935
09/03/98;13,935
10/03/98;13,846
11/03/98;13,526
12/03/98;13,152
13/03/98;13,116
16/03/98;13,081
17/03/98;13,348
18/03/98;13,543
19/03/98;13,383
20/03/98;13,348
23/03/98;13,437
24/03/98;13,437
25/03/98;13,704
26/03/98;13,641
27/03/98;13,864
30/03/98;13,935
31/03/98;13,828
01/04/98;13,899
02/04/98;14,113
03/04/98;14,238
06/04/98;14,682
07/04/98;14,665
08/04/98;14,522
09/04/98;14,451
14/04/98;14,504
15/04/98;14,681
16/04/98;14,593
17/04/98;14,273
20/04/98;14,504
21/04/98;15,003
22/04/98;15,305
23/04/98;15,11
24/04/98;14,949
27/04/98;14,625
28/04/98;14,38
29/04/98;14,273
30/04/98;14,487
04/05/98;14,647
05/05/98;14,513
06/05/98;14,576
07/05/98;14,46
08/05/98;14,451
11/05/98;14,238
12/05/98;14,326
13/05/98;14,326
14/05/98;13,917
15/05/98;13,73
18/05/98;13,704
19/05/98;13,882
20/05/98;13,971
22/05/98;13,971
25/05/98;13,971
26/05/98;14,006
27/05/98;13,615
28/05/98;13,641
29/05/98;13,543
02/06/98;13,882
03/06/98;13,935
04/06/98;13,704
05/06/98;13,597
08/06/98;14,06
09/06/98;14,131
10/06/98;13,704
12/06/98;13,704
15/06/98;13,472
16/06/98;13,526
17/06/98;13,606
18/06/98;13,223
19/06/98;13,027
22/06/98;12,636
23/06/98;12,563
24/06/98;12,573
25/06/98;13,079
26/06/98;13,099
29/06/98;13,615
30/06/98;13,704
01/07/98;14,184
02/07/98;14,006
03/07/98;14,093
06/07/98;14,024
07/07/98;14,202
08/07/98;13,931
09/07/98;14,006
10/07/98;13,615
13/07/98;13,606
14/07/98;13,766
15/07/98;13,855
16/07/98;13,725
17/07/98;13,597
20/07/98;13,821
21/07/98;13,81
22/07/98;13,784
23/07/98;13,721
24/07/98;13,775
27/07/98;13,767
28/07/98;13,579
29/07/98;13,526
30/07/98;13,543
31/07/98;13,419
03/08/98;12,796
04/08/98;12,796
05/08/98;12,707
