Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/01;20,5797;2763,2991;3978,2971;3,1697;7978,2385;2517,0541;45545,9473
02/07/01;20,5797;2763,2991;3978,2971;3,1642;7978,2385;2517,0541;45545,9473
03/07/01;20,5797;2763,2991;3978,2971;3,0772;7978,2385;2517,0541;45545,9473
04/07/01;20,5797;2763,2991;3978,2971;3,0211;7978,2385;2517,0541;45545,9473
05/07/01;20,5797;2763,2991;3978,2971;2,9866;7978,2385;2517,0541;45545,9473
06/07/01;20,5797;2763,2991;3978,2971;2,9866;7978,2385;2517,0541;45545,9473
09/07/01;20,5797;2763,2991;3978,2971;2,829;7978,2385;2517,0541;45545,9473
10/07/01;20,5797;2763,2991;3978,2971;2,7257;7978,2385;2517,0541;45545,9473
11/07/01;20,5797;2763,2991;3978,2971;2,5861;7978,2385;2517,0541;45545,9473
12/07/01;20,5797;2763,2991;3978,2971;2,6659;7978,2385;2517,0541;45545,9473
13/07/01;20,5797;2763,2991;3978,2971;2,5082;7978,2385;2517,0541;45545,9473
16/07/01;20,5797;2763,2991;3978,2971;2,4013;7978,2385;2517,0541;45545,9473
17/07/01;20,5797;2763,2991;3978,2971;2,4647;7978,2385;2517,0541;45545,9473
18/07/01;20,5797;2763,2991;3978,2971;2,5897;7978,2385;2517,0541;45545,9473
19/07/01;20,5797;2763,2991;3978,2971;2,7692;7978,2385;2517,0541;45545,9473
20/07/01;20,5797;2763,2991;3978,2971;2,6314;7978,2385;2517,0541;45545,9473
23/07/01;20,5797;2763,2991;3978,2971;2,7547;7978,2385;2517,0541;45545,9473
24/07/01;20,5797;2763,2991;3978,2971;2,7963;7978,2385;2517,0541;45545,9473
25/07/01;20,5797;2763,2991;3978,2971;2,7927;7978,2385;2517,0541;45545,9473
26/07/01;20,5797;2763,2991;3978,2971;2,829;7978,2385;2517,0541;45545,9473
27/07/01;20,5797;2763,2991;3978,2971;2,8507;7978,2385;2517,0541;45545,9473
30/07/01;20,5797;2763,2991;3978,2971;2,7655;7978,2385;2517,0541;45545,9473
31/07/01;20,5797;2763,2991;3978,2971;2,809;7978,2385;2517,0541;45545,9473
01/08/01;20,5797;2763,2991;3978,2971;2,8272;7978,2385;2517,0541;45545,9473
02/08/01;20,5797;2763,2991;3978,2971;2,9069;7978,2385;2517,0541;45545,9473
03/08/01;20,5797;2763,2991;3978,2971;2,9776;7978,2385;2517,0541;45545,9473
06/08/01;20,5797;2763,2991;3978,2971;2,9848;7978,2385;2517,0541;45545,9473
07/08/01;20,5797;2763,2991;3978,2971;2,8217;7978,2385;2517,0541;45545,9473
08/08/01;20,5797;2763,2991;3978,2971;2,7528;7978,2385;2517,0541;45545,9473
09/08/01;20,5797;2763,2991;3978,2971;2,7528;7978,2385;2517,0541;45545,9473
10/08/01;20,5797;2763,2991;3978,2971;2,7202;7978,2385;2517,0541;45545,9473
13/08/01;20,5797;2763,2991;3978,2971;2,7275;7978,2385;2517,0541;45545,9473
14/08/01;20,5797;2763,2991;3978,2971;2,7746;7978,2385;2517,0541;45545,9473
16/08/01;20,5797;2763,2991;3978,2971;2,838;7978,2385;2517,0541;45545,9473
17/08/01;20,5797;2763,2991;3978,2971;2,8253;7978,2385;2517,0541;45545,9473
20/08/01;20,5797;2763,2991;3978,2971;2,8507;7978,2385;2517,0541;45545,9473
