Year,Quarter,MVA,DELTA_MVA
2001,3,163165.775129155,-0.006236562873108588
2001,4,103010.74237491918,-0.3686743295683159
2002,1,129639.57963364798,0.2585054397706421
2002,2,112780.12146575042,-0.13004869512490835
2002,3,91468.52737752853,-0.1889658728084797
2002,4,70339.29721945261,-0.23100000365007334
2003,1,69414.65246320728,-0.013145493241999734
2003,2,47209.32168367674,-0.3198939991999573
2003,3,81052.68977139576,0.7168789315484027
2003,4,89489.0881981986,0.10408536040688099
2004,1,103269.04546225708,0.1539847767086297
2004,2,112575.53347296595,0.09011885380610221
2004,3,130801.03724371085,0.16189577973549282
2004,4,138576.39600983082,0.05944416749259245
2005,1,168723.1405706339,0.2175460282475843
2005,2,177088.5967849596,0.049580965515655565
2005,3,185826.12031247164,0.04933984280265146
2005,4,205001.30937671458,0.1031888791091335
2006,1,193117.50456192988,-0.057969409321902324
2006,2,201096.40139308845,0.04131627968815155
2006,3,205942.63969927575,0.024099080205389787
2006,4,184603.84208923392,-0.10361524763012385
2007,1,158949.26973060655,-0.13897095568697018
2007,2,188292.03735377218,0.18460460795382636
2007,3,218711.00172428583,0.16155204860501368
2007,4,232583.10849930858,0.06342665282339285
2008,1,246192.7606826095,0.05851522181087966
2008,2,184657.26095047206,-0.2499484532425741
2008,3,166395.5452317322,-0.09889519439822052
2008,4,161136.31575410717,-0.031606792539431924
2009,1,83384.59012992945,-0.4825214307544817
2009,2,88475.65835881265,0.06105526477914356
2009,3,160944.13004068602,0.8190780721628292
2009,4,201668.70739669784,0.25303549340828274
2010,1,140857.3485184774,-0.3015408769323831
2010,2,123608.75824046756,-0.12245431608239596
2010,3,79855.4731075422,-0.35396589817533836
2010,4,67588.8256267562,-0.1536106043009273
2011,1,79794.67743623267,0.18058978975134873
2011,2,74367.75567715046,-0.0680110745910226
2011,3,61504.62923719961,-0.17296644658463256
2011,4,37863.20306722498,-0.38438450021052517
2012,1,47725.95392380885,0.2604837958128594
2012,2,56182.61732099728,0.17719212926972402
2012,3,41375.88814573371,-0.2635464469493451
2012,4,55897.565318137735,0.35096955795259127
2013,1,93896.94365252579,0.6798038182542802
2013,2,27831.58121748122,-0.7035943861977604
2013,3,233133.1022937872,7.376566910519427
2013,4,112170.43445564907,-0.5188566816466272
2014,1,147023.29195322012,0.3107134038190026
2014,2,145369.19099289764,-0.01125060484191024
2014,3,115612.40859865899,-0.2046979981865104
2014,4,84614.13330931147,-0.2681223898461975
2015,1,57888.092765898175,-0.3158578773798324
2015,2,47920.089691088506,-0.17219435981628697
2015,3,57444.77342944771,0.19876180949908512
2015,4,22144.557201926098,-0.6145070146525425
2016,1,44243.22151612741,0.9979275770878454
2016,2,27865.133763041544,-0.3701829837846634
2016,3,21236.756772205903,-0.23787350339681765
