Date;PX_LAST
03/01/95;155,3159
04/01/95;157,3071
05/01/95;156,9089
09/01/95;158,2364
10/01/95;157,5726
11/01/95;156,6434
12/01/95;156,6434
13/01/95;151,3335
16/01/95;150,8025
18/01/95;146,82
19/01/95;148,0147
20/01/95;148,2802
23/01/95;153,3247
24/01/95;155,9797
25/01/95;155,0504
26/01/95;155,3159
27/01/95;154,3867
30/01/95;151,2007
31/01/95;148,0147
01/02/95;148,0147
02/02/95;150,006
03/02/95;148,0147
06/02/95;145,758
07/02/95;145,8908
08/02/95;142,0411
09/02/95;144,3642
10/02/95;149,3422
13/02/95;153,3247
14/02/95;153,9884
15/02/95;155,0504
16/02/95;155,0504
17/02/95;150,006
20/02/95;144,696
21/02/95;148,0147
22/02/95;146,0235
23/02/95;146,1563
24/02/95;145,9571
27/02/95;146,4218
28/02/95;145,758
01/03/95;146,289
02/03/95;144,696
03/03/95;144,0323
07/03/95;146,0235
08/03/95;143,634
09/03/95;140,7136
10/03/95;140,7136
13/03/95;140,4481
14/03/95;138,3241
15/03/95;137,6603
16/03/95;137,7267
17/03/95;137,8595
20/03/95;136,7311
21/03/95;139,2533
22/03/95;138,8551
23/03/95;137,1294
24/03/95;137,4612
27/03/95;137,3948
28/03/95;136,7311
29/03/95;136,0674
31/03/95;140,7136
03/04/95;142,7048
04/04/95;139,9171
05/04/95;140,0498
06/04/95;139,4525
07/04/95;141,3109
10/04/95;140,5808
11/04/95;139,3197
12/04/95;138,7223
13/04/95;138,3905
14/04/95;138,5232
17/04/95;138,7887
18/04/95;139,187
19/04/95;143,3685
20/04/95;143,9659
25/04/95;147,0855
26/04/95;146,0235
27/04/95;144,3642
28/04/95;145,8908
02/05/95;151,3335
03/05/95;152,6609
04/05/95;155,3159
08/05/95;174,9096
09/05/95;179,2107
10/05/95;173,9007
11/05/95;175,892
18/05/95;177,6177
19/05/95;177,4849
22/05/95;176,0247
23/05/95;174,6972
24/05/95;172,706
25/05/95;173,768
26/05/95;174,6972
29/05/95;173,1042
01/06/95;172,3077
02/06/95;171,1794
05/06/95;173,3034
06/06/95;172,5732
08/06/95;172,5732
09/06/95;175,2282
13/06/95;178,5469
14/06/95;180,5382
15/06/95;184,5206
16/06/95;172,7724
19/06/95;172,5732
20/06/95;168,5908
21/06/95;166,0686
22/06/95;162,6835
23/06/95;165,3384
26/06/95;167,396
27/06/95;165,9358
28/06/95;162,6835
29/06/95;163,2808
30/06/95;163,0153
03/07/95;165,9358
04/07/95;165,9358
05/07/95;167,2633
06/07/95;167,2633
07/07/95;167,6615
10/07/95;167,396
11/07/95;166,7987
12/07/95;165,9358
13/07/95;165,6703
14/07/95;167,927
17/07/95;167,4624
18/07/95;168,458
19/07/95;168,1925
20/07/95;166,2013
21/07/95;166,9978
24/07/95;168,5908
25/07/95;168,7235
26/07/95;168,5244
27/07/95;168,2589
28/07/95;169,2545
31/07/95;170,4493
01/08/95;175,1618
02/08/95;180,5382
03/08/95;179,2107
04/08/95;178,8788
07/08/95;182,463
08/08/95;183,9896
09/08/95;185,0516
10/08/95;184,1887
11/08/95;182,1975
16/08/95;181,3347
17/08/95;180,2727
18/08/95;176,9539
21/08/95;173,9007
22/08/95;174,1662
23/08/95;175,2282
24/08/95;175,2282
25/08/95;173,9007
28/08/95;175,1618
29/08/95;173,9007
30/08/95;172,706
31/08/95;173,4361
01/09/95;177,8832
04/09/95;180,4718
05/09/95;177,8832
06/09/95;173,9007
07/09/95;173,3697
08/09/95;173,237
11/09/95;169,52
12/09/95;166,865
13/09/95;169,52
14/09/95;166,865
15/09/95;163,3472
18/09/95;161,6879
19/09/95;161,4224
20/09/95;160,4931
21/09/95;160,2276
22/09/95;160,7586
25/09/95;160,2276
26/09/95;159,2984
27/09/95;155,3159
28/09/95;157,108
29/09/95;157,3735
02/10/95;158,3691
03/10/95;153,4574
04/10/95;151,9972
05/10/95;146,1563
06/10/95;152,4618
09/10/95;151,9972
10/10/95;150,6697
11/10/95;150,006
12/10/95;146,82
13/10/95;146,0235
16/10/95;148,0147
17/10/95;157,7718
18/10/95;161,1569
19/10/95;158,17
20/10/95;158,6346
23/10/95;158,6346
24/10/95;156,6434
25/10/95;155,9797
26/10/95;156,6434
27/10/95;155,9797
30/10/95;154,5194
31/10/95;153,7229
01/11/95;154,6522
02/11/95;153,9884
03/11/95;151,2007
06/11/95;149,8732
07/11/95;150,4042
08/11/95;150,4042
09/11/95;150,537
10/11/95;149,6077
13/11/95;148,413
14/11/95;146,6873
15/11/95;147,6829
16/11/95;147,6829
17/11/95;146,5545
20/11/95;144,696
21/11/95;142,0411
22/11/95;146,6873
23/11/95;149,8732
24/11/95;148,6785
27/11/95;149,3422
28/11/95;147,351
29/11/95;148,0147
30/11/95;148,6785
01/12/95;152,0636
04/12/95;161,7542
05/12/95;164,4092
06/12/95;161,9533
07/12/95;160,6259
08/12/95;158,6346
11/12/95;156,7762
12/12/95;156,6434
13/12/95;155,6478
14/12/95;156,577
15/12/95;156,577
18/12/95;155,0504
19/12/95;155,1832
20/12/95;156,577
21/12/95;156,3779
22/12/95;158,6346
27/12/95;157,3071
28/12/95;158,6346
29/12/95;160,4267
02/01/96;156,6434
03/01/96;154,6522
04/01/96;155,9797
05/01/96;158,6346
08/01/96;162,4843
09/01/96;162,3516
10/01/96;164,6083
11/01/96;165,8031
12/01/96;165,2721
15/01/96;166,7323
16/01/96;168,5908
17/01/96;170,582
18/01/96;171,2458
19/01/96;177,8832
22/01/96;181,9984
23/01/96;178,2151
24/01/96;174,8963
25/01/96;175,4273
26/01/96;177,5513
29/01/96;180,2063
30/01/96;174,83
31/01/96;179,2107
01/02/96;177,2194
02/02/96;175,2282
05/02/96;173,237
06/02/96;173,1706
07/02/96;172,9715
08/02/96;173,9007
09/02/96;172,175
12/02/96;170,4493
13/02/96;169,9183
14/02/96;172,4405
15/02/96;171,2458
16/02/96;173,6352
19/02/96;177,7504
20/02/96;179,8744
21/02/96;175,2946
22/02/96;175,9583
23/02/96;177,6177
27/02/96;179,2107
28/02/96;184,5206
29/02/96;189,8306
01/03/96;189,8969
04/03/96;191,1581
05/03/96;188,5031
06/03/96;185,8481
07/03/96;184,9189
08/03/96;182,2639
11/03/96;185,8481
12/03/96;185,7154
13/03/96;185,7817
14/03/96;185,1844
15/03/96;185,3835
18/03/96;182,1311
19/03/96;179,3434
20/03/96;179,808
21/03/96;179,8744
22/03/96;179,8744
26/03/96;185,5826
27/03/96;184,6534
28/03/96;184,4542
29/03/96;185,7817
01/04/96;184,6534
02/04/96;181,2019
03/04/96;181,2019
04/04/96;172,8387
05/04/96;170,7148
08/04/96;168,1262
09/04/96;164,4092
10/04/96;167,927
11/04/96;168,3253
16/04/96;168,5908
17/04/96;167,2633
18/04/96;164,5419
19/04/96;161,9533
22/04/96;159,2984
23/04/96;156,1124
24/04/96;155,9797
25/04/96;155,4487
26/04/96;153,8557
29/04/96;153,8557
30/04/96;156,5107
02/05/96;156,5107
03/05/96;155,3159
06/05/96;154,7849
07/05/96;154,7849
08/05/96;155,3159
09/05/96;156,6434
10/05/96;156,6434
13/05/96;156,6434
14/05/96;155,6478
15/05/96;155,3159
16/05/96;156,2452
17/05/96;159,2984
20/05/96;159,232
21/05/96;159,2984
22/05/96;159,763
23/05/96;159,9621
24/05/96;161,0241
27/05/96;167,927
28/05/96;168,5908
29/05/96;165,4048
30/05/96;166,9978
31/05/96;170,582
04/06/96;174,4981
05/06/96;171,8431
06/06/96;170,7811
07/06/96;172,5732
10/06/96;175,2282
11/06/96;175,2282
12/06/96;173,237
13/06/96;172,4405
14/06/96;172,3741
17/06/96;172,5732
18/06/96;172,5732
19/06/96;173,9007
20/06/96;160,6259
21/06/96;157,3735
24/06/96;156,6434
25/06/96;157,9709
27/06/96;158,5019
28/06/96;157,0416
01/07/96;160,6259
02/07/96;159,2984
03/07/96;158,0373
04/07/96;158,701
05/07/96;159,2984
08/07/96;159,2984
09/07/96;161,887
10/07/96;163,48
11/07/96;163,5463
12/07/96;163,6791
15/07/96;163,9446
16/07/96;163,6127
17/07/96;163,0153
18/07/96;162,2188
19/07/96;163,2808
22/07/96;163,4136
23/07/96;161,9533
24/07/96;160,0949
25/07/96;161,2896
26/07/96;162,8826
29/07/96;161,7542
30/07/96;161,2896
31/07/96;161,2896
01/08/96;162,6171
02/08/96;165,2721
05/08/96;168,458
06/08/96;167,927
07/08/96;166,4668
08/08/96;167,2633
09/08/96;169,7855
12/08/96;173,1706
13/08/96;175,7592
14/08/96;177,2194
16/08/96;180,6709
19/08/96;185,7817
20/08/96;189,4323
21/08/96;189,8306
22/08/96;189,2996
23/08/96;189,1668
26/08/96;189,8306
27/08/96;189,8306
28/08/96;189,8306
29/08/96;191,2908
30/08/96;191,2908
02/09/96;189,8969
03/09/96;190,0961
04/09/96;190,4943
05/09/96;190,6271
06/09/96;191,8218
09/09/96;190,6934
10/09/96;191,0253
11/09/96;191,4235
12/09/96;193,0165
13/09/96;196,7999
16/09/96;201,7779
17/09/96;201,1142
18/09/96;201,1142
19/09/96;202,0434
20/09/96;204,4993
23/09/96;205,4949
24/09/96;207,0879
25/09/96;209,0791
26/09/96;214,6546
27/09/96;212,3978
30/09/96;211,7341
01/10/96;214,7873
02/10/96;218,4379
03/10/96;216,3803
04/10/96;216,3803
07/10/96;216,4467
08/10/96;213,5926
09/10/96;211,3358
10/10/96;214,3891
11/10/96;212,6633
14/10/96;210,3402
15/10/96;207,0879
16/10/96;204,4329
17/10/96;201,6452
18/10/96;200,4505
21/10/96;196,8662
22/10/96;199,2557
23/10/96;198,4592
24/10/96;199,0566
25/10/96;199,3885
29/10/96;200,9151
30/10/96;199,123
31/10/96;200,4505
01/11/96;202,6408
04/11/96;204,0347
05/11/96;202,9727
06/11/96;203,7028
07/11/96;201,7779
12/11/96;203,1054
13/11/96;196,999
14/11/96;189,6978
15/11/96;190,0961
18/11/96;195,1405
19/11/96;194,4104
20/11/96;193,813
21/11/96;192,1537
22/11/96;199,123
25/11/96;201,7116
26/11/96;203,1054
27/11/96;203,3709
28/11/96;202,5744
29/11/96;199,123
02/12/96;200,9815
03/12/96;202,1762
04/12/96;202,3089
05/12/96;202,1098
06/12/96;201,7779
09/12/96;199,0566
10/12/96;199,5212
11/12/96;202,5081
12/12/96;201,7116
13/12/96;201,1142
16/12/96;201,2469
17/12/96;203,7028
18/12/96;205,0967
19/12/96;207,7516
20/12/96;207,1543
23/12/96;204,5657
24/12/96;204,9639
27/12/96;208,6809
30/12/96;207,0879
31/12/96;208,4154
02/01/97;216,6458
03/01/97;220,3628
07/01/97;227,6639
08/01/97;232,1774
09/01/97;227,7967
10/01/97;227,0002
13/01/97;231,2481
14/01/97;234,1686
15/01/97;242,93
16/01/97;244,2575
17/01/97;254,8774
20/01/97;268,816
21/01/97;271,471
22/01/97;265,4309
23/01/97;259,2581
24/01/97;259,6564
27/01/97;270,8072
28/01/97;283,4184
29/01/97;285,4096
30/01/97;290,7195
31/01/97;289,392
03/02/97;275,0552
04/02/97;283,4184
05/02/97;288,7283
06/02/97;288,7283
07/02/97;288,0646
10/02/97;309,9681
11/02/97;313,2868
12/02/97;313,2868
13/02/97;305,0564
14/02/97;305,9856
17/02/97;317,933
18/02/97;320,588
19/02/97;326,5617
20/02/97;342,5579
21/02/97;353,1114
24/02/97;365,0588
25/02/97;394,9272
26/02/97;408,8658
27/02/97;380,1921
28/02/97;361,0763
03/03/97;337,0488
04/03/97;341,164
05/03/97;368,4571
06/03/97;382,3161
07/03/97;384,7056
11/03/97;380,9886
12/03/97;363,7313
13/03/97;369,0412
14/03/97;367,7138
17/03/97;376,0105
18/03/97;383,3117
19/03/97;379,4421
20/03/97;374,9154
21/03/97;376,0105
24/03/97;376,7407
26/03/97;379,5881
27/03/97;379,6611
28/03/97;397,9141
31/03/97;405,2152
01/04/97;398,4982
02/04/97;404,4851
03/04/97;404,1931
04/04/97;409,1579
07/04/97;417,7733
08/04/97;415,4369
09/04/97;415,2909
10/04/97;411,0562
11/04/97;409,888
14/04/97;399,0823
15/04/97;398,7902
16/04/97;408,8658
17/04/97;410,9832
18/04/97;413,2465
21/04/97;415,1448
22/04/97;416,167
23/04/97;417,6272
24/04/97;422,3
29/04/97;426,2426
30/04/97;426,3887
02/05/97;433,4708
05/05/97;438,0705
06/05/97;440,4069
07/05/97;442,4512
08/05/97;444,2765
09/05/97;470,1957
12/05/97;481,8046
13/05/97;480,4174
14/05/97;490,2739
15/05/97;496,0419
16/05/97;497,064
19/05/97;512,5425
20/05/97;516,9232
21/05/97;514,0028
22/05/97;547,5882
23/05/97;562,1905
27/05/97;564,7459
28/05/97;565,111
29/05/97;557,0797
30/05/97;541,7472
02/06/97;555,0354
03/06/97;560,7303
04/06/97;551,2388
05/06/97;539,9949
06/06/97;524,9545
09/06/97;525,6116
10/06/97;530,2114
11/06/97;544,5947
12/06/97;538,0236
13/06/97;530,1384
17/06/97;514,7329
18/06/97;506,7016
19/06/97;509,6221
20/06/97;499,2544
23/06/97;489,1788
24/06/97;492,8294
25/06/97;510,3522
26/06/97;502,3209
27/06/97;487,7185
30/06/97;489,1788
01/07/97;484,7981
02/07/97;489,1788
03/07/97;486,2583
04/07/97;488,4486
07/07/97;502,905
08/07/97;503,6351
09/07/97;523,6403
10/07/97;524,0054
11/07/97;529,6273
14/07/97;534,4461
15/07/97;537,3665
16/07/97;538,8268
17/07/97;532,9858
18/07/97;525,6846
21/07/97;521,3039
22/07/97;515,317
23/07/97;516,1931
24/07/97;527,5099
25/07/97;552,1149
28/07/97;552,699
29/07/97;540,287
30/07/97;534,5921
31/07/97;539,7029
01/08/97;539,5569
04/08/97;540,287
05/08/97;543,0614
06/08/97;548,7564
07/08/97;549,4135
08/08/97;553,7212
11/08/97;550,5086
12/08/97;550,5816
13/08/97;552,553
14/08/97;549,4865
18/08/97;540,287
19/08/97;539,9949
20/08/97;541,1631
21/08/97;540,287
22/08/97;533,7159
25/08/97;524,2244
26/08/97;522,7642
27/08/97;498,9623
28/08/97;503,7811
29/08/97;483,5569
01/09/97;489,1788
02/09/97;495,4578
03/09/97;502,3209
04/09/97;484,7981
05/09/97;487,7185
08/09/97;526,736
09/09/97;529,3352
10/09/97;522,7642
11/09/97;509,6221
12/09/97;502,3209
15/09/97;505,6794
16/09/97;504,2192
17/09/97;503,7811
18/09/97;495,7498
19/09/97;491,9532
22/09/97;489,7629
23/09/97;490,566
24/09/97;493,5595
25/09/97;500,2766
26/09/97;500,8606
29/09/97;503,7811
30/09/97;508,0888
01/10/97;508,8919
02/10/97;503,7811
03/10/97;508,1618
06/10/97;510,3522
07/10/97;511,9265
08/10/97;513,1653
09/10/97;509,0618
10/10/97;499,7709
13/10/97;494,7384
14/10/97;491,022
15/10/97;490,7123
16/10/97;490,0929
17/10/97;487,3057
20/10/97;482,3506
21/10/97;480,0278
