Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/01;10,1767;693,781;1333,47;2,3765;4391,8822;1848,038;17031,7591
02/07/01;10,1767;693,781;1333,47;2,4146;4391,8822;1848,038;17031,7591
03/07/01;10,1767;693,781;1333,47;2,3479;4391,8822;1848,038;17031,7591
04/07/01;10,1767;693,781;1333,47;2,2876;4391,8822;1848,038;17031,7591
05/07/01;10,1767;693,781;1333,47;2,3066;4391,8822;1848,038;17031,7591
06/07/01;10,1767;693,781;1333,47;2,313;4391,8822;1848,038;17031,7591
09/07/01;10,1767;693,781;1333,47;2,2431;4391,8822;1848,038;17031,7591
10/07/01;10,1767;693,781;1333,47;2,2049;4391,8822;1848,038;17031,7591
11/07/01;10,1767;693,781;1333,47;2,1192;4391,8822;1848,038;17031,7591
12/07/01;10,1767;693,781;1333,47;2,1795;4391,8822;1848,038;17031,7591
13/07/01;10,1767;693,781;1333,47;2,1319;4391,8822;1848,038;17031,7591
16/07/01;10,1767;693,781;1333,47;2,0906;4391,8822;1848,038;17031,7591
17/07/01;10,1767;693,781;1333,47;2,1001;4391,8822;1848,038;17031,7591
18/07/01;10,1767;693,781;1333,47;2,2081;4391,8822;1848,038;17031,7591
19/07/01;10,1767;693,781;1333,47;2,3543;4391,8822;1848,038;17031,7591
20/07/01;10,1767;693,781;1333,47;2,2526;4391,8822;1848,038;17031,7591
23/07/01;10,1767;693,781;1333,47;2,3034;4391,8822;1848,038;17031,7591
24/07/01;10,1767;693,781;1333,47;2,313;4391,8822;1848,038;17031,7591
25/07/01;10,1767;693,781;1333,47;2,2971;4391,8822;1848,038;17031,7591
26/07/01;10,1767;693,781;1333,47;2,3225;4391,8822;1848,038;17031,7591
27/07/01;10,1767;693,781;1333,47;2,3829;4391,8822;1848,038;17031,7591
30/07/01;10,1767;693,781;1333,47;2,3765;4391,8822;1848,038;17031,7591
31/07/01;10,1767;693,781;1333,47;2,4432;4391,8822;1848,038;17031,7591
01/08/01;10,1767;693,781;1333,47;2,4432;4391,8822;1848,038;17031,7591
02/08/01;10,1767;693,781;1333,47;2,4877;4391,8822;1848,038;17031,7591
03/08/01;10,1767;693,781;1333,47;2,4972;4391,8822;1848,038;17031,7591
06/08/01;10,1767;693,781;1333,47;2,4559;4391,8822;1848,038;17031,7591
07/08/01;10,1767;693,781;1333,47;2,3574;4391,8822;1848,038;17031,7591
08/08/01;10,1767;693,781;1333,47;2,3034;4391,8822;1848,038;17031,7591
09/08/01;10,1767;693,781;1333,47;2,278;4391,8822;1848,038;17031,7591
10/08/01;10,1767;693,781;1333,47;2,2748;4391,8822;1848,038;17031,7591
13/08/01;10,1767;693,781;1333,47;2,2621;4391,8822;1848,038;17031,7591
