Year,Quarter,MVA,DELTA_MVA
2001,3,18815.409756802743,0.00045097434630835367
2001,4,19349.351017873934,0.028377870478114048
2002,1,19251.1888934128,-0.005073148157292568
2002,2,21542.736443631176,0.11903407955248299
2002,3,22795.041056523598,0.05813117642548372
2002,4,24535.459002732183,0.07635072654148624
2003,1,24187.929576922917,-0.014164374335551079
2003,2,26236.47440375757,0.08469285559641763
2003,3,26480.49408139539,0.009300780046989593
2003,4,27677.549614822798,0.04520518120802102
2004,1,25943.087966554373,-0.062666734317388
2004,2,29016.174264112873,0.11845491568005703
2004,3,29745.32715976329,0.025129187914763446
2004,4,31849.577387928988,0.07074221160398377
2005,1,30637.34934613886,-0.038061040089328244
2005,2,35871.269395109324,0.170834623773681
2005,3,36824.577422911265,0.02657580966264646
2005,4,44013.39908153185,0.19521803539143642
2006,1,49033.44835593353,0.11405729571357075
2006,2,46340.98393004884,-0.05491077042634458
2006,3,46214.42073281251,-0.002731128830310808
2006,4,50330.093734945796,0.08905603352529164
2007,1,52253.307174199996,0.038211997962540066
2007,2,57720.19041386732,0.10462272218372794
2007,3,52862.112234765635,-0.08416601096198963
2007,4,78728.98104111315,0.4893271894144204
2008,1,64711.42486828189,-0.17804823570002942
2008,2,68458.34332090829,0.057901961829045445
2008,3,73986.5534660354,0.08075290573733049
2008,4,78819.31109795909,0.06531940475024602
2009,1,77067.8842603056,-0.022220783374733655
2009,2,81007.24877288137,0.05111551394443529
2009,3,90281.43567286497,0.11448588910833743
2009,4,86661.34237387267,-0.04009787030979126
2010,1,83330.24702877773,-0.038438076930818806
2010,2,84104.66898152955,0.00929340762045726
2010,3,86225.70724848479,0.025219031150589766
2010,4,87220.70062917483,0.011539405270665631
2011,1,85172.79227347502,-0.02347961368031931
2011,2,85989.75428277842,0.009591819024557512
2011,3,74204.40806816562,-0.13705523771886283
2011,4,80494.79150851595,0.084771021076967
2012,1,-15041.261155555565,-1.1868600548392534
2012,2,-31409.265538983072,1.0882069139117303
2012,3,-60438.31320312504,0.9242192444173222
2012,4,-68439.59980000005,0.1323876556578236
2013,1,-78538.00097000005,0.14755201958384317
2013,2,-57976.67106630283,-0.2618010345278745
2013,3,209966.21415214217,-4.62156381679835
2013,4,76623.81174115505,-0.6350659935906012
2014,1,69194.80871905555,-0.09695423463394917
2014,2,74405.56470045687,0.07530559124107142
2014,3,97007.49977159765,0.303766729842479
2014,4,73044.7843821541,-0.24701920414260045
2015,1,70108.34517916663,-0.04020053215058688
2015,2,75414.22849381343,0.07568119460083177
2015,3,61501.881077230886,-0.18447907900727026
2015,4,81824.59967825639,0.3304406018980994
2016,1,87431.07984888881,0.06851827192161938
2016,2,73217.56388280027,-0.16256823077851057
2016,3,73088.7722604496,-0.0017590263253887243
