Date;PX_LAST
15/04/99;23085,9035
16/04/99;23504,4393
19/04/99;22521,2123
20/04/99;22162,4674
21/04/99;22189,0411
22/04/99;21617,7065
23/04/99;21630,9933
26/04/99;20528,1847
27/04/99;21258,9615
28/04/99;22793,5928
29/04/99;23172,268
30/04/99;23145,6943
03/05/99;23542,3257
04/05/99;23265,0045
05/05/99;23250,0142
06/05/99;24284,3475
07/05/99;24958,9127
10/05/99;24134,4441
11/05/99;24224,3861
12/05/99;23834,6373
13/05/99;23384,9272
14/05/99;23309,9755
17/05/99;22785,3137
18/05/99;23819,647
19/05/99;23609,7823
20/05/99;23242,519
21/05/99;23085,1204
24/05/99;22935,2171
25/05/99;22635,4103
26/05/99;22493,0021
27/05/99;22425,5456
28/05/99;22260,6518
01/06/99;22710,362
02/06/99;22485,5069
03/06/99;22485,5069
04/06/99;22185,7002
07/06/99;22185,7002
08/06/99;22485,5069
09/06/99;24284,3475
10/06/99;23235,0238
11/06/99;22665,391
14/06/99;22260,6518
15/06/99;21885,8934
16/06/99;21646,048
17/06/99;21496,1446
18/06/99;21885,8934
21/06/99;21706,0093
22/06/99;21136,3765
23/06/99;20986,4731
24/06/99;21256,2992
25/06/99;21211,3282
28/06/99;20986,4731
29/06/99;20971,4828
30/06/99;21136,3765
01/07/99;21556,106
02/07/99;21496,1446
05/07/99;23215,5364
06/07/99;25018,874
07/07/99;24479,2219
08/07/99;23984,5407
09/07/99;24284,3475
12/07/99;24883,961
13/07/99;25333,6711
14/07/99;24284,3475
15/07/99;23969,5504
16/07/99;23220,0335
19/07/99;23085,1204
20/07/99;22785,3137
21/07/99;22560,4586
22/07/99;22485,5069
23/07/99;22440,5359
26/07/99;22283,1374
27/07/99;22320,6132
28/07/99;20686,6664
29/07/99;22341,5997
30/07/99;21316,2606
02/08/99;20012,1012
03/08/99;19457,4587
04/08/99;19337,5359
05/08/99;19045,2244
06/08/99;18438,1157
09/08/99;17688,5988
10/08/99;16939,0819
11/08/99;15799,8162
12/08/99;17063,5017
13/08/99;18427,6224
16/08/99;19262,5843
17/08/99;18573,0287
18/08/99;18213,2606
19/08/99;17860,9877
20/08/99;17831,007
23/08/99;17628,6374
24/08/99;17838,5022
25/08/99;18737,9224
26/08/99;18438,1157
27/08/99;18258,2316
30/08/99;17763,5505
31/08/99;17838,5022
01/09/99;17958,4249
02/09/99;17838,5022
03/09/99;17463,7437
06/09/99;17988,4055
07/09/99;17508,7147
10/09/99;17816,0166
13/09/99;19240,0988
14/09/99;20206,9756
15/09/99;20836,5697
16/09/99;21661,0383
17/09/99;23235,0238
20/09/99;23534,8306
21/09/99;22725,3523
22/09/99;22185,7002
23/09/99;20641,6954
24/09/99;19487,4393
27/09/99;17928,4442
28/09/99;19361,5205
29/09/99;20910,0224
30/09/99;22058,2823
01/10/99;21256,2992
04/10/99;20836,5697
05/10/99;20986,4731
06/10/99;20978,978
07/10/99;20386,8596
08/10/99;20379,3644
11/10/99;20221,9659
12/10/99;20012,1012
13/10/99;21061,4248
14/10/99;20236,9562
15/10/99;19862,1978
18/10/99;18722,9321
19/10/99;19367,5166
20/10/99;20896,5311
21/10/99;20087,0528
22/10/99;20401,8499
25/10/99;19757,2654
26/10/99;19712,2944
27/10/99;19712,2944
29/10/99;20851,5601
01/11/99;21151,3668
02/11/99;21301,2702
03/11/99;21068,92
04/11/99;20911,5214
05/11/99;21361,2316
08/11/99;22110,7485
09/11/99;22148,2243
10/11/99;21720,9997
11/11/99;21571,0963
12/11/99;21211,3282
15/11/99;21128,8813
16/11/99;20986,4731
17/11/99;20836,5697
18/11/99;20536,763
19/11/99;20409,3451
22/11/99;20401,8499
23/11/99;20311,9079
24/11/99;19787,2461
25/11/99;19787,2461
26/11/99;20986,4731
29/11/99;21728,4949
30/11/99;21061,4248
01/12/99;20911,5214
02/12/99;21361,2316
03/12/99;21001,4635
06/12/99;21046,4345
07/12/99;20491,792
08/12/99;20259,4417
09/12/99;20814,0842
10/12/99;20821,5794
13/12/99;21241,3089
14/12/99;21578,5915
15/12/99;20919,0166
16/12/99;20102,0432
17/12/99;20754,1229
20/12/99;20236,9562
21/12/99;20499,2871
22/12/99;20326,8983
23/12/99;19907,1688
24/12/99;19892,1785
27/12/99;20454,3161
28/12/99;20896,5311
29/12/99;21173,8523
30/12/99;21278,7847
03/01/00;22028,3016
04/01/00;21031,4441
05/01/00;20536,763
07/01/00;20274,4321
10/01/00;20079,5577
11/01/00;19659,8282
12/01/00;19742,2751
13/01/00;19937,1495
14/01/00;20754,1229
17/01/00;20799,0939
18/01/00;20484,2968
19/01/00;20049,577
20/01/00;19899,6736
21/01/00;20611,7147
24/01/00;20724,1422
25/01/00;20401,8499
26/01/00;20139,519
27/01/00;19922,1591
28/01/00;20281,9272
31/01/00;20147,0142
01/02/00;20491,792
02/02/00;20229,4611
03/02/00;20319,4031
04/02/00;20529,2678
07/02/00;20529,2678
08/02/00;21368,7267
09/02/00;20679,1712
10/02/00;20154,5094
11/02/00;19974,6253
14/02/00;19862,1978
15/02/00;19839,7123
16/02/00;19584,8765
17/02/00;19577,3814
18/02/00;19644,8379
21/02/00;19457,4587
22/02/00;19262,5843
23/02/00;18992,7582
24/02/00;19390,0021
25/02/00;19052,7195
28/02/00;18685,4562
29/02/00;18483,0867
01/03/00;19030,234
02/03/00;19404,9925
03/03/00;19127,6712
06/03/00;18715,4369
07/03/00;18258,2316
08/03/00;18078,3476
09/03/00;18123,3186
10/03/00;18033,3765
14/03/00;17268,8693
15/03/00;17396,2872
16/03/00;17613,6471
17/03/00;17868,4828
20/03/00;17591,1616
21/03/00;17486,2292
22/03/00;17261,3741
23/03/00;16969,0626
24/03/00;16886,6157
27/03/00;16946,577
28/03/00;16879,1205
29/03/00;17029,0239
30/03/00;17081,4901
31/03/00;17306,3452
03/04/00;17388,792
04/04/00;17448,7534
05/04/00;17516,2099
06/04/00;17411,2775
07/04/00;17613,6471
10/04/00;17681,1036
11/04/00;17328,8307
12/04/00;17253,879
13/04/00;16789,1785
14/04/00;16174,5746
17/04/00;14885,4056
18/04/00;15260,164
19/04/00;15882,2631
20/04/00;15949,7196
21/04/00;15777,3307
24/04/00;15440,0481
25/04/00;14937,8718
26/04/00;14563,1133
27/04/00;14750,4925
02/05/00;14900,3959
03/05/00;14668,0457
04/05/00;14435,6954
05/05/00;14465,6761
08/05/00;14847,9297
09/05/00;14750,4925
10/05/00;14705,5215
11/05/00;14997,8331
12/05/00;15267,6592
15/05/00;15739,8548
16/05/00;15822,3017
17/05/00;15732,3597
18/05/00;16339,4684
19/05/00;16182,0698
22/05/00;15522,4949
23/05/00;15507,5046
24/05/00;15387,5819
25/05/00;15095,2703
26/05/00;15207,6978
29/05/00;14967,8524
30/05/00;15005,3283
31/05/00;15162,7268
01/06/00;15170,222
02/06/00;14997,8331
05/06/00;14698,0264
06/06/00;14690,5312
07/06/00;14503,152
08/06/00;14473,1713
09/06/00;14503,152
12/06/00;14458,1809
13/06/00;14203,3452
14/06/00;14847,9297
15/06/00;14952,8621
16/06/00;14728,007
20/06/00;14510,6471
21/06/00;14353,2486
22/06/00;14128,3935
23/06/00;14045,9467
26/06/00;13686,1785
27/06/00;14143,3839
28/06/00;14150,879
29/06/00;14000,9756
30/06/00;13985,9853
03/07/00;13888,5481
04/07/00;13873,5578
05/07/00;13858,5674
06/07/00;13791,1109
07/07/00;13663,693
10/07/00;13858,5674
11/07/00;13948,5095
12/07/00;13941,0143
13/07/00;13941,0143
14/07/00;14150,879
17/07/00;14173,3645
18/07/00;14360,7438
19/07/00;14383,2293
20/07/00;14360,7438
21/07/00;14285,7921
24/07/00;14210,8404
25/07/00;14068,4322
26/07/00;13941,0143
27/07/00;13941,0143
28/07/00;14023,4611
31/07/00;14180,8597
01/08/00;14218,3355
02/08/00;14195,85
03/08/00;14015,966
04/08/00;13911,0336
07/08/00;13701,1689
08/08/00;13633,7124
09/08/00;13468,8186
10/08/00;13348,8959
11/08/00;13393,867
14/08/00;13513,7897
16/08/00;13371,3814
17/08/00;13124,0409
18/08/00;13401,3621
21/08/00;13363,8863
22/08/00;13453,8283
23/08/00;13528,78
24/08/00;13341,4008
25/08/00;13258,9539
28/08/00;13019,1085
29/08/00;12951,652
30/08/00;12734,2921
31/08/00;12869,2051
01/09/00;13041,594
04/09/00;13026,6037
05/09/00;13491,3042
06/09/00;13843,5771
07/09/00;14218,3355
08/09/00;15604,9418
11/09/00;15544,9804
12/09/00;14810,4539
13/09/00;14765,4829
14/09/00;15365,0964
15/09/00;15170,222
18/09/00;14810,4539
19/09/00;14780,4732
20/09/00;14870,4152
21/09/00;14458,1809
22/09/00;15065,2896
25/09/00;15597,4466
26/09/00;15762,3403
27/09/00;16144,594
28/09/00;16556,8283
29/09/00;16691,7413
02/10/00;16766,693
03/10/00;16204,5553
04/10/00;16062,1471
05/10/00;16084,6326
06/10/00;16534,3428
09/10/00;16272,0118
10/10/00;16459,3911
11/10/00;16159,5843
12/10/00;15874,7679
13/10/00;15425,0577
16/10/00;15829,7969
17/10/00;15485,0191
18/10/00;15192,7075
19/10/00;15717,3693
20/10/00;15904,7486
23/10/00;15440,0481
24/10/00;15537,4853
25/10/00;15619,9321
26/10/00;15867,2727
27/10/00;15732,3597
30/10/00;15897,2534
31/10/00;16219,5457
01/11/00;16496,8669
02/11/00;16234,536
03/11/00;15987,1954
06/11/00;15912,2437
07/11/00;15470,0288
08/11/00;14930,3766
09/11/00;15425,0577
10/11/00;15222,6882
13/11/00;14892,9007
