Year,Quarter,MVA,DELTA_MVA
2002,3,9990.651305963436,-0.0006297435917633054
2002,4,9462.64906011374,-0.0528496320890042
2003,1,4240.866645847446,-0.5518309282203823
2003,2,3462.2623698737725,-0.18359555746372364
2003,3,9360.538494123919,1.7035901656595673
2003,4,9404.488455431829,0.0046952385629843085
2004,1,3546.0074123547,-0.6229452107725644
2004,2,9099.900106168798,1.5662383204456067
2004,3,7423.832583007464,-0.18418526616848602
2004,4,7206.76590836846,-0.029239166186997668
2005,1,2850.279330077884,-0.6044995263731053
2005,2,8194.289358629898,1.8749074773685388
2005,3,8858.2464118917,0.0810268010077712
2005,4,11134.392504610969,0.25695222134074647
2006,1,11338.595361368027,0.018339829197910298
2006,2,17117.107384661438,0.5096320874966139
2006,3,22091.136575665278,0.29058818638136513
2006,4,28536.156404444744,0.2917468644813434
2007,1,14404.450679680023,-0.4952210635684485
2007,2,14935.059762850691,0.036836467767506334
2007,3,45863.2459880653,2.0708444905018086
2007,4,23524.28602077597,-0.48707760399476424
2008,1,20299.769036979138,-0.13707183210359844
2008,2,10974.631033417709,-0.45937163061186864
2008,3,10030.490793938734,-0.08602933771568916
2008,4,8341.995381215966,-0.1683362706182931
2009,1,5178.792219051507,-0.37919023178641176
2009,2,5701.888381994329,0.10100736635435564
2009,3,6453.216904588067,0.1317683672950028
2009,4,7688.1980075671245,0.19137449139529436
2010,1,6081.061622213595,-0.20903941128619505
2010,2,5623.789524350802,-0.07519609671318203
2010,3,4655.526767114835,-0.17217265209578433
2010,4,4780.462473296655,0.026835997821841824
2011,1,4077.4680055409617,-0.147055744435308
2011,2,4207.823041953677,0.03196960374319863
2011,3,3135.663660807881,-0.2548014425644658
2011,4,2407.8059532800044,-0.23212237862920204
2012,1,2394.8292363377827,-0.0053894363557595885
2012,2,1580.9148348220117,-0.3398632308165838
2012,3,1028.2834303964216,-0.3495643106466316
2012,4,2012.6018305393577,0.9572442490524852
2013,1,1958.6485416817934,-0.026807731186006795
2013,2,1821.915072960065,-0.06981010927275515
2013,3,1036.3900258805334,-0.43115349268354713
2013,4,561.2031946241663,-0.45850193401141703
2014,1,3697.6004413027085,5.588701697927727
2014,2,4797.8804764548395,0.29756596274217484
2014,3,4782.090248674972,-0.003291084022904836
2014,4,4884.519572743211,0.021419362400494295
2015,1,5888.045228371246,0.20545022712734087
2015,2,4685.319045453808,-0.20426578537850948
2015,3,3955.797136700547,-0.15570378488122816
2015,4,3486.5105058065,-0.1186326332410134
2016,1,3055.2337298762527,-0.12369868819038145
2016,2,2624.702886918416,-0.14091584507849575
2016,3,1897.7961613374605,-0.27694819448093594
