Date;PX_LAST
03/01/96;50,7326
04/01/96;50,904
05/01/96;50,904
08/01/96;51,4181
09/01/96;51,4181
10/01/96;52,7893
11/01/96;55,0174
12/01/96;54,846
15/01/96;55,3602
16/01/96;56,2172
17/01/96;54,846
18/01/96;55,8744
22/01/96;55,5316
26/01/96;57,0741
29/01/96;58,2739
30/01/96;58,6167
31/01/96;57,2455
01/02/96;59,4736
02/02/96;61,359
05/02/96;63,9299
06/02/96;61,1876
07/02/96;62,2159
08/02/96;64,1013
09/02/96;63,9299
12/02/96;63,5871
13/02/96;62,9015
14/02/96;65,1296
15/02/96;65,1296
19/02/96;65,1296
20/02/96;64,1013
21/02/96;63,4157
22/02/96;63,4157
27/02/96;65,4724
28/02/96;64,7868
29/02/96;65,301
04/03/96;64,1013
05/03/96;64,6155
06/03/96;64,1013
07/03/96;63,0729
11/03/96;61,8732
12/03/96;62,0445
13/03/96;62,7301
14/03/96;62,7301
19/03/96;56,3886
02/04/96;65,6438
03/04/96;64,9582
04/04/96;64,9582
05/04/96;64,9582
08/04/96;63,5871
10/04/96;63,0729
11/04/96;62,5587
16/04/96;65,9866
18/04/96;61,7018
19/04/96;60,8448
22/04/96;61,1876
23/04/96;61,0162
24/04/96;60,6734
25/04/96;60,6734
26/04/96;61,1876
29/04/96;61,5304
30/04/96;61,1876
02/05/96;43,8768
03/05/96;61,7018
06/05/96;61,7018
07/05/96;63,9299
08/05/96;65,1296
09/05/96;63,5871
10/05/96;63,4157
13/05/96;63,2443
14/05/96;63,9299
15/05/96;62,5587
16/05/96;62,9015
17/05/96;59,9878
20/05/96;61,8732
21/05/96;61,359
22/05/96;61,7018
23/05/96;61,1876
24/05/96;60,8448
27/05/96;59,9878
28/05/96;57,0741
29/05/96;58,1025
30/05/96;58,2739
31/05/96;57,7597
04/06/96;56,2172
05/06/96;55,0174
06/06/96;55,703
07/06/96;56,0458
10/06/96;53,989
11/06/96;52,4465
12/06/96;52,1037
13/06/96;52,4465
14/06/96;51,4181
17/06/96;50,5612
18/06/96;50,904
19/06/96;51,7609
20/06/96;51,5895
21/06/96;51,5895
24/06/96;51,0753
25/06/96;50,3898
26/06/96;49,8756
27/06/96;16,4538
28/06/96;48,1617
01/07/96;46,2763
02/07/96;46,7905
03/07/96;47,1333
04/07/96;44,2196
05/07/96;44,9052
08/07/96;45,4194
09/07/96;46,6191
10/07/96;46,2763
12/07/96;47,1333
15/07/96;48,1617
16/07/96;48,6758
17/07/96;49,0186
18/07/96;49,3614
19/07/96;49,5328
22/07/96;49,8756
23/07/96;49,19
24/07/96;49,0186
25/07/96;48,5044
26/07/96;49,0186
29/07/96;49,5328
30/07/96;49,7042
31/07/96;49,5328
01/08/96;49,3614
02/08/96;48,8472
05/08/96;48,6758
07/08/96;48,8472
08/08/96;48,6758
12/08/96;49,8756
14/08/96;49,8756
19/08/96;49,0186
20/08/96;49,0186
21/08/96;49,3614
22/08/96;48,6758
23/08/96;48,5044
26/08/96;49,0186
27/08/96;49,3614
28/08/96;50,047
29/08/96;50,047
30/08/96;50,3898
02/09/96;50,047
03/09/96;50,904
04/09/96;51,0753
05/09/96;50,904
06/09/96;51,9323
09/09/96;50,904
10/09/96;45,0766
11/09/96;44,391
12/09/96;44,5624
13/09/96;44,0482
16/09/96;44,0482
17/09/96;44,0482
18/09/96;43,3626
19/09/96;43,1912
20/09/96;42,5057
23/09/96;42,1629
24/09/96;42,5057
25/09/96;42,8484
26/09/96;42,8484
27/09/96;42,6771
30/09/96;42,5057
02/10/96;41,9915
03/10/96;41,3059
04/10/96;40,7917
07/10/96;41,1345
08/10/96;42,1629
09/10/96;42,6771
10/10/96;43,3626
11/10/96;43,8768
14/10/96;44,9052
15/10/96;43,8768
16/10/96;44,2196
17/10/96;44,0482
18/10/96;44,2196
21/10/96;44,5624
22/10/96;44,9052
23/10/96;45,248
24/10/96;45,5907
25/10/96;45,9335
29/10/96;47,1333
30/10/96;47,3047
31/10/96;46,6191
01/11/96;46,4477
04/11/96;46,1049
05/11/96;45,9335
06/11/96;45,7621
07/11/96;45,5907
08/11/96;45,5907
11/11/96;45,4194
12/11/96;44,7338
13/11/96;44,7338
14/11/96;45,0766
15/11/96;45,4194
18/11/96;45,4194
19/11/96;45,5907
20/11/96;45,5907
21/11/96;45,9335
22/11/96;43,7054
25/11/96;45,0766
26/11/96;44,7338
27/11/96;44,5624
28/11/96;44,5624
29/11/96;44,5624
02/12/96;44,391
03/12/96;44,391
04/12/96;44,391
05/12/96;44,391
06/12/96;44,2196
09/12/96;44,2196
10/12/96;44,0482
12/12/96;44,0482
13/12/96;43,8768
16/12/96;43,7054
17/12/96;43,7054
18/12/96;43,3626
19/12/96;43,8768
20/12/96;43,8768
23/12/96;44,0482
27/12/96;44,391
30/12/96;44,5624
31/12/96;44,9052
02/01/97;48,8472
03/01/97;45,248
07/01/97;44,9052
08/01/97;44,391
09/01/97;44,2196
10/01/97;44,391
13/01/97;44,2196
14/01/97;44,391
15/01/97;44,391
16/01/97;44,2196
17/01/97;44,2196
20/01/97;44,5624
21/01/97;44,2196
22/01/97;43,534
23/01/97;44,0482
24/01/97;44,7338
27/01/97;44,5624
