Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/04/00;15,3438;99553;8166;1,6285;54737,8586;33589;404094
04/04/00;15,3438;99553;8166;1,7422;54737,8586;33589;404094
05/04/00;15,3438;99553;8166;1,7405;54737,8586;33589;404094
06/04/00;15,3438;99553;8166;1,716;54737,8586;33589;404094
07/04/00;15,3438;99553;8166;1,7042;54737,8586;33589;404094
10/04/00;15,3438;99553;8166;1,7146;54737,8586;33589;404094
11/04/00;15,3438;99553;8166;1,7157;54737,8586;33589;404094
12/04/00;15,3438;99553;8166;1,7578;54737,8586;33589;404094
13/04/00;15,3438;99553;8166;1,7621;54737,8586;33589;404094
14/04/00;15,3438;99553;8166;1,7477;54737,8586;33589;404094
17/04/00;15,3438;99553;8166;1,7008;54737,8586;33589;404094
18/04/00;15,3438;99553;8166;1,6881;54737,8586;33589;404094
19/04/00;15,3438;99553;8166;1,6843;54737,8586;33589;404094
20/04/00;15,3438;99553;8166;1,7154;54737,8586;33589;404094
25/04/00;15,3438;99553;8166;1,7367;54737,8586;33589;404094
26/04/00;15,3438;99553;8166;1,7707;54737,8586;33589;404094
27/04/00;15,3438;99553;8166;1,7333;54737,8586;33589;404094
28/04/00;15,3438;99553;8166;1,7281;54737,8586;33589;404094
01/05/00;15,3438;99553;8166;1,7307;54737,8586;33589;404094
02/05/00;15,3438;99553;8166;1,7059;54737,8586;33589;404094
03/05/00;15,3438;99553;8166;1,7304;54737,8586;33589;404094
04/05/00;15,3438;99553;8166;1,7244;54737,8586;33589;404094
05/05/00;15,3438;99553;8166;1,7198;54737,8586;33589;404094
08/05/00;15,3438;99553;8166;1,6944;54737,8586;33589;404094
09/05/00;15,3438;99553;8166;1,7215;54737,8586;33589;404094
10/05/00;15,3438;99553;8166;1,7462;54737,8586;33589;404094
11/05/00;15,3438;99553;8166;1,7543;54737,8586;33589;404094
12/05/00;15,3438;99553;8166;1,7742;54737,8586;33589;404094
15/05/00;15,3438;99553;8166;1,7701;54737,8586;33589;404094
16/05/00;15,3438;99553;8166;1,7981;54737,8586;33589;404094
17/05/00;15,3438;99553;8166;1,8073;54737,8586;33589;404094
18/05/00;15,3438;99553;8166;1,8142;54737,8586;33589;404094
19/05/00;15,3438;99553;8166;1,8024;54737,8586;33589;404094
22/05/00;15,3438;99553;8166;1,8084;54737,8586;33589;404094
23/05/00;15,3438;99553;8166;1,832;54737,8586;33589;404094
24/05/00;15,3438;99553;8166;1,8646;54737,8586;33589;404094
25/05/00;15,3438;99553;8166;1,8283;54737,8586;33589;404094
26/05/00;15,3438;99553;8166;1,8225;54737,8586;33589;404094
29/05/00;15,3438;99553;8166;1,86;54737,8586;33589;404094
30/05/00;15,3438;99553;8166;1,8473;54737,8586;33589;404094
31/05/00;15,3438;99553;8166;1,8459;54737,8586;33589;404094
02/06/00;15,3438;99553;8166;1,8888;54737,8586;33589;404094
05/06/00;15,3438;99553;8166;1,9049;54737,8586;33589;404094
06/06/00;15,3438;99553;8166;1,9052;54737,8586;33589;404094
07/06/00;15,3438;99553;8166;1,9144;54737,8586;33589;404094
08/06/00;15,3438;99553;8166;1,9118;54737,8586;33589;404094
09/06/00;15,3438;99553;8166;1,9115;54737,8586;33589;404094
13/06/00;15,3438;99553;8166;1,9677;54737,8586;33589;404094
14/06/00;15,3438;99553;8166;1,9803;54737,8586;33589;404094
15/06/00;15,3438;99553;8166;1,9464;54737,8586;33589;404094
16/06/00;15,3438;99553;8166;1,9291;54737,8586;33589;404094
19/06/00;15,3438;99553;8166;1,8931;54737,8586;33589;404094
20/06/00;15,3438;99553;8166;1,8951;54737,8586;33589;404094
21/06/00;15,3438;99553;8166;1,9052;54737,8586;33589;404094
22/06/00;15,3438;99553;8166;1,9104;54737,8586;33589;404094
23/06/00;15,3438;99553;8166;1,9253;54737,8586;33589;404094
26/06/00;15,3438;99553;8166;1,9535;54737,8586;33589;404094
27/06/00;15,3438;99553;8166;1,9561;54737,8586;33589;404094
28/06/00;15,3438;99553;8166;2,0068;54737,8586;33589;404094
29/06/00;15,3438;99553;8166;2,0229;54737,8586;33589;404094
30/06/00;16,3441;96772;6318;2,0228;69207;34214;405833
03/07/00;16,3441;96772;6318;2,0171;69207;34214;405833
04/07/00;16,3441;96772;6318;2,0211;69207;34214;405833
05/07/00;16,3441;96772;6318;2,0316;69207;34214;405833
06/07/00;16,3441;96772;6318;2,0093;69207;34214;405833
07/07/00;16,3441;96772;6318;2,0253;69207;34214;405833
10/07/00;16,3441;96772;6318;2,0625;69207;34214;405833
11/07/00;16,3441;96772;6318;2,0656;69207;34214;405833
12/07/00;16,3441;96772;6318;2,0651;69207;34214;405833
13/07/00;16,3441;96772;6318;2,0276;69207;34214;405833
14/07/00;16,3441;96772;6318;2,0371;69207;34214;405833
17/07/00;16,3441;96772;6318;2,0171;69207;34214;405833
18/07/00;16,3441;96772;6318;2,0151;69207;34214;405833
19/07/00;16,3441;96772;6318;2,0199;69207;34214;405833
20/07/00;16,3441;96772;6318;1,9745;69207;34214;405833
21/07/00;16,3441;96772;6318;1,9931;69207;34214;405833
24/07/00;16,3441;96772;6318;2,0499;69207;34214;405833
25/07/00;16,3441;96772;6318;2,0662;69207;34214;405833
26/07/00;16,3441;96772;6318;2,0576;69207;34214;405833
27/07/00;16,3441;96772;6318;2,0656;69207;34214;405833
28/07/00;16,3441;96772;6318;2,0573;69207;34214;405833
31/07/00;16,3441;96772;6318;2,0611;69207;34214;405833
01/08/00;16,3441;96772;6318;2,0636;69207;34214;405833
02/08/00;16,3441;96772;6318;2,0653;69207;34214;405833
03/08/00;16,3441;96772;6318;2,0342;69207;34214;405833
04/08/00;16,3441;96772;6318;2,0473;69207;34214;405833
07/08/00;16,3441;96772;6318;2,0671;69207;34214;405833
08/08/00;16,3441;96772;6318;2,1142;69207;34214;405833
09/08/00;16,3441;96772;6318;2,1356;69207;34214;405833
10/08/00;16,3441;96772;6318;2,127;69207;34214;405833
11/08/00;16,3441;96772;6318;2,1171;69207;34214;405833
14/08/00;16,3441;96772;6318;2,1199;69207;34214;405833
15/08/00;16,3441;96772;6318;2,1216;69207;34214;405833
16/08/00;16,3441;96772;6318;2,1379;69207;34214;405833
17/08/00;16,3441;96772;6318;2,1345;69207;34214;405833
18/08/00;16,3441;96772;6318;2,1456;69207;34214;405833
21/08/00;16,3441;96772;6318;2,147;69207;34214;405833
22/08/00;16,3441;96772;6318;2,1628;69207;34214;405833
23/08/00;16,3441;96772;6318;2,1708;69207;34214;405833
24/08/00;16,3441;96772;6318;2,1856;69207;34214;405833
25/08/00;16,3441;96772;6318;2,1485;69207;34214;405833
28/08/00;16,3441;96772;6318;2,1465;69207;34214;405833
29/08/00;16,3441;96772;6318;2,149;69207;34214;405833
