Date;PX_LAST
01/04/96;8,5091
02/04/96;8,4185
03/04/96;8,2722
04/04/96;8,307
09/04/96;8,3279
10/04/96;8,4394
11/04/96;8,3697
12/04/96;8,2861
15/04/96;8,4533
16/04/96;8,5021
17/04/96;8,537
18/04/96;8,5091
19/04/96;8,5509
22/04/96;8,753
23/04/96;8,8645
24/04/96;9,1572
25/04/96;9,0806
26/04/96;9,0736
29/04/96;9,2199
01/05/96;9,3245
02/05/96;9,4151
03/05/96;9,1642
06/05/96;9,4011
07/05/96;9,3314
08/05/96;9,1642
09/05/96;9,1293
10/05/96;9,0318
13/05/96;8,9969
14/05/96;8,9551
15/05/96;8,9621
17/05/96;9,0109
20/05/96;9,0596
21/05/96;9,1154
22/05/96;9,0875
23/05/96;9,1711
24/05/96;9,2408
28/05/96;9,4638
29/05/96;9,5266
30/05/96;9,6659
31/05/96;9,7984
03/06/96;9,7217
04/06/96;9,6346
05/06/96;9,5126
06/06/96;9,5997
07/06/96;9,3384
10/06/96;9,3907
11/06/96;9,3732
12/06/96;9,2687
13/06/96;9,0945
14/06/96;8,8854
17/06/96;8,9028
18/06/96;9,0074
19/06/96;8,9203
20/06/96;8,7983
21/06/96;8,6764
24/06/96;8,6241
25/06/96;8,6938
26/06/96;8,9377
27/06/96;8,9203
28/06/96;8,868
01/07/96;8,8332
02/07/96;8,868
03/07/96;8,8157
04/07/96;8,8332
05/07/96;8,8157
08/07/96;8,6241
09/07/96;8,7286
10/07/96;8,6241
11/07/96;8,3279
12/07/96;8,415
15/07/96;8,2408
16/07/96;8,2756
17/07/96;8,2234
18/07/96;8,3105
19/07/96;8,5544
22/07/96;8,3802
23/07/96;8,3627
24/07/96;8,084
25/07/96;8,3627
26/07/96;8,4324
29/07/96;8,537
30/07/96;8,537
31/07/96;8,8332
01/08/96;8,9551
02/08/96;9,1816
05/08/96;9,0771
06/08/96;8,9551
07/08/96;9,0596
08/08/96;9,0422
09/08/96;9,1468
12/08/96;9,1816
13/08/96;9,2339
14/08/96;9,2339
15/08/96;9,4081
16/08/96;9,6172
19/08/96;9,5475
20/08/96;9,6172
21/08/96;9,4429
22/08/96;9,3907
23/08/96;9,321
26/08/96;9,2164
27/08/96;9,1816
28/08/96;9,2339
29/08/96;9,199
30/08/96;9,0074
02/09/96;9,0596
03/09/96;8,9203
04/09/96;8,8854
05/09/96;8,9725
06/09/96;8,99
09/09/96;9,2164
10/09/96;9,0945
11/09/96;8,9725
12/09/96;8,9377
13/09/96;9,2164
16/09/96;9,3558
17/09/96;9,1468
18/09/96;9,1468
19/09/96;9,1642
20/09/96;9,1816
23/09/96;9,0771
24/09/96;9,0945
25/09/96;9,2339
26/09/96;9,2164
27/09/96;9,2339
30/09/96;9,3036
01/10/96;9,2513
02/10/96;9,4081
03/10/96;9,53
04/10/96;9,5649
07/10/96;9,5823
08/10/96;9,6694
09/10/96;9,5823
10/10/96;9,53
11/10/96;9,5823
14/10/96;9,6346
15/10/96;9,7043
16/10/96;9,6869
17/10/96;9,6694
18/10/96;9,8088
21/10/96;9,6694
22/10/96;9,6869
23/10/96;9,3558
24/10/96;9,4081
25/10/96;9,5649
28/10/96;9,5649
29/10/96;9,3384
30/10/96;9,0945
31/10/96;9,2164
01/11/96;9,3036
04/11/96;9,4081
05/11/96;9,5649
