Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
28/12/01;22,1611;84359,5;1948,7;1,3333;18199,4362;14155,8003;282446,6016
02/01/02;22,1611;84359,5;1948,7;1,3016;18199,4362;14155,8003;282446,6016
03/01/02;22,1611;84359,5;1948,7;1,3016;18199,4362;14155,8003;282446,6016
04/01/02;22,1611;84359,5;1948,7;1,2845;18199,4362;14155,8003;282446,6016
07/01/02;22,1611;84359,5;1948,7;1,2978;18199,4362;14155,8003;282446,6016
08/01/02;22,1611;84359,5;1948,7;1,294;18199,4362;14155,8003;282446,6016
09/01/02;22,1611;84359,5;1948,7;1,3281;18199,4362;14155,8003;282446,6016
10/01/02;22,1611;84359,5;1948,7;1,312;18199,4362;14155,8003;282446,6016
11/01/02;22,1611;84359,5;1948,7;1,2982;18199,4362;14155,8003;282446,6016
14/01/02;22,1611;84359,5;1948,7;1,2679;18199,4362;14155,8003;282446,6016
15/01/02;22,1611;84359,5;1948,7;1,2769;18199,4362;14155,8003;282446,6016
16/01/02;22,1611;84359,5;1948,7;1,2779;18199,4362;14155,8003;282446,6016
17/01/02;22,1611;84359,5;1948,7;1,3134;18199,4362;14155,8003;282446,6016
18/01/02;22,1611;84359,5;1948,7;1,357;18199,4362;14155,8003;282446,6016
21/01/02;22,1611;84359,5;1948,7;1,329;18199,4362;14155,8003;282446,6016
22/01/02;22,1611;84359,5;1948,7;1,3527;18199,4362;14155,8003;282446,6016
23/01/02;22,1611;84359,5;1948,7;1,349;18199,4362;14155,8003;282446,6016
24/01/02;22,1611;84359,5;1948,7;1,3869;18199,4362;14155,8003;282446,6016
25/01/02;22,1611;84359,5;1948,7;1,3892;18199,4362;14155,8003;282446,6016
28/01/02;22,1611;84359,5;1948,7;1,4063;18199,4362;14155,8003;282446,6016
29/01/02;22,1611;84359,5;1948,7;1,4466;18199,4362;14155,8003;282446,6016
30/01/02;22,1611;84359,5;1948,7;1,412;18199,4362;14155,8003;282446,6016
31/01/02;22,1611;84359,5;1948,7;1,4338;18199,4362;14155,8003;282446,6016
01/02/02;22,1611;84359,5;1948,7;1,4125;18199,4362;14155,8003;282446,6016
04/02/02;22,1611;84359,5;1948,7;1,3836;18199,4362;14155,8003;282446,6016
05/02/02;22,1611;84359,5;1948,7;1,3153;18199,4362;14155,8003;282446,6016
06/02/02;22,1611;84359,5;1948,7;1,266;18199,4362;14155,8003;282446,6016
07/02/02;22,1611;84359,5;1948,7;1,266;18199,4362;14155,8003;282446,6016
08/02/02;22,1611;84359,5;1948,7;1,2598;18199,4362;14155,8003;282446,6016
11/02/02;22,1611;84359,5;1948,7;1,2627;18199,4362;14155,8003;282446,6016
12/02/02;22,1611;84359,5;1948,7;1,2788;18199,4362;14155,8003;282446,6016
13/02/02;22,1611;84359,5;1948,7;1,3058;18199,4362;14155,8003;282446,6016
14/02/02;22,1611;84359,5;1948,7;1,3082;18199,4362;14155,8003;282446,6016
15/02/02;22,1611;84359,5;1948,7;1,2542;18199,4362;14155,8003;282446,6016
18/02/02;22,1611;84359,5;1948,7;1,258;18199,4362;14155,8003;282446,6016
19/02/02;22,1611;84359,5;1948,7;1,1736;18199,4362;14155,8003;282446,6016
20/02/02;22,1611;84359,5;1948,7;1,2101;18199,4362;14155,8003;282446,6016
21/02/02;22,1611;84359,5;1948,7;1,1902;18199,4362;14155,8003;282446,6016
22/02/02;22,1611;84359,5;1948,7;1,1665;18199,4362;14155,8003;282446,6016
25/02/02;22,1611;84359,5;1948,7;1,1726;18199,4362;14155,8003;282446,6016
26/02/02;22,1611;84359,5;1948,7;1,2025;18199,4362;14155,8003;282446,6016
27/02/02;22,1611;84359,5;1948,7;1,2371;18199,4362;14155,8003;282446,6016
28/02/02;22,1611;84359,5;1948,7;1,2774;18199,4362;14155,8003;282446,6016
01/03/02;22,1611;84359,5;1948,7;1,2873;18199,4362;14155,8003;282446,6016
04/03/02;22,1611;84359,5;1948,7;1,3428;18199,4362;14155,8003;282446,6016
05/03/02;22,1611;84359,5;1948,7;1,3276;18199,4362;14155,8003;282446,6016
06/03/02;22,1611;84359,5;1948,7;1,3347;18199,4362;14155,8003;282446,6016
07/03/02;22,1611;84359,5;1948,7;1,3376;18199,4362;14155,8003;282446,6016
08/03/02;22,1611;84359,5;1948,7;1,3698;18199,4362;14155,8003;282446,6016
11/03/02;22,1611;84359,5;1948,7;1,3812;18199,4362;14155,8003;282446,6016
12/03/02;22,1611;84359,5;1948,7;1,3997;18199,4362;14155,8003;282446,6016
13/03/02;22,1611;84359,5;1948,7;1,4518;18199,4362;14155,8003;282446,6016
14/03/02;22,1611;84359,5;1948,7;1,4347;18199,4362;14155,8003;282446,6016
15/03/02;22,1611;84359,5;1948,7;1,4347;18199,4362;14155,8003;282446,6016
18/03/02;22,1611;84359,5;1948,7;1,448;18199,4362;14155,8003;282446,6016
19/03/02;22,1611;84359,5;1948,7;1,476;18199,4362;14155,8003;282446,6016
20/03/02;22,1611;84359,5;1948,7;1,4201;18199,4362;14155,8003;282446,6016
21/03/02;22,1611;84359,5;1948,7;1,4196;18199,4362;14155,8003;282446,6016
22/03/02;22,1611;84359,5;1948,7;1,4608;18199,4362;14155,8003;282446,6016
25/03/02;22,1611;84359,5;1948,7;1,4262;18199,4362;14155,8003;282446,6016
26/03/02;22,1611;84359,5;1948,7;1,5115;18199,4362;14155,8003;282446,6016
27/03/02;22,1611;84359,5;1948,7;1,5002;18199,4362;14155,8003;282446,6016
28/03/02;22,2173;77416;1594;1,6337;22442,0905;14264;301253
02/04/02;22,2173;77416;1594;1,6402;22442,0905;14264;301253
03/04/02;22,2173;77416;1594;1,6736;22442,0905;14264;301253
04/04/02;22,2173;77416;1594;1,6012;22442,0905;14264;301253
05/04/02;22,2173;77416;1594;1,6266;22442,0905;14264;301253
08/04/02;22,2173;77416;1594;1,5894;22442,0905;14264;301253
09/04/02;22,2173;77416;1594;1,5946;22442,0905;14264;301253
10/04/02;22,2173;77416;1594;1,5847;22442,0905;14264;301253
11/04/02;22,2173;77416;1594;1,6205;22442,0905;14264;301253
12/04/02;22,2173;77416;1594;1,7014;22442,0905;14264;301253
15/04/02;22,2173;77416;1594;1,7273;22442,0905;14264;301253
16/04/02;22,2173;77416;1594;1,723;22442,0905;14264;301253
17/04/02;22,2173;77416;1594;1,6609;22442,0905;14264;301253
18/04/02;22,2173;77416;1594;1,6934;22442,0905;14264;301253
19/04/02;22,2173;77416;1594;1,7357;22442,0905;14264;301253
22/04/02;22,2173;77416;1594;1,7578;22442,0905;14264;301253
23/04/02;22,2173;77416;1594;1,7287;22442,0905;14264;301253
24/04/02;22,2173;77416;1594;1,7216;22442,0905;14264;301253
25/04/02;22,2173;77416;1594;1,7061;22442,0905;14264;301253
26/04/02;22,2173;77416;1594;1,7052;22442,0905;14264;301253
29/04/02;22,2173;77416;1594;1,6948;22442,0905;14264;301253
30/04/02;22,2173;77416;1594;1,6887;22442,0905;14264;301253
02/05/02;22,2173;77416;1594;1,6417;22442,0905;14264;301253
03/05/02;22,2173;77416;1594;1,6671;22442,0905;14264;301253
06/05/02;22,2173;77416;1594;1,6576;22442,0905;14264;301253
07/05/02;22,2173;77416;1594;1,6299;22442,0905;14264;301253
08/05/02;22,2173;77416;1594;1,5979;22442,0905;14264;301253
09/05/02;22,2173;77416;1594;1,5607;22442,0905;14264;301253
10/05/02;22,2173;77416;1594;1,5382;22442,0905;14264;301253
13/05/02;22,2173;77416;1594;1,5767;22442,0905;14264;301253
14/05/02;22,2173;77416;1594;1,6327;22442,0905;14264;301253
15/05/02;22,2173;77416;1594;1,5857;22442,0905;14264;301253
16/05/02;22,2173;77416;1594;1,5654;22442,0905;14264;301253
17/05/02;22,2173;77416;1594;1,5758;22442,0905;14264;301253
20/05/02;22,2173;77416;1594;1,5335;22442,0905;14264;301253
21/05/02;22,2173;77416;1594;1,5669;22442,0905;14264;301253
22/05/02;22,2173;77416;1594;1,5405;22442,0905;14264;301253
23/05/02;22,2173;77416;1594;1,5099;22442,0905;14264;301253
24/05/02;22,2173;77416;1594;1,4634;22442,0905;14264;301253
27/05/02;22,2173;77416;1594;1,4408;22442,0905;14264;301253
28/05/02;22,2173;77416;1594;1,5052;22442,0905;14264;301253
29/05/02;22,2173;77416;1594;1,4911;22442,0905;14264;301253
30/05/02;22,2173;77416;1594;1,5137;22442,0905;14264;301253
31/05/02;22,2173;77416;1594;1,4911;22442,0905;14264;301253
03/06/02;22,2173;77416;1594;1,5048;22442,0905;14264;301253
04/06/02;22,2173;77416;1594;1,469;22442,0905;14264;301253
05/06/02;22,2173;77416;1594;1,4987;22442,0905;14264;301253
06/06/02;22,2173;77416;1594;1,5123;22442,0905;14264;301253
07/06/02;22,2173;77416;1594;1,5104;22442,0905;14264;301253
