Date;PX_LAST
03/01/95;0,8797
04/01/95;0,8756
05/01/95;0,8654
09/01/95;0,8481
10/01/95;0,8298
11/01/95;0,844
12/01/95;0,841
13/01/95;0,845
16/01/95;0,8715
17/01/95;0,8756
18/01/95;0,8654
19/01/95;0,8776
20/01/95;0,8858
23/01/95;0,8797
24/01/95;0,8837
25/01/95;0,8715
26/01/95;0,8827
27/01/95;0,8919
30/01/95;0,8858
31/01/95;0,8858
01/02/95;0,9469
02/02/95;1,0354
03/02/95;1,0191
06/02/95;0,9998
07/02/95;1,0181
08/02/95;1,0385
09/02/95;1,067
10/02/95;1,0721
13/02/95;1,0792
14/02/95;1,0965
15/02/95;1,0975
16/02/95;1,0975
17/02/95;1,1342
20/02/95;1,1179
21/02/95;1,1301
22/02/95;1,1098
23/02/95;1,065
24/02/95;1,0487
27/02/95;1,0527
28/02/95;1,065
01/03/95;1,0772
02/03/95;1,0589
03/03/95;1,0405
06/03/95;1,0558
07/03/95;1,0589
08/03/95;1,0385
09/03/95;1,0538
10/03/95;1,0497
13/03/95;1,0426
14/03/95;1,0599
15/03/95;1,0395
16/03/95;1,0477
17/03/95;1,0181
20/03/95;1,0548
21/03/95;1,0965
22/03/95;1,0782
23/03/95;1,0589
24/03/95;1,0874
27/03/95;1,0813
28/03/95;1,0843
29/03/95;1,0843
30/03/95;1,0894
31/03/95;1,0833
03/04/95;1,0894
04/04/95;1,0965
05/04/95;1,0986
06/04/95;1,0833
07/04/95;1,069
10/04/95;1,0925
11/04/95;1,0986
12/04/95;1,0894
13/04/95;1,1036
14/04/95;1,1199
18/04/95;1,1128
19/04/95;1,0996
20/04/95;1,1057
21/04/95;1,1016
24/04/95;1,0945
26/04/95;1,0965
27/04/95;1,069
28/04/95;1,0487
02/05/95;1,0874
03/05/95;1,1026
04/05/95;1,1464
05/05/95;1,1403
08/05/95;1,1342
09/05/95;1,1189
10/05/95;1,1607
11/05/95;1,1688
12/05/95;1,1708
15/05/95;1,1871
16/05/95;1,2055
17/05/95;1,2452
18/05/95;1,2554
19/05/95;1,2218
22/05/95;1,2136
