Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
01/04/03;24,979;43617,6016;1805;0,9705;8268,8717;8471,0002;204516,499
02/04/03;24,979;43617,6016;1805;0,9979;8268,8717;8471,0002;204516,499
03/04/03;24,979;43617,6016;1805;1,0144;8268,8717;8471,0002;204516,499
04/04/03;24,979;43617,6016;1805;1,0428;8268,8717;8471,0002;204516,499
07/04/03;24,979;43617,6016;1805;1,086;8268,8717;8471,0002;204516,499
08/04/03;24,979;43617,6016;1805;1,0783;8268,8717;8471,0002;204516,499
09/04/03;24,979;43617,6016;1805;1,0885;8268,8717;8471,0002;204516,499
10/04/03;24,979;43617,6016;1805;1,0762;8268,8717;8471,0002;204516,499
11/04/03;24,979;43617,6016;1805;1,0832;8268,8717;8471,0002;204516,499
14/04/03;24,979;43617,6016;1805;1,1148;8268,8717;8471,0002;204516,499
15/04/03;24,979;43617,6016;1805;1,1506;8268,8717;8471,0002;204516,499
16/04/03;24,979;43617,6016;1805;1,1443;8268,8717;8471,0002;204516,499
17/04/03;24,979;43617,6016;1805;1,1492;8268,8717;8471,0002;204516,499
22/04/03;24,979;43617,6016;1805;1,1408;8268,8717;8471,0002;204516,499
23/04/03;24,979;43617,6016;1805;1,1723;8268,8717;8471,0002;204516,499
24/04/03;24,979;43617,6016;1805;1,1425;8268,8717;8471,0002;204516,499
25/04/03;24,979;43617,6016;1805;1,1186;8268,8717;8471,0002;204516,499
28/04/03;24,979;43617,6016;1805;1,1004;8268,8717;8471,0002;204516,499
29/04/03;24,979;43617,6016;1805;1,119;8268,8717;8471,0002;204516,499
30/04/03;24,979;43617,6016;1805;1,1127;8268,8717;8471,0002;204516,499
02/05/03;24,979;43617,6016;1805;1,1232;8268,8717;8471,0002;204516,499
05/05/03;24,979;43617,6016;1805;1,1306;8268,8717;8471,0002;204516,499
06/05/03;24,979;43617,6016;1805;1,1516;8268,8717;8471,0002;204516,499
07/05/03;24,979;43617,6016;1805;1,1376;8268,8717;8471,0002;204516,499
08/05/03;24,979;43617,6016;1805;1,1309;8268,8717;8471,0002;204516,499
09/05/03;24,979;43617,6016;1805;1,1232;8268,8717;8471,0002;204516,499
12/05/03;24,979;43617,6016;1805;1,1453;8268,8717;8471,0002;204516,499
13/05/03;24,979;43617,6016;1805;1,1404;8268,8717;8471,0002;204516,499
14/05/03;24,979;43617,6016;1805;1,1425;8268,8717;8471,0002;204516,499
15/05/03;24,979;43617,6016;1805;1,1337;8268,8717;8471,0002;204516,499
16/05/03;24,979;43617,6016;1805;1,1587;8268,8717;8471,0002;204516,499
19/05/03;24,979;43617,6016;1805;1,1432;8268,8717;8471,0002;204516,499
20/05/03;24,979;43617,6016;1805;1,1671;8268,8717;8471,0002;204516,499
21/05/03;24,979;43617,6016;1805;1,1443;8268,8717;8471,0002;204516,499
22/05/03;24,979;43617,6016;1805;1,1376;8268,8717;8471,0002;204516,499
23/05/03;24,979;43617,6016;1805;1,1541;8268,8717;8471,0002;204516,499
26/05/03;24,979;43617,6016;1805;1,1485;8268,8717;8471,0002;204516,499
27/05/03;24,979;43617,6016;1805;1,159;8268,8717;8471,0002;204516,499
28/05/03;24,979;43617,6016;1805;1,1899;8268,8717;8471,0002;204516,499
29/05/03;24,979;43617,6016;1805;1,1934;8268,8717;8471,0002;204516,499
30/05/03;24,979;43617,6016;1805;1,2394;8268,8717;8471,0002;204516,499
02/06/03;24,979;43617,6016;1805;1,2092;8268,8717;8471,0002;204516,499
03/06/03;24,979;43617,6016;1805;1,2138;8268,8717;8471,0002;204516,499
04/06/03;24,979;43617,6016;1805;1,2447;8268,8717;8471,0002;204516,499
05/06/03;24,979;43617,6016;1805;1,2496;8268,8717;8471,0002;204516,499
06/06/03;24,979;43617,6016;1805;1,2619;8268,8717;8471,0002;204516,499
09/06/03;24,979;43617,6016;1805;1,2362;8268,8717;8471,0002;204516,499
10/06/03;24,979;43617,6016;1805;1,2636;8268,8717;8471,0002;204516,499
11/06/03;24,979;43617,6016;1805;1,2601;8268,8717;8471,0002;204516,499
12/06/03;24,979;43617,6016;1805;1,2636;8268,8717;8471,0002;204516,499
13/06/03;24,979;43617,6016;1805;1,2566;8268,8717;8471,0002;204516,499
16/06/03;24,979;43617,6016;1805;1,2461;8268,8717;8471,0002;204516,499
17/06/03;24,979;43617,6016;1805;1,2513;8268,8717;8471,0002;204516,499
18/06/03;24,979;43617,6016;1805;1,2541;8268,8717;8471,0002;204516,499
19/06/03;24,979;43617,6016;1805;1,2454;8268,8717;8471,0002;204516,499
20/06/03;24,979;43617,6016;1805;1,2496;8268,8717;8471,0002;204516,499
23/06/03;24,979;43617,6016;1805;1,2282;8268,8717;8471,0002;204516,499
24/06/03;24,979;43617,6016;1805;1,2036;8268,8717;8471,0002;204516,499
25/06/03;24,979;43617,6016;1805;1,2145;8268,8717;8471,0002;204516,499
26/06/03;24,979;43617,6016;1805;1,2053;8268,8717;8471,0002;204516,499
27/06/03;24,979;43617,6016;1805;1,2099;8268,8717;8471,0002;204516,499
30/06/03;24,979;40568,3008;1805;1,1661;10166,1233;8718,2;203822,2021
01/07/03;24,979;40568,3008;1805;1,1323;10166,1233;8718,2;203822,2021
02/07/03;24,979;40568,3008;1805;1,1371;10166,1233;8718,2;203822,2021
03/07/03;24,979;40568,3008;1805;1,146;10166,1233;8718,2;203822,2021
04/07/03;24,979;40568,3008;1805;1,1528;10166,1233;8718,2;203822,2021
07/07/03;24,979;40568,3008;1805;1,1674;10166,1233;8718,2;203822,2021
08/07/03;24,979;40568,3008;1805;1,1749;10166,1233;8718,2;203822,2021
09/07/03;24,979;40568,3008;1805;1,1616;10166,1233;8718,2;203822,2021
10/07/03;24,979;40568,3008;1805;1,1572;10166,1233;8718,2;203822,2021
11/07/03;24,979;40568,3008;1805;1,1876;10166,1233;8718,2;203822,2021
14/07/03;24,979;40568,3008;1805;1,1937;10166,1233;8718,2;203822,2021
15/07/03;24,979;40568,3008;1805;1,1893;10166,1233;8718,2;203822,2021
16/07/03;24,979;40568,3008;1805;1,177;10166,1233;8718,2;203822,2021
17/07/03;24,979;40568,3008;1805;1,1767;10166,1233;8718,2;203822,2021
18/07/03;24,979;40568,3008;1805;1,179;10166,1233;8718,2;203822,2021
21/07/03;24,979;40568,3008;1805;1,1767;10166,1233;8718,2;203822,2021
22/07/03;24,979;40568,3008;1805;1,1811;10166,1233;8718,2;203822,2021
23/07/03;24,979;40568,3008;1805;1,1811;10166,1233;8718,2;203822,2021
24/07/03;24,979;40568,3008;1805;1,1903;10166,1233;8718,2;203822,2021
25/07/03;24,979;40568,3008;1805;1,1743;10166,1233;8718,2;203822,2021
28/07/03;24,979;40568,3008;1805;1,2094;10166,1233;8718,2;203822,2021
29/07/03;24,979;40568,3008;1805;1,2056;10166,1233;8718,2;203822,2021
30/07/03;24,979;40568,3008;1805;1,1886;10166,1233;8718,2;203822,2021
31/07/03;24,979;40568,3008;1805;1,2097;10166,1233;8718,2;203822,2021
01/08/03;24,979;40568,3008;1805;1,2091;10166,1233;8718,2;203822,2021
04/08/03;24,979;40568,3008;1805;1,2111;10166,1233;8718,2;203822,2021
05/08/03;24,979;40568,3008;1805;1,2135;10166,1233;8718,2;203822,2021
06/08/03;24,979;40568,3008;1805;1,208;10166,1233;8718,2;203822,2021
07/08/03;24,979;40568,3008;1805;1,2152;10166,1233;8718,2;203822,2021
08/08/03;24,979;40568,3008;1805;1,22;10166,1233;8718,2;203822,2021
11/08/03;24,979;40568,3008;1805;1,2244;10166,1233;8718,2;203822,2021
12/08/03;24,979;40568,3008;1805;1,2172;10166,1233;8718,2;203822,2021
13/08/03;24,979;40568,3008;1805;1,2172;10166,1233;8718,2;203822,2021
14/08/03;24,979;40568,3008;1805;1,2237;10166,1233;8718,2;203822,2021
15/08/03;24,979;40568,3008;1805;1,2312;10166,1233;8718,2;203822,2021
18/08/03;24,979;40568,3008;1805;1,2363;10166,1233;8718,2;203822,2021
19/08/03;24,979;40568,3008;1805;1,2346;10166,1233;8718,2;203822,2021
