Date;PX_LAST
03/01/95;16,6089
04/01/95;16,708
05/01/95;16,4601
06/01/95;16,6337
09/01/95;16,6089
10/01/95;16,5097
11/01/95;16,3858
12/01/95;16,237
13/01/95;16,1131
16/01/95;16,1874
17/01/95;16,0387
18/01/95;15,9891
19/01/95;16,0139
20/01/95;15,9643
23/01/95;15,766
24/01/95;15,9643
25/01/95;15,8652
26/01/95;15,9396
27/01/95;15,9643
30/01/95;15,9148
31/01/95;15,8404
01/02/95;15,8652
02/02/95;15,9891
03/02/95;15,9891
06/02/95;16,0139
07/02/95;15,9891
08/02/95;15,9148
09/02/95;15,9891
10/02/95;16,0387
13/02/95;16,0635
14/02/95;16,0635
15/02/95;16,0139
16/02/95;16,0635
17/02/95;15,9643
20/02/95;15,7908
21/02/95;15,7164
22/02/95;15,766
23/02/95;15,6669
24/02/95;15,7412
27/02/95;15,5677
28/02/95;15,6173
01/03/95;15,5925
02/03/95;15,6669
03/03/95;15,6669
06/03/95;15,4686
07/03/95;15,3694
08/03/95;15,3446
09/03/95;15,3446
10/03/95;15,4438
13/03/95;15,5181
14/03/95;15,6669
15/03/95;15,6669
16/03/95;15,6917
17/03/95;15,6917
20/03/95;15,7412
21/03/95;15,7164
22/03/95;15,5925
23/03/95;15,3942
24/03/95;15,6669
27/03/95;15,6669
28/03/95;15,5925
29/03/95;15,5677
30/03/95;15,89
31/03/95;15,7908
03/04/95;15,9891
04/04/95;16,5345
05/04/95;16,5593
06/04/95;16,7576
07/04/95;16,8568
10/04/95;16,9559
11/04/95;17,0055
12/04/95;16,8815
13/04/95;17,0055
18/04/95;16,9559
19/04/95;16,9807
20/04/95;17,1047
21/04/95;17,3525
24/04/95;17,4021
25/04/95;17,4269
26/04/95;17,5013
27/04/95;17,5757
28/04/95;17,5509
02/05/95;17,6996
03/05/95;17,8235
04/05/95;17,9971
05/05/95;17,1542
08/05/95;17,179
09/05/95;17,1542
10/05/95;17,3525
11/05/95;17,5013
12/05/95;17,5757
15/05/95;17,4517
16/05/95;17,303
17/05/95;17,3525
18/05/95;17,3773
19/05/95;17,3525
22/05/95;17,2782
23/05/95;17,2534
24/05/95;17,3525
26/05/95;17,2534
29/05/95;17,2534
30/05/95;17,3278
31/05/95;17,3525
01/06/95;17,3525
02/06/95;17,3525
06/06/95;17,303
07/06/95;17,303
08/06/95;17,2534
09/06/95;17,3278
12/06/95;17,2534
13/06/95;17,2286
14/06/95;17,1047
15/06/95;17,1542
16/06/95;17,1047
19/06/95;17,0303
20/06/95;17,0551
21/06/95;17,0551
22/06/95;17,1047
23/06/95;17,1047
26/06/95;17,0055
27/06/95;17,0799
28/06/95;16,8815
29/06/95;16,8568
30/06/95;16,7576
03/07/95;16,708
04/07/95;16,9311
05/07/95;16,9311
06/07/95;16,7824
07/07/95;16,8072
10/07/95;16,9807
11/07/95;17,2286
12/07/95;17,303
13/07/95;17,4269
14/07/95;17,303
