Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
31/12/02;37,8879;65001;223;1,0033;3699,0554;3687;128914
02/01/03;37,8879;65001;223;1,0336;3699,0554;3687;128914
03/01/03;37,8879;65001;223;1,0222;3699,0554;3687;128914
06/01/03;37,8879;65001;223;1,0159;3699,0554;3687;128914
07/01/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
08/01/03;37,8879;65001;223;0,9944;3699,0554;3687;128914
09/01/03;37,8879;65001;223;0,9938;3699,0554;3687;128914
10/01/03;37,8879;65001;223;0,997;3699,0554;3687;128914
13/01/03;37,8879;65001;223;0,9843;3699,0554;3687;128914
14/01/03;37,8879;65001;223;0,9976;3699,0554;3687;128914
15/01/03;37,8879;65001;223;0,9667;3699,0554;3687;128914
16/01/03;37,8879;65001;223;0,9591;3699,0554;3687;128914
17/01/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
20/01/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
21/01/03;37,8879;65001;223;0,9471;3699,0554;3687;128914
22/01/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
23/01/03;37,8879;65001;223;0,9402;3699,0554;3687;128914
24/01/03;37,8879;65001;223;0,9339;3699,0554;3687;128914
27/01/03;37,8879;65001;223;0,9238;3699,0554;3687;128914
28/01/03;37,8879;65001;223;0,9162;3699,0554;3687;128914
29/01/03;37,8879;65001;223;0,9093;3699,0554;3687;128914
30/01/03;37,8879;65001;223;0,9244;3699,0554;3687;128914
31/01/03;37,8879;65001;223;0,9351;3699,0554;3687;128914
03/02/03;37,8879;65001;223;0,9332;3699,0554;3687;128914
04/02/03;37,8879;65001;223;0,9276;3699,0554;3687;128914
05/02/03;37,8879;65001;223;0,9257;3699,0554;3687;128914
06/02/03;37,8879;65001;223;0,9225;3699,0554;3687;128914
07/02/03;37,8879;65001;223;0,9225;3699,0554;3687;128914
10/02/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
11/02/03;37,8879;65001;223;0,925;3699,0554;3687;128914
12/02/03;37,8879;65001;223;0,9326;3699,0554;3687;128914
13/02/03;37,8879;65001;223;0,9339;3699,0554;3687;128914
14/02/03;37,8879;65001;223;0,9452;3699,0554;3687;128914
17/02/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
18/02/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
19/02/03;37,8879;65001;223;0,937;3699,0554;3687;128914
20/02/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
21/02/03;37,8879;65001;223;0,9206;3699,0554;3687;128914
24/02/03;37,8879;65001;223;0,9149;3699,0554;3687;128914
25/02/03;37,8879;65001;223;0,9093;3699,0554;3687;128914
26/02/03;37,8879;65001;223;0,896;3699,0554;3687;128914
27/02/03;37,8879;65001;223;0,8979;3699,0554;3687;128914
28/02/03;37,8879;65001;223;0,9023;3699,0554;3687;128914
03/03/03;37,8879;65001;223;0,9023;3699,0554;3687;128914
04/03/03;37,8879;65001;223;0,8973;3699,0554;3687;128914
05/03/03;37,8879;65001;223;0,8973;3699,0554;3687;128914
06/03/03;37,8879;65001;223;0,8966;3699,0554;3687;128914
07/03/03;37,8879;65001;223;0,8916;3699,0554;3687;128914
10/03/03;37,8879;65001;223;0,8897;3699,0554;3687;128914
11/03/03;37,8879;65001;223;0,8859;3699,0554;3687;128914
12/03/03;37,8879;65001;223;0,8821;3699,0554;3687;128914
13/03/03;37,8879;65001;223;0,8834;3699,0554;3687;128914
14/03/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
17/03/03;37,8879;65001;223;0,944;3699,0554;3687;128914
18/03/03;37,8879;65001;223;0,9206;3699,0554;3687;128914
19/03/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
20/03/03;37,8879;65001;223;0,9099;3699,0554;3687;128914
21/03/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
24/03/03;37,8879;65001;223;0,8916;3699,0554;3687;128914
25/03/03;37,8879;65001;223;0,9036;3699,0554;3687;128914
26/03/03;37,8879;65001;223;0,908;3699,0554;3687;128914
27/03/03;37,8879;65001;223;0,891;3699,0554;3687;128914
28/03/03;37,8879;65001;223;0,8922;3699,0554;3687;128914
31/03/03;37,8879;65001;223;0,8897;3699,0554;3687;128914
01/04/03;37,8879;65001;223;0,9061;3699,0554;3687;128914
02/04/03;37,8879;65001;223;0,9212;3699,0554;3687;128914
03/04/03;37,8879;65001;223;0,9339;3699,0554;3687;128914
04/04/03;37,8879;65001;223;0,944;3699,0554;3687;128914
07/04/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
08/04/03;37,8879;65001;223;0,9339;3699,0554;3687;128914
09/04/03;37,8879;65001;223;0,9339;3699,0554;3687;128914
10/04/03;37,8879;65001;223;0,9156;3699,0554;3687;128914
11/04/03;37,8879;65001;223;0,9269;3699,0554;3687;128914
14/04/03;37,8879;65001;223;0,9389;3699,0554;3687;128914
15/04/03;37,8879;65001;223;0,949;3699,0554;3687;128914
16/04/03;37,8879;65001;223;0,9433;3699,0554;3687;128914
17/04/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
22/04/03;37,8879;65001;223;0,9553;3699,0554;3687;128914
23/04/03;37,8879;65001;223;0,9591;3699,0554;3687;128914
24/04/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
25/04/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
28/04/03;37,8879;65001;223;0,9705;3699,0554;3687;128914
29/04/03;37,8879;65001;223;0,9717;3699,0554;3687;128914
30/04/03;37,8879;65001;223;0,9591;3699,0554;3687;128914
02/05/03;37,8879;65001;223;0,949;3699,0554;3687;128914
05/05/03;37,8879;65001;223;0,949;3699,0554;3687;128914
06/05/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
07/05/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
08/05/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
09/05/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
12/05/03;37,8879;65001;223;0,9597;3699,0554;3687;128914
13/05/03;37,8879;65001;223;0,9604;3699,0554;3687;128914
14/05/03;37,8879;65001;223;0,9711;3699,0554;3687;128914
15/05/03;37,8879;65001;223;0,9717;3699,0554;3687;128914
16/05/03;37,8879;65001;223;0,9717;3699,0554;3687;128914
19/05/03;37,8879;65001;223;0,9578;3699,0554;3687;128914
20/05/03;37,8879;65001;223;0,9578;3699,0554;3687;128914
21/05/03;37,8879;65001;223;0,9465;3699,0554;3687;128914
22/05/03;37,8879;65001;223;0,9591;3699,0554;3687;128914
23/05/03;37,8879;65001;223;0,9673;3699,0554;3687;128914
26/05/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
27/05/03;37,8879;65001;223;0,9528;3699,0554;3687;128914
28/05/03;37,8879;65001;223;0,9629;3699,0554;3687;128914
29/05/03;37,8879;65001;223;0,9705;3699,0554;3687;128914
30/05/03;37,8879;65001;223;0,978;3699,0554;3687;128914
02/06/03;37,8879;65001;223;0,997;3699,0554;3687;128914
03/06/03;37,8879;65001;223;1,0033;3699,0554;3687;128914
04/06/03;37,8879;65001;223;1,0197;3699,0554;3687;128914
05/06/03;37,8879;65001;223;1,0184;3699,0554;3687;128914
06/06/03;37,8879;65001;223;1,0197;3699,0554;3687;128914
09/06/03;37,8879;65001;223;1,0083;3699,0554;3687;128914
10/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
11/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
12/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
13/06/03;37,8879;65001;223;1,0033;3699,0554;3687;128914
16/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
17/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
18/06/03;37,8879;65001;223;1,0096;3699,0554;3687;128914
19/06/03;37,8879;65001;223;1,0033;3699,0554;3687;128914
20/06/03;37,8879;65001;223;0,9724;3699,0554;3687;128914
23/06/03;37,8879;65001;223;0,978;3699,0554;3687;128914
24/06/03;37,8879;65001;223;0,985;3699,0554;3687;128914
