Year,Quarter,MVA,DELTA_MVA
2003,1,140149.44108966013,8.30651345605143e-16
2003,2,140151.12679614697,1.2027921579507021e-05
2003,3,140104.03993199975,-0.00033597206974802135
2003,4,140269.6484313678,0.001182039429044448
2004,1,150654.9035610203,0.0740377925359518
2004,2,150858.08977941333,0.0013486863924793394
2004,3,163548.55113011991,0.08412184834941724
2004,4,163648.20751111492,0.0006093382075620778
2005,1,169971.51226457013,0.038639621231572246
2005,2,170348.0951574485,0.002215564760594629
2005,3,190965.31069917974,0.12102991537812775
2005,4,191275.1881583119,0.0016226897858968151
2006,1,209528.04327825972,0.09542719730507099
2006,2,210688.43155604703,0.005538104874325945
2006,3,280767.74131801986,0.33262058692259255
2006,4,288597.9730059493,0.027888644369084694
2007,1,711907.3177973406,1.466778648451093
2007,2,710466.9571982105,-0.0020232417382455843
2007,3,619972.2218351101,-0.12737360189131727
2007,4,618063.6880712303,-0.0030784181882061706
2008,1,484413.1832397398,-0.21624066809129164
2008,2,481665.990396322,-0.0056711768764109065
2008,3,291925.23643583985,-0.39392599382896143
2008,4,289573.34285156755,-0.0080564928643612
2009,1,127909.8170518001,-0.5582817955816969
2009,2,128107.9505252403,0.0015490091222628015
2009,3,140100.94391874017,0.09361630831130162
2009,4,143327.13085547337,0.02302758886909723
2010,1,333515.82217931974,1.3269552679152334
2010,2,332791.10717328236,-0.002172955397743405
2010,3,286679.30986211996,-0.13856078578191172
2010,4,286389.80013032665,-0.0010098731294300653
2011,1,267885.3241513598,-0.06461290161362618
2011,2,268277.53766237677,0.0014641097352364448
2011,3,293154.20229172026,0.09272734812651515
2011,4,291314.1259969937,-0.006276820459477842
2012,1,170734.45500422982,-0.41391631998651596
2012,2,171217.92729004673,0.0028317206729299832
2012,3,202001.98790325,0.17979461088238985
2012,4,202601.30424268034,0.002966883374025938
2013,1,239729.27120799953,0.18325630777206883
2013,2,240694.69152563543,0.004027127404055135
2013,3,300007.0898177302,0.24642171340026264
2013,4,301648.56094040646,0.005471441103853753
2014,1,406691.18770995055,0.3482285028712478
2014,2,407461.9933265356,0.0018953093646445214
2014,3,455218.71111917886,0.11720533098745119
2014,4,456792.8338502753,0.003457948218399015
2015,1,559562.8424442011,0.22498165684361657
2015,2,560772.636898016,0.0021620350067034656
2015,3,630202.8472643498,0.12381169443358672
2015,4,627557.0394445445,-0.004198343170441928
2016,1,468047.2929164995,-0.25417569480095115
2016,2,465757.133876043,-0.004893007768907301
