Date;PX_LAST
01/04/96;4,1422
02/04/96;3,9717
03/04/96;3,9928
04/04/96;4,0218
09/04/96;4,0068
10/04/96;3,9918
11/04/96;3,9216
12/04/96;3,9817
15/04/96;3,9125
16/04/96;3,9015
17/04/96;3,9577
18/04/96;3,9918
19/04/96;4,0018
22/04/96;4,0439
23/04/96;4,057
24/04/96;4,0921
25/04/96;4,0469
26/04/96;4,0168
29/04/96;4,0218
30/04/96;4,0559
02/05/96;4,0519
03/05/96;4,0118
06/05/96;4,0098
07/05/96;3,9617
09/05/96;3,736
10/05/96;3,6498
13/05/96;3,6558
14/05/96;3,6909
15/05/96;3,6879
17/05/96;3,7009
20/05/96;3,6708
21/05/96;3,6658
22/05/96;3,6327
23/05/96;3,6407
24/05/96;3,6207
28/05/96;3,6106
29/05/96;3,5906
30/05/96;3,5705
31/05/96;3,5906
03/06/96;3,5585
04/06/96;3,5956
05/06/96;3,6207
06/06/96;3,6859
07/06/96;3,6798
10/06/96;3,6909
11/06/96;3,6608
12/06/96;3,6608
13/06/96;3,6307
14/06/96;3,6116
17/06/96;3,6688
18/06/96;3,6106
19/06/96;3,5876
20/06/96;3,5545
21/06/96;3,5695
24/06/96;3,5404
25/06/96;3,5304
26/06/96;3,5204
27/06/96;3,5454
28/06/96;3,5505
01/07/96;3,4803
02/07/96;3,4552
03/07/96;3,4692
04/07/96;3,406
05/07/96;3,39
08/07/96;3,3097
09/07/96;3,3057
10/07/96;3,3138
11/07/96;3,4341
12/07/96;3,4722
15/07/96;3,4903
16/07/96;3,4301
17/07/96;3,4602
18/07/96;3,5103
19/07/96;3,4502
22/07/96;3,405
23/07/96;3,4
24/07/96;3,3699
25/07/96;3,3699
26/07/96;3,3599
29/07/96;3,3699
30/07/96;3,3439
31/07/96;3,3489
01/08/96;3,405
02/08/96;3,38
05/08/96;3,38
06/08/96;3,405
07/08/96;3,389
08/08/96;3,3649
09/08/96;3,3398
12/08/96;3,3158
13/08/96;3,3178
14/08/96;3,3188
19/08/96;3,2195
20/08/96;3,1794
21/08/96;3,2085
22/08/96;3,2777
23/08/96;3,2746
26/08/96;3,3198
27/08/96;3,3298
28/08/96;3,3348
29/08/96;3,3589
30/08/96;3,2596
02/09/96;3,2987
03/09/96;3,1794
04/09/96;3,1994
05/09/96;3,1533
06/09/96;3,049
09/09/96;3,048
10/09/96;3,0139
11/09/96;2,9587
12/09/96;3,062
13/09/96;3,0239
16/09/96;3,06
17/09/96;3,071
18/09/96;3,059
19/09/96;3,059
20/09/96;3,1392
23/09/96;3,1222
24/09/96;3,1021
25/09/96;2,7922
26/09/96;2,6829
27/09/96;2,6428
30/09/96;2,5977
01/10/96;2,707
02/10/96;2,7381
03/10/96;2,6949
04/10/96;2,6899
07/10/96;2,6849
08/10/96;2,5676
09/10/96;2,3569
10/10/96;2,3419
11/10/96;2,3539
14/10/96;2,3569
15/10/96;2,4552
16/10/96;2,4763
17/10/96;2,4051
18/10/96;2,4733
21/10/96;2,4372
22/10/96;2,4572
23/10/96;2,367
24/10/96;2,2827
25/10/96;2,4221
28/10/96;2,5987
29/10/96;2,6137
30/10/96;2,6769
31/10/96;2,708
04/11/96;2,728
05/11/96;2,7862
06/11/96;2,8484
07/11/96;2,8885
08/11/96;2,8083
12/11/96;2,7621
13/11/96;2,7822
14/11/96;2,7481
15/11/96;2,7491
18/11/96;2,8574
19/11/96;2,8454
20/11/96;2,8785
21/11/96;2,8634
22/11/96;2,9226
25/11/96;3,0379
26/11/96;3,039
27/11/96;3,0189
