Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/12/00;5,7989;6744,6719;15,785;1,7346;7757,3411;4472,2;20581,0008
02/01/01;5,7989;6744,6719;15,785;1,7191;7757,3411;4472,2;20581,0008
03/01/01;5,7989;6744,6719;15,785;1,704;7757,3411;4472,2;20581,0008
04/01/01;5,7989;6744,6719;15,785;1,7231;7757,3411;4472,2;20581,0008
05/01/01;5,7989;6744,6719;15,785;1,706;7757,3411;4472,2;20581,0008
08/01/01;5,7989;6744,6719;15,785;1,7044;7757,3411;4472,2;20581,0008
09/01/01;5,7989;6744,6719;15,785;1,7136;7757,3411;4472,2;20581,0008
10/01/01;5,7989;6744,6719;15,785;1,6612;7757,3411;4472,2;20581,0008
11/01/01;5,7989;6744,6719;15,785;1,6675;7757,3411;4472,2;20581,0008
12/01/01;5,7989;6744,6719;15,785;1,6355;7757,3411;4472,2;20581,0008
15/01/01;5,7989;6744,6719;15,785;1,6418;7757,3411;4472,2;20581,0008
16/01/01;5,7989;6744,6719;15,785;1,6566;7757,3411;4472,2;20581,0008
17/01/01;5,7989;6744,6719;15,785;1,6945;7757,3411;4472,2;20581,0008
18/01/01;5,7989;6744,6719;15,785;1,672;7757,3411;4472,2;20581,0008
19/01/01;5,7989;6744,6719;15,785;1,6368;7757,3411;4472,2;20581,0008
22/01/01;5,7989;6744,6719;15,785;1,6691;7757,3411;4472,2;20581,0008
23/01/01;5,7989;6744,6719;15,785;1,6555;7757,3411;4472,2;20581,0008
24/01/01;5,7989;6744,6719;15,785;1,6473;7757,3411;4472,2;20581,0008
25/01/01;5,7989;6744,6719;15,785;1,6654;7757,3411;4472,2;20581,0008
26/01/01;5,7989;6744,6719;15,785;1,7104;7757,3411;4472,2;20581,0008
29/01/01;5,7989;6744,6719;15,785;1,7083;7757,3411;4472,2;20581,0008
30/01/01;5,7989;6744,6719;15,785;1,6962;7757,3411;4472,2;20581,0008
31/01/01;5,7989;6744,6719;15,785;1,7357;7757,3411;4472,2;20581,0008
01/02/01;5,7989;6744,6719;15,785;1,7359;7757,3411;4472,2;20581,0008
02/02/01;5,7989;6744,6719;15,785;1,7498;7757,3411;4472,2;20581,0008
05/02/01;5,7989;6744,6719;15,785;1,7303;7757,3411;4472,2;20581,0008
06/02/01;5,7989;6744,6719;15,785;1,7426;7757,3411;4472,2;20581,0008
07/02/01;5,7989;6744,6719;15,785;1,73;7757,3411;4472,2;20581,0008
08/02/01;5,7989;6744,6719;15,785;1,731;7757,3411;4472,2;20581,0008
09/02/01;5,7989;6744,6719;15,785;1,7308;7757,3411;4472,2;20581,0008
12/02/01;5,7989;6744,6719;15,785;1,7603;7757,3411;4472,2;20581,0008
13/02/01;5,7989;6744,6719;15,785;1,7749;7757,3411;4472,2;20581,0008
14/02/01;5,7989;6744,6719;15,785;1,7682;7757,3411;4472,2;20581,0008
15/02/01;5,7989;6744,6719;15,785;1,7742;7757,3411;4472,2;20581,0008
16/02/01;5,7989;6744,6719;15,785;1,7545;7757,3411;4472,2;20581,0008
19/02/01;5,7989;6744,6719;15,785;1,7619;7757,3411;4472,2;20581,0008
20/02/01;5,7989;6744,6719;15,785;1,7466;7757,3411;4472,2;20581,0008
21/02/01;5,7989;6744,6719;15,785;1,7283;7757,3411;4472,2;20581,0008
22/02/01;5,7989;6744,6719;15,785;1,7272;7757,3411;4472,2;20581,0008
23/02/01;5,7989;6744,6719;15,785;1,7221;7757,3411;4472,2;20581,0008
26/02/01;5,7989;6744,6719;15,785;1,7195;7757,3411;4472,2;20581,0008
27/02/01;5,7989;6744,6719;15,785;1,7149;7757,3411;4472,2;20581,0008
28/02/01;5,7989;6744,6719;15,785;1,7234;7757,3411;4472,2;20581,0008
01/03/01;5,7989;6744,6719;15,785;1,7274;7757,3411;4472,2;20581,0008
02/03/01;5,7989;6744,6719;15,785;1,7099;7757,3411;4472,2;20581,0008
05/03/01;5,7989;6744,6719;15,785;1,6793;7757,3411;4472,2;20581,0008
06/03/01;5,7989;6744,6719;15,785;1,6868;7757,3411;4472,2;20581,0008
07/03/01;5,7989;6744,6719;15,785;1,6969;7757,3411;4472,2;20581,0008
08/03/01;5,7989;6744,6719;15,785;1,7277;7757,3411;4472,2;20581,0008
09/03/01;5,7989;6744,6719;15,785;1,703;7757,3411;4472,2;20581,0008
12/03/01;5,7989;6744,6719;15,785;1,681;7757,3411;4472,2;20581,0008
13/03/01;5,7989;6744,6719;15,785;1,6698;7757,3411;4472,2;20581,0008
14/03/01;5,7989;6744,6719;15,785;1,6379;7757,3411;4472,2;20581,0008
15/03/01;5,7989;6744,6719;15,785;1,6086;7757,3411;4472,2;20581,0008
16/03/01;5,7989;6744,6719;15,785;1,5552;7757,3411;4472,2;20581,0008
19/03/01;5,7989;6744,6719;15,785;1,5509;7757,3411;4472,2;20581,0008
20/03/01;5,7989;6744,6719;15,785;1,5228;7757,3411;4472,2;20581,0008
21/03/01;5,7989;6744,6719;15,785;1,4853;7757,3411;4472,2;20581,0008
22/03/01;5,7989;6744,6719;15,785;1,4023;7757,3411;4472,2;20581,0008
23/03/01;5,7989;6744,6719;15,785;1,4303;7757,3411;4472,2;20581,0008
26/03/01;5,7989;6744,6719;15,785;1,4752;7757,3411;4472,2;20581,0008
27/03/01;5,7989;6744,6719;15,785;1,5045;7757,3411;4472,2;20581,0008
28/03/01;5,7989;6744,6719;15,785;1,4662;7757,3411;4472,2;20581,0008
29/03/01;5,7989;6744,6719;15,785;1,4576;7757,3411;4472,2;20581,0008
30/03/01;5,6842;6744,6719;15,785;1,4888;6629,7012;4453,0999;21128,6004
02/04/01;5,6842;6744,6719;15,785;1,5133;6629,7012;4453,0999;21128,6004
03/04/01;5,6842;6744,6719;15,785;1,4869;6629,7012;4453,0999;21128,6004
04/04/01;5,6842;6744,6719;15,785;1,5175;6629,7012;4453,0999;21128,6004
05/04/01;5,6842;6744,6719;15,785;1,5571;6629,7012;4453,0999;21128,6004
06/04/01;5,6842;6744,6719;15,785;1,5563;6629,7012;4453,0999;21128,6004
