Year,Quarter,MVA,DELTA_MVA
2001,1,44868.00128763151,-0.00257967055590993
2001,2,37830.910448091985,-0.15683985552259036
2001,3,46783.853744004206,0.2366568287643145
2001,4,38891.14429860465,-0.16870584216057827
2002,1,53632.44336275523,0.37903999303716723
2002,2,48831.27967253533,-0.08951976432895538
2002,3,39583.020639545524,-0.1893921088083096
2002,4,32591.32595759589,-0.17663368204306676
2003,1,39344.51033171725,0.20720802777118758
2003,2,36141.48133628364,-0.08140980707164905
2003,3,42874.90265148002,0.18630728642648275
2003,4,42874.90265148002,0.0
2004,1,42874.90265148002,0.0
2004,2,42874.90265148002,0.0
2004,3,43020.96851503093,0.003406791724712353
2004,4,52684.25084588641,0.22461796338869644
2005,1,63948.12991499596,0.21379973878833344
2005,2,70027.97454274427,0.09507462744930988
2005,3,79828.92920880212,0.13995770590330953
2005,4,86704.98328704535,0.08613486547286754
2006,1,87792.92264175993,0.012547598920731508
2006,2,99452.79382443638,0.13281106075320778
2006,3,85907.5072115555,-0.13619815082110537
2006,4,100541.46791796116,0.17034554000464858
2007,1,109387.88522723324,0.08798774766736549
2007,2,103570.14980671425,-0.05318445830115204
2007,3,104124.25378926616,0.005350035541958727
2007,4,98416.47066196868,-0.05481703752565941
2008,1,94177.59857666741,-0.04307075895721286
2008,2,86588.36672876019,-0.0805842574306993
2008,3,78783.28584285927,-0.09014006362252433
2008,4,80287.46109158908,0.019092568082651785
2009,1,67806.37155679881,-0.15545502828333663
2009,2,67869.76317692426,0.0009348917906976661
2009,3,92206.9712214863,0.3585869009314106
2009,4,99445.63803838422,0.07850455037190454
2010,1,82141.55572176159,-0.17400544315421426
2010,2,78206.37857758992,-0.04790726337715481
2010,3,59259.542023539856,-0.24226715133283627
2010,4,66135.495545887,0.11603116202983449
2011,1,62473.41481155621,-0.055372394265798
2011,2,68175.96401288199,0.0912796141931228
2011,3,64064.50874160468,-0.060306521965724454
2011,4,58197.05614100475,-0.09158663222199183
2012,1,45959.77855210042,-0.2102731375149771
2012,2,46111.03839694041,0.0032911351970183692
2012,3,35291.864147513224,-0.2346330645667061
2012,4,42320.77395427888,0.19916516105202484
2013,1,44752.41770145073,0.05745744985190658
2013,2,37396.81605128138,-0.16436210662940132
2013,3,36041.62836626315,-0.03623804986926945
2013,4,47269.057901502114,0.3115128268108005
2014,1,56272.97441869236,0.19048225026934848
2014,2,69041.66319358896,0.2269062353074264
2014,3,55664.31685142967,-0.19375759104542367
2014,4,51076.62804660059,-0.08241705035334947
2015,1,49883.91744127929,-0.02335139673341612
2015,2,66388.97441007107,0.330869302480517
2015,3,61544.27815188624,-0.07297441030283332
2015,4,61356.90684992424,-0.003044495891227779
2016,1,62232.86148671744,0.01427638193913094
2016,2,44814.777697257916,-0.27988563233874636
2016,3,34740.59974385001,-0.2247958925839838
