Date;PX_LAST
01/04/96;4,1966
02/04/96;4,2819
03/04/96;4,2289
04/04/96;4,2929
05/04/96;4,2429
09/04/96;4,3574
10/04/96;4,4028
11/04/96;4,3417
12/04/96;4,3676
15/04/96;4,4079
16/04/96;4,3972
17/04/96;4,3417
18/04/96;4,3803
19/04/96;4,4812
22/04/96;4,6704
23/04/96;4,6691
24/04/96;4,6628
26/04/96;4,7417
29/04/96;4,6305
30/04/96;4,7633
02/05/96;4,796
03/05/96;4,8261
06/05/96;4,7476
07/05/96;4,8269
08/05/96;4,762
09/05/96;4,7663
10/05/96;4,7858
13/05/96;4,7166
14/05/96;4,7663
15/05/96;4,678
16/05/96;4,6187
17/05/96;4,7629
20/05/96;4,7993
21/05/96;4,7845
22/05/96;4,74
23/05/96;4,6615
24/05/96;4,5975
27/05/96;4,6008
28/05/96;4,5236
29/05/96;4,5788
30/05/96;4,4723
31/05/96;4,4923
03/06/96;4,323
04/06/96;4,371
05/06/96;4,4163
06/06/96;4,4638
07/06/96;4,4049
10/06/96;4,3803
11/06/96;4,3726
12/06/96;4,4151
13/06/96;4,3264
14/06/96;4,2904
17/06/96;4,2976
18/06/96;4,4074
19/06/96;4,4151
20/06/96;4,2887
21/06/96;4,2471
24/06/96;4,1661
25/06/96;4,2127
26/06/96;4,1568
27/06/96;4,1283
28/06/96;4,1143
01/07/96;4,0465
02/07/96;3,9226
03/07/96;4,0566
04/07/96;4,0948
05/07/96;4,0431
08/07/96;3,9582
09/07/96;4,0897
10/07/96;4,0074
11/07/96;3,9684
12/07/96;3,9256
15/07/96;3,7958
16/07/96;3,6796
17/07/96;3,7381
18/07/96;3,7525
19/07/96;3,7228
22/07/96;3,739
23/07/96;3,7334
24/07/96;3,6232
25/07/96;3,5294
26/07/96;3,5205
29/07/96;3,4429
30/07/96;3,406
31/07/96;3,5328
01/08/96;3,5922
02/08/96;3,6783
05/08/96;3,6232
06/08/96;3,5803
07/08/96;3,6321
08/08/96;3,7156
09/08/96;3,6707
12/08/96;3,6342
13/08/96;3,6109
14/08/96;3,5841
16/08/96;3,6049
19/08/96;3,5265
20/08/96;3,5612
21/08/96;3,5786
22/08/96;3,593
23/08/96;3,5774
26/08/96;3,5044
27/08/96;3,5379
28/08/96;3,4921
29/08/96;3,4565
30/08/96;3,4344
02/09/96;3,4047
03/09/96;3,3708
04/09/96;3,414
05/09/96;3,3504
06/09/96;3,4476
09/09/96;3,476
10/09/96;3,4972
11/09/96;3,4391
12/09/96;3,448
13/09/96;3,5239
16/09/96;3,6126
17/09/96;3,5082
18/09/96;3,4263
19/09/96;3,4692
20/09/96;3,4225
23/09/96;3,4225
24/09/96;3,4043
25/09/96;3,5451
26/09/96;3,6469
27/09/96;3,7326
30/09/96;3,7334
01/10/96;3,652
02/10/96;3,6138
03/10/96;3,7203
04/10/96;3,6524
07/10/96;3,5799
08/10/96;3,5655
09/10/96;3,5298
10/10/96;3,532
11/10/96;3,5197
14/10/96;3,4603
15/10/96;3,5366
16/10/96;3,4403
17/10/96;3,4836
18/10/96;3,5112
21/10/96;3,5002
22/10/96;3,4828
23/10/96;3,4437
24/10/96;3,4925
25/10/96;3,518
28/10/96;3,4476
29/10/96;3,4077
30/10/96;3,3254
31/10/96;3,3865
04/11/96;3,4285
05/11/96;3,4862
06/11/96;3,5608
07/11/96;3,5532
08/11/96;3,6278
11/11/96;3,6062
12/11/96;3,7407
13/11/96;3,8153
14/11/96;3,9833
15/11/96;3,9426
18/11/96;3,8683
19/11/96;3,8531
20/11/96;3,806
21/11/96;3,8089
22/11/96;3,8505
25/11/96;3,8043
26/11/96;3,7899
27/11/96;3,6927
28/11/96;3,6834
29/11/96;3,7411
02/12/96;3,6541
03/12/96;3,711
04/12/96;3,6779
