Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
31/03/05;15,8804;3397,1001;151,8;1,3019;663,1872;509,4;10715,5
01/04/05;15,8804;3397,1001;151,8;1,3058;663,1872;509,4;10715,5
04/04/05;15,8804;3397,1001;151,8;1,305;663,1872;509,4;10715,5
05/04/05;15,8804;3397,1001;151,8;1,305;663,1872;509,4;10715,5
06/04/05;15,8804;3397,1001;151,8;1,305;663,1872;509,4;10715,5
07/04/05;15,8804;3397,1001;151,8;1,3058;663,1872;509,4;10715,5
08/04/05;15,8804;3397,1001;151,8;1,305;663,1872;509,4;10715,5
11/04/05;15,8804;3397,1001;151,8;1,3034;663,1872;509,4;10715,5
12/04/05;15,8804;3397,1001;151,8;1,3017;663,1872;509,4;10715,5
13/04/05;15,8804;3397,1001;151,8;1,305;663,1872;509,4;10715,5
14/04/05;15,8804;3397,1001;151,8;1,3017;663,1872;509,4;10715,5
15/04/05;15,8804;3397,1001;151,8;1,3006;663,1872;509,4;10715,5
18/04/05;15,8804;3397,1001;151,8;1,2985;663,1872;509,4;10715,5
19/04/05;15,8804;3397,1001;151,8;1,2985;663,1872;509,4;10715,5
20/04/05;15,8804;3397,1001;151,8;1,2985;663,1872;509,4;10715,5
21/04/05;15,8804;3397,1001;151,8;1,2985;663,1872;509,4;10715,5
22/04/05;15,8804;3397,1001;151,8;1,2985;663,1872;509,4;10715,5
25/04/05;15,8804;3397,1001;151,8;1,3034;663,1872;509,4;10715,5
26/04/05;15,8804;3397,1001;151,8;1,3034;663,1872;509,4;10715,5
27/04/05;15,8804;3397,1001;151,8;1,3034;663,1872;509,4;10715,5
28/04/05;15,8804;3397,1001;151,8;1,3001;663,1872;509,4;10715,5
29/04/05;15,8804;3397,1001;151,8;1,3001;663,1872;509,4;10715,5
02/05/05;15,8804;3397,1001;151,8;1,2789;663,1872;509,4;10715,5
03/05/05;15,8804;3397,1001;151,8;1,2903;663,1872;509,4;10715,5
04/05/05;15,8804;3397,1001;151,8;1,2789;663,1872;509,4;10715,5
