Year,Quarter,MVA,DELTA_MVA
2005,2,8164.745039147942,0.009304592952750632
2005,3,13478.525933829185,0.6508201871831848
2005,4,12002.904160000027,-0.10947946244815666
2006,1,11985.260000000026,-0.0014699909092668792
2006,2,10889.334392932751,-0.09143945204920646
2006,3,13049.424771865091,0.19836753110770966
2006,4,13044.685165324669,-0.00036320425024721965
2007,1,13301.273564705067,0.019669957237638855
2007,2,13533.677961148896,0.01747234167565088
2007,3,13889.86701408757,0.026318717939142935
2007,4,14277.111966709464,0.027879673162395174
2008,1,14260.87382491038,-0.0011373547981515329
2008,2,14402.12998446931,0.009905154571397123
2008,3,14736.606242092314,0.02322408268663664
2008,4,15173.562134168767,0.029651052956030845
2009,1,15121.837866156697,-0.003408841480643154
2009,2,15555.225695498424,0.028659732578648223
2009,3,15837.108262217655,0.01812140641590339
2009,4,16212.379244945128,0.023695675783359522
2010,1,16573.038684952342,0.022245929148225662
2010,2,16442.821819569446,-0.007857150873673365
2010,3,16619.354290468367,0.010736142058586359
2010,4,16929.518311074746,0.018662820178535194
2011,1,17064.89276580001,0.007996355964641174
2011,2,17087.822437844454,0.0013436751322807754
2011,3,17049.700024927835,-0.0022309696308751817
2011,4,17115.67223254552,0.0038694057679154546
2012,1,17272.65984388291,0.009172155741500921
2012,2,18013.147966906068,0.04287053237405132
2012,3,17618.94039488285,-0.021884435343975352
2012,4,17967.04403131636,0.01975735365644406
2013,1,17772.26125858331,-0.010841114008155552
2013,2,17783.265948155557,0.0006192059306427982
2013,3,17476.565011725408,-0.01724660348241369
2013,4,17632.850047441658,0.008942548813877021
2014,1,17580.459498671346,-0.0029711900588591253
2014,2,17709.032576530833,0.0073134082683791604
2014,3,17702.8837652613,-0.0003472132790405576
2014,4,18035.296344557344,0.01877731242569323
2015,1,17927.0974742847,-0.005999284303709093
2015,2,18161.700214641744,0.013086487686786285
2015,3,18816.975423159587,0.03608005862741687
2015,4,18351.5070710203,-0.024736619019356174
2016,1,18871.376753991917,0.028328446321041784
2016,2,18569.349230351163,-0.01600453043665007
2016,3,18780.992824497003,0.011397469643142576
