Date;PX_LAST
03/01/95;13,951
04/01/95;13,927
05/01/95;13,951
09/01/95;13,881
10/01/95;13,927
11/01/95;13,927
12/01/95;13,951
13/01/95;13,881
16/01/95;13,951
17/01/95;13,927
18/01/95;13,927
19/01/95;13,927
20/01/95;13,881
23/01/95;13,834
24/01/95;13,811
25/01/95;13,811
26/01/95;13,811
27/01/95;13,811
30/01/95;13,811
31/01/95;13,811
01/02/95;13,811
02/02/95;13,788
03/02/95;13,602
06/02/95;13,648
07/02/95;13,672
08/02/95;13,625
09/02/95;13,579
10/02/95;13,555
13/02/95;13,555
14/02/95;13,579
15/02/95;13,555
16/02/95;13,509
17/02/95;13,509
20/02/95;13,486
21/02/95;13,486
22/02/95;13,323
23/02/95;13,369
24/02/95;13,393
27/02/95;13,393
28/02/95;13,416
01/03/95;13,439
02/03/95;13,486
03/03/95;13,532
06/03/95;13,555
07/03/95;13,555
09/03/95;13,486
10/03/95;13,486
13/03/95;13,462
14/03/95;13,486
15/03/95;13,486
17/03/95;13,579
20/03/95;13,579
21/03/95;13,648
22/03/95;13,648
23/03/95;13,695
24/03/95;13,741
27/03/95;13,788
28/03/95;13,834
29/03/95;13,811
30/03/95;13,718
31/03/95;13,718
03/04/95;13,811
04/04/95;13,858
05/04/95;13,927
06/04/95;13,951
07/04/95;13,997
10/04/95;13,997
11/04/95;13,997
12/04/95;13,997
13/04/95;13,974
19/04/95;13,951
20/04/95;13,951
21/04/95;13,974
24/04/95;13,951
25/04/95;13,951
26/04/95;13,951
27/04/95;13,951
28/04/95;13,951
02/05/95;13,974
03/05/95;14,067
04/05/95;14,044
05/05/95;14,044
08/05/95;14,02
09/05/95;14,02
10/05/95;13,997
11/05/95;14,02
12/05/95;14,02
15/05/95;14,02
16/05/95;14,02
17/05/95;13,974
18/05/95;13,951
19/05/95;13,951
22/05/95;13,718
23/05/95;13,718
24/05/95;13,672
26/05/95;13,695
29/05/95;13,718
30/05/95;13,765
31/05/95;13,765
01/06/95;13,765
02/06/95;13,765
06/06/95;13,811
07/06/95;13,811
08/06/95;13,834
09/06/95;13,858
12/06/95;13,881
13/06/95;13,904
14/06/95;13,858
16/06/95;13,881
19/06/95;13,858
20/06/95;13,881
21/06/95;13,811
22/06/95;13,834
23/06/95;13,811
26/06/95;13,811
27/06/95;13,788
28/06/95;13,788
29/06/95;13,741
30/06/95;13,741
04/07/95;13,765
05/07/95;13,765
06/07/95;13,765
07/07/95;13,811
10/07/95;13,811
11/07/95;13,765
12/07/95;13,788
13/07/95;13,811
14/07/95;13,788
17/07/95;13,811
18/07/95;13,741
19/07/95;13,695
20/07/95;13,648
21/07/95;13,695
24/07/95;13,695
25/07/95;13,741
26/07/95;13,695
27/07/95;13,718
31/07/95;13,741
01/08/95;13,741
02/08/95;13,741
03/08/95;13,765
04/08/95;13,788
07/08/95;13,811
08/08/95;13,765
09/08/95;13,788
10/08/95;13,788
11/08/95;13,834
14/08/95;13,788
16/08/95;13,811
17/08/95;13,834
18/08/95;13,858
21/08/95;13,858
22/08/95;13,858
24/08/95;13,741
25/08/95;13,718
28/08/95;13,718
29/08/95;13,741
30/08/95;13,718
31/08/95;13,695
01/09/95;13,718
04/09/95;13,765
05/09/95;13,741
06/09/95;13,695
07/09/95;13,695
11/09/95;13,718
12/09/95;13,672
13/09/95;13,672
14/09/95;13,672
15/09/95;13,672
18/09/95;13,672
19/09/95;13,648
20/09/95;13,602
21/09/95;13,625
22/09/95;13,625
25/09/95;13,625
26/09/95;13,648
27/09/95;13,648
28/09/95;13,648
29/09/95;13,648
02/10/95;13,625
03/10/95;13,625
04/10/95;13,625
05/10/95;13,625
06/10/95;13,625
09/10/95;13,625
10/10/95;13,625
11/10/95;13,625
12/10/95;13,625
13/10/95;13,625
16/10/95;13,625
17/10/95;13,602
18/10/95;13,602
19/10/95;13,555
23/10/95;13,602
24/10/95;13,555
25/10/95;13,555
27/10/95;13,579
30/10/95;13,579
02/11/95;13,602
03/11/95;13,602
06/11/95;13,602
07/11/95;13,602
08/11/95;13,625
09/11/95;13,648
10/11/95;13,648
13/11/95;13,672
14/11/95;13,672
15/11/95;13,625
16/11/95;13,625
17/11/95;13,625
20/11/95;13,625
21/11/95;13,579
22/11/95;13,602
23/11/95;13,579
24/11/95;13,579
27/11/95;13,579
28/11/95;13,579
29/11/95;13,579
30/11/95;13,602
01/12/95;13,486
04/12/95;13,486
05/12/95;13,486
06/12/95;13,509
07/12/95;13,509
11/12/95;13,509
12/12/95;13,532
13/12/95;13,532
14/12/95;13,532
15/12/95;13,555
18/12/95;13,532
19/12/95;13,532
20/12/95;13,579
21/12/95;13,602
22/12/95;13,648
27/12/95;13,625
28/12/95;13,672
02/01/96;13,672
03/01/96;13,718
04/01/96;13,718
05/01/96;13,741
08/01/96;13,718
09/01/96;13,695
10/01/96;13,695
11/01/96;13,695
12/01/96;13,718
15/01/96;13,695
16/01/96;13,718
17/01/96;13,765
18/01/96;13,811
19/01/96;13,788
22/01/96;13,788
23/01/96;13,788
24/01/96;13,834
25/01/96;13,741
26/01/96;13,788
29/01/96;13,718
30/01/96;13,765
31/01/96;13,788
01/02/96;13,811
02/02/96;13,811
05/02/96;13,788
06/02/96;13,788
07/02/96;13,741
08/02/96;13,602
09/02/96;13,579
13/02/96;13,486
14/02/96;13,486
15/02/96;13,532
16/02/96;13,555
19/02/96;13,532
20/02/96;13,532
21/02/96;13,532
22/02/96;13,462
23/02/96;13,462
26/02/96;13,486
27/02/96;13,462
29/02/96;13,462
01/03/96;13,695
04/03/96;13,579
05/03/96;13,555
06/03/96;13,555
07/03/96;13,555
08/03/96;13,579
11/03/96;13,579
12/03/96;13,555
13/03/96;13,555
14/03/96;13,555
15/03/96;13,532
19/03/96;13,555
20/03/96;13,555
21/03/96;13,555
22/03/96;13,532
25/03/96;13,532
26/03/96;13,532
27/03/96;13,532
28/03/96;13,532
29/03/96;13,532
01/04/96;13,555
03/04/96;13,579
04/04/96;13,602
09/04/96;13,602
10/04/96;13,648
11/04/96;13,672
12/04/96;13,648
15/04/96;13,672
16/04/96;13,718
17/04/96;13,811
18/04/96;13,811
19/04/96;13,811
22/04/96;13,811
23/04/96;13,811
24/04/96;13,834
25/04/96;13,834
26/04/96;13,834
29/04/96;13,834
30/04/96;13,788
02/05/96;13,741
03/05/96;13,788
06/05/96;13,788
07/05/96;13,788
08/05/96;13,788
09/05/96;13,788
10/05/96;13,788
13/05/96;13,788
14/05/96;13,811
15/05/96;13,811
17/05/96;13,858
20/05/96;13,951
21/05/96;13,974
22/05/96;13,974
23/05/96;13,951
24/05/96;13,974
28/05/96;13,741
29/05/96;13,741
30/05/96;13,741
31/05/96;13,741
03/06/96;13,741
04/06/96;13,718
05/06/96;13,718
07/06/96;13,718
10/06/96;13,741
11/06/96;13,718
12/06/96;13,718
13/06/96;13,718
14/06/96;13,718
18/06/96;13,718
19/06/96;13,718
20/06/96;13,718
21/06/96;13,741
24/06/96;13,741
25/06/96;13,741
26/06/96;13,741
27/06/96;13,765
28/06/96;13,718
01/07/96;13,765
03/07/96;13,741
04/07/96;13,718
05/07/96;13,718
08/07/96;13,718
09/07/96;13,718
10/07/96;13,718
11/07/96;13,765
12/07/96;13,718
15/07/96;13,718
16/07/96;13,718
17/07/96;13,765
18/07/96;13,718
19/07/96;13,741
22/07/96;13,741
23/07/96;13,741
24/07/96;13,741
26/07/96;13,718
29/07/96;13,718
30/07/96;13,718
31/07/96;13,718
01/08/96;13,718
02/08/96;13,718
05/08/96;13,741
06/08/96;13,765
07/08/96;13,765
08/08/96;13,765
09/08/96;13,765
12/08/96;13,765
13/08/96;13,765
14/08/96;13,741
16/08/96;13,741
19/08/96;13,718
20/08/96;13,718
21/08/96;13,741
22/08/96;13,718
23/08/96;13,718
26/08/96;13,718
27/08/96;13,741
28/08/96;13,765
30/08/96;13,765
02/09/96;13,765
03/09/96;13,765
04/09/96;13,765
05/09/96;13,765
09/09/96;13,741
10/09/96;13,765
11/09/96;13,765
12/09/96;13,765
13/09/96;13,765
16/09/96;13,765
17/09/96;13,765
18/09/96;13,741
19/09/96;13,718
20/09/96;13,718
23/09/96;13,718
24/09/96;13,718
25/09/96;13,718
26/09/96;13,718
27/09/96;13,718
30/09/96;13,625
01/10/96;13,625
02/10/96;13,602
03/10/96;13,625
04/10/96;13,695
07/10/96;13,695
08/10/96;13,648
09/10/96;13,672
10/10/96;13,672
11/10/96;13,695
14/10/96;13,718
15/10/96;13,718
16/10/96;13,718
17/10/96;13,765
18/10/96;13,788
21/10/96;13,811
23/10/96;13,765
24/10/96;13,695
25/10/96;13,718
28/10/96;13,718
29/10/96;13,718
30/10/96;13,718
31/10/96;13,718
04/11/96;13,672
05/11/96;13,695
06/11/96;13,695
07/11/96;13,648
08/11/96;13,625
11/11/96;13,718
12/11/96;13,765
13/11/96;13,834
14/11/96;13,951
15/11/96;13,974
