Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/12/05;13,4194;510,75;44,828;1,5497;759,6842;490,205;6172,968
02/01/06;13,4194;510,75;44,828;1,5498;759,6842;490,205;6172,968
03/01/06;13,4194;510,75;44,828;1,5703;759,6842;490,205;6172,968
04/01/06;13,4194;510,75;44,828;1,6056;759,6842;490,205;6172,968
05/01/06;13,4194;510,75;44,828;1,5964;759,6842;490,205;6172,968
06/01/06;13,4194;510,75;44,828;1,5954;759,6842;490,205;6172,968
09/01/06;13,4194;510,75;44,828;1,56;759,6842;490,205;6172,968
10/01/06;13,4194;510,75;44,828;1,57;759,6842;490,205;6172,968
11/01/06;13,4194;510,75;44,828;1,6023;759,6842;490,205;6172,968
12/01/06;13,4194;510,75;44,828;1,5947;759,6842;490,205;6172,968
13/01/06;13,4194;510,75;44,828;1,5743;759,6842;490,205;6172,968
16/01/06;13,4194;510,75;44,828;1,5695;759,6842;490,205;6172,968
17/01/06;13,4194;510,75;44,828;1,5632;759,6842;490,205;6172,968
18/01/06;13,4194;510,75;44,828;1,5655;759,6842;490,205;6172,968
19/01/06;13,4194;510,75;44,828;1,5683;759,6842;490,205;6172,968
20/01/06;13,4194;510,75;44,828;1,5574;759,6842;490,205;6172,968
23/01/06;13,4194;510,75;44,828;1,5486;759,6842;490,205;6172,968
24/01/06;13,4194;510,75;44,828;1,58;759,6842;490,205;6172,968
25/01/06;13,4194;510,75;44,828;1,6201;759,6842;490,205;6172,968
26/01/06;13,4194;510,75;44,828;1,6802;759,6842;490,205;6172,968
27/01/06;13,4194;510,75;44,828;1,6662;759,6842;490,205;6172,968
30/01/06;13,4194;510,75;44,828;1,6459;759,6842;490,205;6172,968
31/01/06;13,4194;510,75;44,828;1,6439;759,6842;490,205;6172,968
01/02/06;13,4194;510,75;44,828;1,6478;759,6842;490,205;6172,968
02/02/06;13,4194;510,75;44,828;1,6427;759,6842;490,205;6172,968
03/02/06;13,4194;510,75;44,828;1,6356;759,6842;490,205;6172,968
06/02/06;13,4194;510,75;44,828;1,682;759,6842;490,205;6172,968
07/02/06;13,4194;510,75;44,828;1,6864;759,6842;490,205;6172,968
08/02/06;13,4194;510,75;44,828;1,6877;759,6842;490,205;6172,968
09/02/06;13,4194;510,75;44,828;1,7172;759,6842;490,205;6172,968
10/02/06;13,4194;510,75;44,828;1,717;759,6842;490,205;6172,968
13/02/06;13,4194;510,75;44,828;1,7237;759,6842;490,205;6172,968
14/02/06;13,4194;510,75;44,828;1,7112;759,6842;490,205;6172,968
15/02/06;13,4194;510,75;44,828;1,7152;759,6842;490,205;6172,968
16/02/06;13,4194;510,75;44,828;1,6964;759,6842;490,205;6172,968
17/02/06;13,4194;510,75;44,828;1,7291;759,6842;490,205;6172,968
20/02/06;13,4194;510,75;44,828;1,7479;759,6842;490,205;6172,968
21/02/06;13,4194;510,75;44,828;1,7217;759,6842;490,205;6172,968
22/02/06;13,4194;510,75;44,828;1,7386;759,6842;490,205;6172,968
23/02/06;13,4194;510,75;44,828;1,7388;759,6842;490,205;6172,968
24/02/06;13,4194;510,75;44,828;1,7377;759,6842;490,205;6172,968
27/02/06;13,4194;510,75;44,828;1,7486;759,6842;490,205;6172,968
28/02/06;13,4194;510,75;44,828;1,7386;759,6842;490,205;6172,968
01/03/06;13,4194;510,75;44,828;1,7245;759,6842;490,205;6172,968
02/03/06;13,4194;510,75;44,828;1,7012;759,6842;490,205;6172,968
03/03/06;13,4194;510,75;44,828;1,6797;759,6842;490,205;6172,968
06/03/06;13,4194;510,75;44,828;1,6858;759,6842;490,205;6172,968
07/03/06;13,4194;510,75;44,828;1,6607;759,6842;490,205;6172,968
08/03/06;13,4194;510,75;44,828;1,6582;759,6842;490,205;6172,968
09/03/06;13,4194;510,75;44,828;1,6865;759,6842;490,205;6172,968
10/03/06;13,4194;510,75;44,828;1,6924;759,6842;490,205;6172,968
13/03/06;13,4194;510,75;44,828;1,7299;759,6842;490,205;6172,968
14/03/06;13,4194;510,75;44,828;1,7363;759,6842;490,205;6172,968
15/03/06;13,4194;510,75;44,828;1,724;759,6842;490,205;6172,968
16/03/06;13,4194;510,75;44,828;1,7868;759,6842;490,205;6172,968
17/03/06;13,4194;510,75;44,828;1,7858;759,6842;490,205;6172,968
20/03/06;13,4194;510,75;44,828;1,8461;759,6842;490,205;6172,968
21/03/06;13,4194;510,75;44,828;1,9209;759,6842;490,205;6172,968
22/03/06;13,4194;510,75;44,828;1,9403;759,6842;490,205;6172,968
23/03/06;13,4194;510,75;44,828;1,9021;759,6842;490,205;6172,968
24/03/06;13,4194;510,75;44,828;1,8983;759,6842;490,205;6172,968
27/03/06;13,4194;510,75;44,828;1,8236;759,6842;490,205;6172,968
28/03/06;13,4194;510,75;44,828;1,818;759,6842;490,205;6172,968
29/03/06;13,4194;510,75;44,828;1,8199;759,6842;490,205;6172,968
30/03/06;13,4194;510,75;44,828;1,835;759,6842;490,205;6172,968
31/03/06;13,4194;2416,542;36,637;1,7902;903,1955;504,514;6175,422
03/04/06;13,4194;2416,542;36,637;1,7909;903,1955;504,514;6175,422
04/04/06;13,4194;2416,542;36,637;1,8259;903,1955;504,514;6175,422
05/04/06;13,4194;2416,542;36,637;1,819;903,1955;504,514;6175,422
06/04/06;13,4194;2416,542;36,637;1,7984;903,1955;504,514;6175,422
07/04/06;13,4194;2416,542;36,637;1,79;903,1955;504,514;6175,422
10/04/06;13,4194;2416,542;36,637;1,7837;903,1955;504,514;6175,422
11/04/06;13,4194;2416,542;36,637;1,7566;903,1955;504,514;6175,422
12/04/06;13,4194;2416,542;36,637;1,7491;903,1955;504,514;6175,422
13/04/06;13,4194;2416,542;36,637;1,7455;903,1955;504,514;6175,422
18/04/06;13,4194;2416,542;36,637;1,7579;903,1955;504,514;6175,422
19/04/06;13,4194;2416,542;36,637;1,7938;903,1955;504,514;6175,422
20/04/06;13,4194;2416,542;36,637;1,7914;903,1955;504,514;6175,422
21/04/06;13,4194;2416,542;36,637;1,7855;903,1955;504,514;6175,422
24/04/06;13,4194;2416,542;36,637;1,7647;903,1955;504,514;6175,422
25/04/06;13,4194;2416,542;36,637;1,7603;903,1955;504,514;6175,422
26/04/06;13,4194;2416,542;36,637;1,7785;903,1955;504,514;6175,422
27/04/06;13,4194;2416,542;36,637;1,7479;903,1955;504,514;6175,422
28/04/06;13,4194;2416,542;36,637;1,7578;903,1955;504,514;6175,422
02/05/06;13,4194;2416,542;36,637;1,7473;903,1955;504,514;6175,422
03/05/06;13,4194;2416,542;36,637;1,7437;903,1955;504,514;6175,422
04/05/06;13,4194;2416,542;36,637;1,7451;903,1955;504,514;6175,422
05/05/06;13,4194;2416,542;36,637;1,7783;903,1955;504,514;6175,422
08/05/06;13,4194;2416,542;36,637;1,8097;903,1955;504,514;6175,422
09/05/06;13,4194;2416,542;36,637;1,7862;903,1955;504,514;6175,422
10/05/06;13,4194;2416,542;36,637;1,793;903,1955;504,514;6175,422
11/05/06;13,4194;2416,542;36,637;1,7892;903,1955;504,514;6175,422
12/05/06;13,4194;2416,542;36,637;1,7512;903,1955;504,514;6175,422
15/05/06;13,4194;2416,542;36,637;1,6795;903,1955;504,514;6175,422
16/05/06;13,4194;2416,542;36,637;1,6539;903,1955;504,514;6175,422
17/05/06;13,4194;2416,542;36,637;1,6064;903,1955;504,514;6175,422
18/05/06;13,4194;2416,542;36,637;1,57;903,1955;504,514;6175,422
19/05/06;13,4194;2416,542;36,637;1,5597;903,1955;504,514;6175,422
22/05/06;13,4194;2416,542;36,637;1,5392;903,1955;504,514;6175,422
23/05/06;13,4194;2416,542;36,637;1,557;903,1955;504,514;6175,422
24/05/06;13,4194;2416,542;36,637;1,5206;903,1955;504,514;6175,422
25/05/06;13,4194;2416,542;36,637;1,561;903,1955;504,514;6175,422
26/05/06;13,4194;2416,542;36,637;1,6198;903,1955;504,514;6175,422
29/05/06;13,4194;2416,542;36,637;1,593;903,1955;504,514;6175,422
30/05/06;13,4194;2416,542;36,637;1,5443;903,1955;504,514;6175,422
31/05/06;13,4194;2416,542;36,637;1,5917;903,1955;504,514;6175,422
01/06/06;13,4194;2416,542;36,637;1,5727;903,1955;504,514;6175,422
02/06/06;13,4194;2416,542;36,637;1,5872;903,1955;504,514;6175,422
05/06/06;13,4194;2416,542;36,637;1,5602;903,1955;504,514;6175,422
06/06/06;13,4194;2416,542;36,637;1,5484;903,1955;504,514;6175,422
07/06/06;13,4194;2416,542;36,637;1,5314;903,1955;504,514;6175,422
08/06/06;13,4194;2416,542;36,637;1,4757;903,1955;504,514;6175,422
