Date;PX_LAST
16/12/98;25,4366
17/12/98;25,3302
18/12/98;24,776
21/12/98;24,2355
22/12/98;24,25
23/12/98;23,7313
28/12/98;23,7531
29/12/98;23,3481
30/12/98;23,528
04/01/99;23,4687
05/01/99;23,8435
07/01/99;23,4171
08/01/99;23,3312
11/01/99;22,6705
12/01/99;22,8392
13/01/99;22,2363
14/01/99;22,1301
15/01/99;22,9485
18/01/99;22,772
19/01/99;22,7892
20/01/99;22,2035
21/01/99;22,2238
22/01/99;22,5487
25/01/99;22,1504
26/01/99;22,1426
27/01/99;22,4143
28/01/99;22,4018
29/01/99;22,2753
01/02/99;22,041
02/02/99;22,1098
03/02/99;22,369
04/02/99;22,3206
05/02/99;22,5815
08/02/99;22,2753
09/02/99;22,1176
10/02/99;22,2363
11/02/99;22,4284
12/02/99;22,2128
15/02/99;22,1738
16/02/99;22,18
17/02/99;21,8942
18/02/99;22,18
19/02/99;22,3316
22/02/99;22,2706
23/02/99;22,0473
24/02/99;22,3784
25/02/99;21,8676
26/02/99;22,0238
01/03/99;22,0067
02/03/99;21,9457
03/03/99;21,9973
04/03/99;22,2082
05/03/99;22,1019
08/03/99;23,1656
09/03/99;23,4062
10/03/99;24,1841
11/03/99;24,8541
12/03/99;25,7288
15/03/99;25,254
16/03/99;25,0588
17/03/99;24,5917
18/03/99;24,7651
19/03/99;24,9916
22/03/99;24,5011
23/03/99;24,4293
24/03/99;23,8888
25/03/99;24,5699
26/03/99;24,637
29/03/99;24,8354
30/03/99;24,5308
31/03/99;24,8573
01/04/99;25,2165
06/04/99;25,279
07/04/99;25,3446
08/04/99;25,6304
09/04/99;26,3286
12/04/99;26,7066
13/04/99;26,6567
14/04/99;27,1253
15/04/99;27,3361
16/04/99;26,9503
19/04/99;27,0097
20/04/99;26,7738
21/04/99;26,4833
22/04/99;26,6832
23/04/99;26,5536
26/04/99;26,3146
27/04/99;26,0053
28/04/99;25,8241
29/04/99;25,8007
30/04/99;26,2318
03/05/99;26,9862
04/05/99;26,9894
05/05/99;26,6301
06/05/99;26,6301
07/05/99;26,994
10/05/99;26,2802
11/05/99;25,7101
12/05/99;25,4899
13/05/99;25,0244
14/05/99;24,8088
17/05/99;24,3231
18/05/99;24,3324
19/05/99;24,6901
20/05/99;24,8979
21/05/99;24,8104
24/05/99;24,6152
25/05/99;24,6277
26/05/99;24,1341
27/05/99;24,3512
28/05/99;24,1466
31/05/99;24,0544
01/06/99;24,9916
02/06/99;24,7839
03/06/99;24,9416
04/06/99;25,6898
07/06/99;26,6895
08/06/99;26,5536
09/06/99;26,7113
10/06/99;26,6067
11/06/99;26,5458
14/06/99;26,4349
15/06/99;26,4677
17/06/99;26,1631
18/06/99;26,2224
21/06/99;26,5536
22/06/99;26,085
23/06/99;26,2849
24/06/99;26,3677
25/06/99;26,174
28/06/99;26,4364
29/06/99;25,946
30/06/99;25,8913
01/07/99;25,9303
02/07/99;26,3005
05/07/99;25,8507
06/07/99;26,135
07/07/99;26,2412
08/07/99;26,5176
09/07/99;27,1159
12/07/99;26,4755
13/07/99;26,2131
14/07/99;26,6098
15/07/99;26,1631
16/07/99;25,9522
19/07/99;25,9975
20/07/99;26,1553
21/07/99;25,9022
22/07/99;25,7991
23/07/99;25,6008
26/07/99;25,4133
27/07/99;25,4539
28/07/99;25,2462
29/07/99;24,7807
30/07/99;24,7307
02/08/99;24,6277
03/08/99;25,0775
04/08/99;25,1087
05/08/99;24,8901
06/08/99;24,9619
09/08/99;24,9807
10/08/99;24,623
11/08/99;24,5714
12/08/99;24,7214
13/08/99;24,5324
16/08/99;24,648
17/08/99;24,5527
18/08/99;24,7386
19/08/99;24,4449
20/08/99;24,5168
23/08/99;24,7307
24/08/99;24,9807
25/08/99;24,9151
26/08/99;25,026
27/08/99;24,9916
30/08/99;25,0088
31/08/99;25,2603
01/09/99;25,4024
02/09/99;24,8963
03/09/99;25,0541
06/09/99;24,8026
07/09/99;24,8354
08/09/99;24,9088
09/09/99;24,976
10/09/99;24,9916
13/09/99;24,8838
14/09/99;24,7792
15/09/99;24,7526
16/09/99;24,5511
