Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/05;14,1469;7426,21;164,599;1,212;3386,6774;2794,233;37144,434
01/07/05;14,1469;7426,21;164,599;1,215;3386,6774;2794,233;37144,434
04/07/05;14,1469;7426,21;164,599;1,2083;3386,6774;2794,233;37144,434
05/07/05;14,1469;7426,21;164,599;1,2165;3386,6774;2794,233;37144,434
06/07/05;14,1469;7426,21;164,599;1,2217;3386,6774;2794,233;37144,434
07/07/05;14,1469;7426,21;164,599;1,1881;3386,6774;2794,233;37144,434
08/07/05;14,1469;7426,21;164,599;1,2206;3386,6774;2794,233;37144,434
11/07/05;14,1469;7426,21;164,599;1,2328;3386,6774;2794,233;37144,434
12/07/05;14,1469;7426,21;164,599;1,2209;3386,6774;2794,233;37144,434
13/07/05;14,1469;7426,21;164,599;1,2472;3386,6774;2794,233;37144,434
14/07/05;14,1469;7426,21;164,599;1,2535;3386,6774;2794,233;37144,434
15/07/05;14,1469;7426,21;164,599;1,2336;3386,6774;2794,233;37144,434
18/07/05;14,1469;7426,21;164,599;1,2353;3386,6774;2794,233;37144,434
19/07/05;14,1469;7426,21;164,599;1,235;3386,6774;2794,233;37144,434
20/07/05;14,1469;7426,21;164,599;1,2282;3386,6774;2794,233;37144,434
21/07/05;14,1469;7426,21;164,599;1,2276;3386,6774;2794,233;37144,434
22/07/05;14,1469;7426,21;164,599;1,2226;3386,6774;2794,233;37144,434
25/07/05;14,1469;7426,21;164,599;1,2096;3386,6774;2794,233;37144,434
26/07/05;14,1469;7426,21;164,599;1,2197;3386,6774;2794,233;37144,434
27/07/05;14,1469;7426,21;164,599;1,2257;3386,6774;2794,233;37144,434
28/07/05;14,1469;7426,21;164,599;1,2288;3386,6774;2794,233;37144,434
29/07/05;14,1469;7426,21;164,599;1,2089;3386,6774;2794,233;37144,434
01/08/05;14,1469;7426,21;164,599;1,2083;3386,6774;2794,233;37144,434
02/08/05;14,1469;7426,21;164,599;1,2178;3386,6774;2794,233;37144,434
03/08/05;14,1469;7426,21;164,599;1,245;3386,6774;2794,233;37144,434
04/08/05;14,1469;7426,21;164,599;1,2293;3386,6774;2794,233;37144,434
05/08/05;14,1469;7426,21;164,599;1,2172;3386,6774;2794,233;37144,434
08/08/05;14,1469;7426,21;164,599;1,2157;3386,6774;2794,233;37144,434
09/08/05;14,1469;7426,21;164,599;1,216;3386,6774;2794,233;37144,434
