Year,Quarter,MVA,DELTA_MVA
2005,3,39545.10795922749,0.0003889004465752226
2005,4,40512.52880383182,0.02446373001691573
2006,1,39430.49046490516,-0.02670873359118264
2006,2,39694.637403227985,0.006699052819490724
2006,3,40996.965091280246,0.03280865560813398
2006,4,43222.49160963619,0.05428515289853246
2007,1,42613.08476723072,-0.014099299223870002
2007,2,41108.29658610414,-0.03531281974413077
2007,3,41469.95078902819,0.008797596421115196
2007,4,43167.376339882794,0.04093145804512739
2008,1,43511.24696284591,0.00796598385446483
2008,2,43739.70705317621,0.005250598552723186
2008,3,43570.300037991976,-0.003873071554372239
2008,4,45560.99554918888,0.04568927708693953
2009,1,44803.60626981385,-0.016623633224988176
2009,2,45487.75039270244,0.015269844993471577
2009,3,44986.469639141214,-0.011020126280890842
2009,4,44677.05476118702,-0.0068779542034786015
2010,1,46768.82710395126,0.04681983523635176
2010,2,45509.078227925005,-0.026935652528259083
2010,3,61493.424840528714,0.3512342423757441
2010,4,52608.20034008965,-0.1444906430806411
2011,1,53175.038867038966,0.010774718072181626
2011,2,55208.426915591124,0.0382395216228525
2011,3,38286.8204676244,-0.30650405007623904
2011,4,52995.4818632785,0.3841703546026197
2012,1,54336.59036297302,0.025306091246691566
2012,2,54539.78323197699,0.0037395218884112113
2012,3,50839.405589218906,-0.06784731114568363
2012,4,53722.300393084675,0.056705910906187325
2013,1,51131.28577682171,-0.048229777900510244
2013,2,52369.7173008227,0.024220621585901558
2013,3,49077.27496700961,-0.06286920196457438
2013,4,50952.397224321925,0.03820754633530076
2014,1,49655.12720033102,-0.025460431592248145
2014,2,50378.815090432596,0.01457428327958747
2014,3,52767.30295772413,0.04741056062958361
2014,4,49096.77421943298,-0.06956066602895913
2015,1,48329.24516269182,-0.015632983407642333
2015,2,49535.30684175227,0.024955111030608115
2015,3,48294.726600196715,-0.025044363720583638
2015,4,50059.31092743326,0.03653782620708237
2016,1,49987.496633447605,-0.0014345841493854827
2016,2,51113.69357853904,0.022529572811971398
2016,3,50047.516495692835,-0.020858932473896894
