Date;PX_LAST
03/01/95;0,8478
04/01/95;0,8442
05/01/95;0,8655
09/01/95;0,8556
10/01/95;0,869
11/01/95;0,8959
12/01/95;0,9129
13/01/95;0,92
16/01/95;0,9285
17/01/95;0,9341
18/01/95;1,0176
19/01/95;1,0381
20/01/95;1,0686
23/01/95;0,9964
24/01/95;1,0035
25/01/95;0,9985
26/01/95;1,024
27/01/95;1,0155
30/01/95;1,019
31/01/95;1,0105
01/02/95;1,0049
02/02/95;1,0021
03/02/95;1,0261
06/02/95;1,0212
07/02/95;1,036
08/02/95;1,0219
09/02/95;1,0219
10/02/95;1,0098
13/02/95;1,0021
14/02/95;0,9907
15/02/95;0,9525
16/02/95;0,9341
17/02/95;0,9582
20/02/95;0,9469
21/02/95;0,9341
22/02/95;0,9164
23/02/95;0,9058
24/02/95;0,8931
27/02/95;0,8888
28/02/95;0,8973
01/03/95;0,9214
02/03/95;0,92
03/03/95;0,8987
06/03/95;0,9044
07/03/95;0,8987
08/03/95;0,8867
09/03/95;0,8782
10/03/95;0,8761
13/03/95;0,8634
15/03/95;0,8499
16/03/95;0,8994
17/03/95;0,8534
20/03/95;0,8563
21/03/95;0,8775
22/03/95;0,874
23/03/95;0,8492
24/03/95;0,8591
27/03/95;0,8605
28/03/95;0,8584
29/03/95;0,8485
30/03/95;0,8407
31/03/95;0,8322
03/04/95;0,8082
04/04/95;0,8209
05/04/95;0,8308
06/04/95;0,8308
07/04/95;0,828
10/04/95;0,8152
11/04/95;0,8266
12/04/95;0,7975
13/04/95;0,8152
14/04/95;0,835
18/04/95;0,835
19/04/95;0,8556
20/04/95;0,8563
21/04/95;0,8478
24/04/95;0,8464
26/04/95;0,8513
27/04/95;0,9023
28/04/95;0,9058
02/05/95;0,9341
03/05/95;0,9369
04/05/95;0,9362
05/05/95;0,9228
08/05/95;0,9207
09/05/95;0,9384
10/05/95;0,9603
11/05/95;0,9553
12/05/95;0,9624
15/05/95;0,9695
16/05/95;0,9766
17/05/95;0,9631
18/05/95;0,9695
19/05/95;0,9426
22/05/95;0,9412
23/05/95;0,92
24/05/95;0,92
25/05/95;0,9001
26/05/95;0,8917
29/05/95;0,9001
30/05/95;0,9256
31/05/95;0,9171
01/06/95;0,9058
02/06/95;0,9185
05/06/95;0,9115
06/06/95;0,9249
07/06/95;0,92
08/06/95;0,927
09/06/95;0,9228
12/06/95;0,9009
13/06/95;0,9037
14/06/95;0,8888
15/06/95;0,8987
16/06/95;0,9058
19/06/95;0,9058
20/06/95;0,903
21/06/95;0,9164
22/06/95;0,92
23/06/95;0,9341
26/06/95;0,9313
27/06/95;0,9313
28/06/95;0,9136
29/06/95;0,903
30/06/95;0,8917
03/07/95;0,9093
04/07/95;0,8987
05/07/95;0,8959
06/07/95;0,8945
07/07/95;0,903
10/07/95;0,9143
11/07/95;0,9178
12/07/95;0,9079
13/07/95;0,9001
14/07/95;0,8846
17/07/95;0,9044
18/07/95;0,881
19/07/95;0,8648
20/07/95;0,8499
21/07/95;0,8662
24/07/95;0,857
25/07/95;0,8591
26/07/95;0,8542
27/07/95;0,8336
28/07/95;0,8839
31/07/95;0,8704
01/08/95;0,8902
02/08/95;0,9023
03/08/95;0,903
04/08/95;0,9023
07/08/95;0,9136
08/08/95;0,9341
09/08/95;0,9412
10/08/95;0,9419
11/08/95;0,9447
16/08/95;0,9419
17/08/95;0,9214
18/08/95;0,9101
21/08/95;0,9355
22/08/95;0,9341
23/08/95;0,9447
24/08/95;0,9391
