Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
06/07/00;14,4126;6169,6836;463,4525;3,3757;7035,7898;2061,73;26978,1117
07/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
10/07/00;14,4126;6169,6836;463,4525;3,3588;7035,7898;2061,73;26978,1117
11/07/00;14,4126;6169,6836;463,4525;3,3452;7035,7898;2061,73;26978,1117
12/07/00;14,4126;6169,6836;463,4525;3,3072;7035,7898;2061,73;26978,1117
13/07/00;14,4126;6169,6836;463,4525;3,2651;7035,7898;2061,73;26978,1117
14/07/00;14,4126;6169,6836;463,4525;3,3968;7035,7898;2061,73;26978,1117
17/07/00;14,4126;6169,6836;463,4525;3,5074;7035,7898;2061,73;26978,1117
18/07/00;14,4126;6169,6836;463,4525;3,4652;7035,7898;2061,73;26978,1117
19/07/00;14,4126;6169,6836;463,4525;3,4652;7035,7898;2061,73;26978,1117
20/07/00;14,4126;6169,6836;463,4525;3,3957;7035,7898;2061,73;26978,1117
21/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
24/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
25/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
26/07/00;14,4126;6169,6836;463,4525;3,3968;7035,7898;2061,73;26978,1117
27/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
28/07/00;14,4126;6169,6836;463,4525;3,3599;7035,7898;2061,73;26978,1117
31/07/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
01/08/00;14,4126;6169,6836;463,4525;3,3704;7035,7898;2061,73;26978,1117
02/08/00;14,4126;6169,6836;463,4525;3,3989;7035,7898;2061,73;26978,1117
03/08/00;14,4126;6169,6836;463,4525;3,402;7035,7898;2061,73;26978,1117
04/08/00;14,4126;6169,6836;463,4525;3,4178;7035,7898;2061,73;26978,1117
07/08/00;14,4126;6169,6836;463,4525;3,5074;7035,7898;2061,73;26978,1117
08/08/00;14,4126;6169,6836;463,4525;3,4968;7035,7898;2061,73;26978,1117
09/08/00;14,4126;6169,6836;463,4525;3,5284;7035,7898;2061,73;26978,1117
10/08/00;14,4126;6169,6836;463,4525;3,5706;7035,7898;2061,73;26978,1117
11/08/00;14,4126;6169,6836;463,4525;3,5758;7035,7898;2061,73;26978,1117
14/08/00;14,4126;6169,6836;463,4525;3,58;7035,7898;2061,73;26978,1117
15/08/00;14,4126;6169,6836;463,4525;3,5474;7035,7898;2061,73;26978,1117
16/08/00;14,4126;6169,6836;463,4525;3,5895;7035,7898;2061,73;26978,1117
17/08/00;14,4126;6169,6836;463,4525;3,5653;7035,7898;2061,73;26978,1117
18/08/00;14,4126;6169,6836;463,4525;3,5916;7035,7898;2061,73;26978,1117
21/08/00;14,4126;6169,6836;463,4525;3,5937;7035,7898;2061,73;26978,1117
22/08/00;14,4126;6169,6836;463,4525;3,6074;7035,7898;2061,73;26978,1117
23/08/00;14,4126;6169,6836;463,4525;3,56;7035,7898;2061,73;26978,1117
24/08/00;14,4126;6169,6836;463,4525;3,5653;7035,7898;2061,73;26978,1117
25/08/00;14,4126;6169,6836;463,4525;3,5811;7035,7898;2061,73;26978,1117
28/08/00;14,4126;6169,6836;463,4525;3,5811;7035,7898;2061,73;26978,1117
29/08/00;14,4126;6169,6836;463,4525;3,5758;7035,7898;2061,73;26978,1117
30/08/00;14,4126;6169,6836;463,4525;3,6074;7035,7898;2061,73;26978,1117
31/08/00;14,4126;6169,6836;463,4525;3,5232;7035,7898;2061,73;26978,1117
01/09/00;14,4126;6169,6836;463,4525;3,4863;7035,7898;2061,73;26978,1117
04/09/00;14,4126;6169,6836;463,4525;3,46;7035,7898;2061,73;26978,1117
05/09/00;14,4126;6169,6836;463,4525;3,4968;7035,7898;2061,73;26978,1117
06/09/00;14,4126;6169,6836;463,4525;3,5232;7035,7898;2061,73;26978,1117
07/09/00;14,4126;6169,6836;463,4525;3,5811;7035,7898;2061,73;26978,1117
08/09/00;14,4126;6169,6836;463,4525;3,5505;7035,7898;2061,73;26978,1117
11/09/00;14,4126;6169,6836;463,4525;3,5526;7035,7898;2061,73;26978,1117
12/09/00;14,4126;6169,6836;463,4525;3,5748;7035,7898;2061,73;26978,1117
13/09/00;14,4126;6169,6836;463,4525;3,5232;7035,7898;2061,73;26978,1117
14/09/00;14,4126;6169,6836;463,4525;3,5758;7035,7898;2061,73;26978,1117
15/09/00;14,4126;6169,6836;463,4525;3,5864;7035,7898;2061,73;26978,1117
18/09/00;14,4126;6169,6836;463,4525;3,539;7035,7898;2061,73;26978,1117
