Year,Quarter,MVA,DELTA_MVA
2000,4,104983.27670676072,0.03467635783117278
2001,1,108979.8185049329,0.038068365967803844
2001,2,116272.80115452207,0.06692048812009214
2001,3,135238.39329972118,0.16311288587598896
2001,4,120771.89863336818,-0.10697032339249793
2002,1,115580.91571379817,-0.042981711625884746
2002,2,139399.9668053665,0.2060811765027814
2002,3,146765.9018784337,0.05284029287719768
2002,4,123657.56337714304,-0.15745032194488415
2003,1,121355.41637397514,-0.018617114394746646
2003,2,128118.05013109754,0.055725850227255756
2003,3,149247.78543182544,0.16492395317526903
2003,4,136595.7876656061,-0.08477176213779479
2004,1,149074.9571833612,0.09135837737767423
2004,2,163951.17831185384,0.09979020896309897
2004,3,171839.511382017,0.04811391507756437
2004,4,165201.3135707216,-0.038630218148944774
2005,1,182503.750461838,0.10473546800043661
2005,2,190999.02396472418,0.04654848725786905
2005,3,180917.14703123408,-0.05278496572501927
2005,4,184611.8345520251,0.02042198642538376
2006,1,191679.4171842892,0.038283475430565594
2006,2,232553.53795180534,0.21324209645429967
2006,3,224688.2348610481,-0.03382147250921308
2006,4,249987.62578036246,0.11259775544082234
2007,1,272069.42905944254,0.08833158525406778
2007,2,312630.5092551806,0.14908356420623853
2007,3,280632.7727910314,-0.10235001228888849
2007,4,248699.84382928407,-0.11378902272945027
2008,1,245002.00349445347,-0.0148686878041183
2008,2,228449.4937557747,-0.06756071175986735
2008,3,172500.60441196663,-0.2449070401688898
2008,4,165931.92315276692,-0.03807917822428242
2009,1,121800.5379958541,-0.26596078872829554
2009,2,97944.00235239374,-0.19586560154826574
2009,3,129352.7375096699,0.32068053584608824
2009,4,147801.91470167128,0.1426268786203477
2010,1,106485.81519507259,-0.2795369707489419
2010,2,118039.7674176504,0.10850226578452715
2010,3,86283.41644827275,-0.2690309517216919
2010,4,103731.09817552568,0.20221361700151133
2011,1,83241.9933544051,-0.19752133334644267
2011,2,93839.52763169186,0.12730995318874047
2011,3,81818.58375347535,-0.12810106979009075
2011,4,88884.04859245816,0.08635525714147664
2012,1,78519.32618140012,-0.11660947689929477
2012,2,78685.94373221936,0.0021219941500046644
2012,3,59588.740561064056,-0.2427015838577991
2012,4,56486.494471437145,-0.05206094407126895
2013,1,78510.50128534355,0.38989863010605164
2013,2,76526.69993538897,-0.025267974569981717
2013,3,63305.76549637539,-0.17276237509491374
2013,4,101150.33189989676,0.5978059992922474
2014,1,113204.41288415053,0.11916995978009316
2014,2,143173.78491798628,0.26473678251841093
2014,3,127565.2659490758,-0.10901799500412356
2014,4,127869.17507764214,0.0023823814915861674
2015,1,111118.01163357928,-0.1310023579482041
2015,2,123114.20809330257,0.10795906337202761
2015,3,118596.65377983321,-0.03669401268491864
2015,4,88779.46983055415,-0.25141673899697603
2016,1,83315.91474250618,-0.061540749212355014
2016,2,62125.43414172917,-0.25433892991834406
2016,3,57803.330122990665,-0.06957060467180518
