Date;PX_LAST
03/01/95;5,8045
04/01/95;5,7679
05/01/95;5,7093
09/01/95;5,6947
10/01/95;5,6983
11/01/95;5,691
12/01/95;5,713
13/01/95;5,8338
16/01/95;5,8814
17/01/95;5,9181
18/01/95;5,9034
19/01/95;5,9583
20/01/95;5,9217
23/01/95;5,8521
24/01/95;5,8485
25/01/95;5,8668
26/01/95;5,8888
27/01/95;5,8631
30/01/95;5,8961
31/01/95;5,8704
01/02/95;5,8961
02/02/95;5,9327
03/02/95;6,0719
06/02/95;6,1048
07/02/95;6,1085
08/02/95;6,0792
09/02/95;6,1195
10/02/95;6,1341
13/02/95;6,1378
14/02/95;6,1891
15/02/95;6,1854
16/02/95;6,1707
17/02/95;6,1121
20/02/95;6,0902
21/02/95;6,0609
22/02/95;6,0169
23/02/95;6,0169
24/02/95;5,9876
27/02/95;5,9547
28/02/95;5,951
01/03/95;5,9876
02/03/95;6,0792
03/03/95;6,0499
06/03/95;6,0902
07/03/95;6,0426
08/03/95;5,9913
09/03/95;5,9254
10/03/95;5,9474
13/03/95;6,0059
14/03/95;6,0169
15/03/95;6,0499
16/03/95;6,1305
17/03/95;6,0426
20/03/95;6,0682
21/03/95;6,0023
22/03/95;6,0426
23/03/95;6,0023
24/03/95;5,9364
27/03/95;6,0865
28/03/95;6,0755
29/03/95;6,0133
30/03/95;6,0462
31/03/95;6,0059
03/04/95;5,9803
04/04/95;6,0609
05/04/95;6,0792
06/04/95;6,0499
07/04/95;6,0792
10/04/95;6,0975
11/04/95;6,0682
12/04/95;6,0243
17/04/95;6,0865
18/04/95;6,0426
19/04/95;6,0316
20/04/95;6,0645
21/04/95;6,0975
24/04/95;6,0792
25/04/95;6,0938
26/04/95;6,0719
27/04/95;6,0975
28/04/95;6,1598
02/05/95;6,1561
03/05/95;6,2733
04/05/95;6,4491
05/05/95;6,4747
08/05/95;6,471
09/05/95;6,5809
10/05/95;6,6432
11/05/95;6,5919
12/05/95;6,5113
15/05/95;6,493
16/05/95;6,6065
17/05/95;6,6029
18/05/95;6,6065
19/05/95;6,6468
22/05/95;6,7604
23/05/95;6,8885
24/05/95;6,9874
25/05/95;6,8592
26/05/95;6,8446
29/05/95;6,7164
30/05/95;6,7164
31/05/95;6,7201
01/06/95;6,8482
02/06/95;6,9398
05/06/95;6,8519
06/06/95;6,8592
07/06/95;6,9032
08/06/95;6,8299
09/06/95;6,8299
12/06/95;6,7384
13/06/95;6,7494
14/06/95;6,7018
