Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/05;14,2426;7361;1848;2,9088;7539,6837;2592;29923
01/07/05;14,2426;7361;1848;2,8736;7539,6837;2592;29923
04/07/05;14,2426;7361;1848;2,7706;7539,6837;2592;29923
05/07/05;14,2426;7361;1848;2,7816;7539,6837;2592;29923
06/07/05;14,2426;7361;1848;2,7899;7539,6837;2592;29923
07/07/05;14,2426;7361;1848;2,759;7539,6837;2592;29923
08/07/05;14,2426;7361;1848;2,7816;7539,6837;2592;29923
11/07/05;14,2426;7361;1848;2,7155;7539,6837;2592;29923
12/07/05;14,2426;7361;1848;2,7265;7539,6837;2592;29923
13/07/05;14,2426;7361;1848;2,7094;7539,6837;2592;29923
14/07/05;14,2426;7361;1848;2,7921;7539,6837;2592;29923
15/07/05;14,2426;7361;1848;2,7761;7539,6837;2592;29923
18/07/05;14,2426;7361;1848;2,7733;7539,6837;2592;29923
19/07/05;14,2426;7361;1848;2,7535;7539,6837;2592;29923
20/07/05;14,2426;7361;1848;2,7001;7539,6837;2592;29923
21/07/05;14,2426;7361;1848;2,6929;7539,6837;2592;29923
22/07/05;14,2426;7361;1848;2,5894;7539,6837;2592;29923
25/07/05;14,2426;7361;1848;2,5447;7539,6837;2592;29923
26/07/05;14,2426;7361;1848;2,5585;7539,6837;2592;29923
27/07/05;14,2426;7361;1848;2,5618;7539,6837;2592;29923
28/07/05;14,2426;7361;1848;2,5475;7539,6837;2592;29923
29/07/05;14,2426;7361;1848;2,5624;7539,6837;2592;29923
01/08/05;14,2426;7361;1848;2,5734;7539,6837;2592;29923
02/08/05;14,2426;7361;1848;2,5701;7539,6837;2592;29923
03/08/05;14,2426;7361;1848;2,5508;7539,6837;2592;29923
04/08/05;14,2426;7361;1848;2,5629;7539,6837;2592;29923
05/08/05;14,2426;7361;1848;2,5569;7539,6837;2592;29923
08/08/05;14,2426;7361;1848;2,564;7539,6837;2592;29923
09/08/05;14,2426;7361;1848;2,5629;7539,6837;2592;29923
10/08/05;14,2426;7361;1848;2,6555;7539,6837;2592;29923
11/08/05;14,2426;7361;1848;2,5723;7539,6837;2592;29923
12/08/05;14,2426;7361;1848;2,5442;7539,6837;2592;29923
15/08/05;14,2426;7361;1848;2,54725;7539,6837;2592;29923
16/08/05;14,2426;7361;1848;2,5503;7539,6837;2592;29923
17/08/05;14,2426;7361;1848;2,5034;7539,6837;2592;29923
18/08/05;14,2426;7361;1848;2,5178;7539,6837;2592;29923
19/08/05;14,2426;7361;1848;2,5503;7539,6837;2592;29923
22/08/05;14,2426;7361;1848;2,6235;7539,6837;2592;29923
23/08/05;14,2426;7361;1848;2,5673;7539,6837;2592;29923
24/08/05;14,2426;7361;1848;2,6224;7539,6837;2592;29923
25/08/05;14,2426;7361;1848;2,6329;7539,6837;2592;29923
26/08/05;14,2426;7361;1848;2,629;7539,6837;2592;29923
29/08/05;14,2426;7361;1848;2,6108;7539,6837;2592;29923
30/08/05;14,2426;7361;1848;2,602;7539,6837;2592;29923
31/08/05;14,2426;7361;1848;2,6053;7539,6837;2592;29923
01/09/05;14,2426;7361;1848;2,6097;7539,6837;2592;29923
02/09/05;14,2426;7361;1848;2,6577;7539,6837;2592;29923
05/09/05;14,2426;7361;1848;2,683;7539,6837;2592;29923
06/09/05;14,2426;7361;1848;2,7149;7539,6837;2592;29923
07/09/05;14,2426;7361;1848;2,721;7539,6837;2592;29923
08/09/05;14,2426;7361;1848;2,7155;7539,6837;2592;29923
09/09/05;14,2426;7361;1848;2,7596;7539,6837;2592;29923
12/09/05;14,2426;7361;1848;2,7563;7539,6837;2592;29923
13/09/05;14,2426;7361;1848;2,726;7539,6837;2592;29923
14/09/05;14,2426;7361;1848;2,7265;7539,6837;2592;29923
15/09/05;14,2426;7361;1848;2,7447;7539,6837;2592;29923
16/09/05;14,2426;7361;1848;2,797;7539,6837;2592;29923
19/09/05;14,2426;7361;1848;2,7717;7539,6837;2592;29923
20/09/05;14,2426;7361;1848;2,737;7539,6837;2592;29923
21/09/05;14,2426;7361;1848;2,7535;7539,6837;2592;29923
22/09/05;14,2426;7361;1848;2,7265;7539,6837;2592;29923
23/09/05;14,2426;7361;1848;2,7017;7539,6837;2592;29923
26/09/05;14,2426;7361;1848;2,7392;7539,6837;2592;29923
27/09/05;14,2426;7361;1848;2,7403;7539,6837;2592;29923
28/09/05;14,2426;7361;1848;2,9683;7539,6837;2592;29923
29/09/05;14,2426;7361;1848;3,0184;7539,6837;2592;29923
30/09/05;12,8322;7823;1839;2,9626;7930,8735;2677;31647
03/10/05;12,8322;7823;1839;3,0399;7930,8735;2677;31647
04/10/05;12,8322;7823;1839;3,1679;7930,8735;2677;31647
05/10/05;12,8322;7823;1839;3,0933;7930,8735;2677;31647
06/10/05;12,8322;7823;1839;2,9333;7930,8735;2677;31647
07/10/05;12,8322;7823;1839;2,8949;7930,8735;2677;31647
10/10/05;12,8322;7823;1839;2,9466;7930,8735;2677;31647
11/10/05;12,8322;7823;1839;3,0079;7930,8735;2677;31647
12/10/05;12,8322;7823;1839;2,9989;7930,8735;2677;31647
13/10/05;12,8322;7823;1839;2,8517;7930,8735;2677;31647
14/10/05;12,8322;7823;1839;2,7199;7930,8735;2677;31647
17/10/05;12,8322;7823;1839;2,7999;7930,8735;2677;31647
18/10/05;12,8322;7823;1839;2,7738;7930,8735;2677;31647
19/10/05;12,8322;7823;1839;2,6773;7930,8735;2677;31647
20/10/05;12,8322;7823;1839;2,7146;7930,8735;2677;31647
21/10/05;12,8322;7823;1839;2,7466;7930,8735;2677;31647
24/10/05;12,8322;7823;1839;2,7946;7930,8735;2677;31647
25/10/05;12,8322;7823;1839;2,8095;7930,8735;2677;31647
26/10/05;12,8322;7823;1839;2,7727;7930,8735;2677;31647
27/10/05;12,8322;7823;1839;2,7359;7930,8735;2677;31647
28/10/05;12,8322;7823;1839;2,7199;7930,8735;2677;31647
31/10/05;12,8322;7823;1839;2,7999;7930,8735;2677;31647
02/11/05;12,8322;7823;1839;2,7733;7930,8735;2677;31647
03/11/05;12,8322;7823;1839;2,7386;7930,8735;2677;31647
04/11/05;12,8322;7823;1839;2,7973;7930,8735;2677;31647
07/11/05;12,8322;7823;1839;2,7866;7930,8735;2677;31647
08/11/05;12,8322;7823;1839;2,8101;7930,8735;2677;31647
09/11/05;12,8322;7823;1839;2,7893;7930,8735;2677;31647
10/11/05;12,8322;7823;1839;2,8666;7930,8735;2677;31647
11/11/05;12,8322;7823;1839;2,9226;7930,8735;2677;31647
14/11/05;12,8322;7823;1839;2,9066;7930,8735;2677;31647
15/11/05;12,8322;7823;1839;2,9066;7930,8735;2677;31647
16/11/05;12,8322;7823;1839;2,9066;7930,8735;2677;31647
17/11/05;12,8322;7823;1839;2,8863;7930,8735;2677;31647
18/11/05;12,8322;7823;1839;2,8474;7930,8735;2677;31647
21/11/05;12,8322;7823;1839;2,7871;7930,8735;2677;31647
22/11/05;12,8322;7823;1839;2,7898;7930,8735;2677;31647
23/11/05;12,8322;7823;1839;2,8399;7930,8735;2677;31647
24/11/05;12,8322;7823;1839;2,8277;7930,8735;2677;31647
25/11/05;12,8322;7823;1839;2,8053;7930,8735;2677;31647
28/11/05;12,8322;7823;1839;2,8405;7930,8735;2677;31647
29/11/05;12,8322;7823;1839;2,8266;7930,8735;2677;31647
30/11/05;12,8322;7823;1839;2,8101;7930,8735;2677;31647
01/12/05;12,8322;7823;1839;2,8266;7930,8735;2677;31647
02/12/05;12,8322;7823;1839;2,8586;7930,8735;2677;31647
05/12/05;12,8322;7823;1839;2,8533;7930,8735;2677;31647
06/12/05;12,8322;7823;1839;2,8479;7930,8735;2677;31647
07/12/05;12,8322;7823;1839;2,8549;7930,8735;2677;31647
08/12/05;12,8322;7823;1839;2,85595;7930,8735;2677;31647
09/12/05;12,8322;7823;1839;2,857;7930,8735;2677;31647
12/12/05;12,8322;7823;1839;2,8666;7930,8735;2677;31647
13/12/05;12,8322;7823;1839;2,8053;7930,8735;2677;31647
14/12/05;12,8322;7823;1839;2,8639;7930,8735;2677;31647
15/12/05;12,8322;7823;1839;2,8159;7930,8735;2677;31647
16/12/05;12,8322;7823;1839;2,8266;7930,8735;2677;31647
19/12/05;12,8322;7823;1839;2,8159;7930,8735;2677;31647
20/12/05;12,8322;7823;1839;2,8266;7930,8735;2677;31647
21/12/05;12,8322;7823;1839;2,8586;7930,8735;2677;31647
22/12/05;12,8322;7823;1839;2,8746;7930,8735;2677;31647
23/12/05;12,8322;7823;1839;2,9018;7930,8735;2677;31647
27/12/05;12,8322;7823;1839;2,9439;7930,8735;2677;31647
28/12/05;12,8322;7823;1839;2,9706;7930,8735;2677;31647
29/12/05;12,8322;7823;1839;2,9626;7930,8735;2677;31647
30/12/05;13,7687;5039,815;2908,161;2,89265;7925,5818;2801,219;37418,5
02/01/06;13,7687;5039,815;2908,161;2,8227;7925,5818;2801,219;37418,5
03/01/06;13,7687;5039,815;2908,161;2,8115;7925,5818;2801,219;37418,5
04/01/06;13,7687;5039,815;2908,161;2,8889;7925,5818;2801,219;37418,5
05/01/06;13,7687;5039,815;2908,161;2,9134;7925,5818;2801,219;37418,5
06/01/06;13,7687;5039,815;2908,161;2,9223;7925,5818;2801,219;37418,5
09/01/06;13,7687;5039,815;2908,161;2,9312;7925,5818;2801,219;37418,5
10/01/06;13,7687;5039,815;2908,161;3,0636;7925,5818;2801,219;37418,5
11/01/06;13,7687;5039,815;2908,161;3,1711;7925,5818;2801,219;37418,5
12/01/06;13,7687;5039,815;2908,161;3,0967;7925,5818;2801,219;37418,5
13/01/06;13,7687;5039,815;2908,161;3,0458;7925,5818;2801,219;37418,5
16/01/06;13,7687;5039,815;2908,161;3,0305;7925,5818;2801,219;37418,5
17/01/06;13,7687;5039,815;2908,161;2,9536;7925,5818;2801,219;37418,5
18/01/06;13,7687;5039,815;2908,161;2,9796;7925,5818;2801,219;37418,5
19/01/06;13,7687;5039,815;2908,161;3,082;7925,5818;2801,219;37418,5
