Year,Quarter,MVA,DELTA_MVA
2005,3,36879.744166299395,-0.001004285702398839
2005,4,34416.92416312852,-0.066779747496768
2006,1,38624.96975760512,0.12226675383690319
2006,2,42319.378717107546,0.09564820329147342
2006,3,44765.921315715954,0.0578114016031005
2006,4,50414.84837049044,0.12618811115122347
2007,1,58483.17470351077,0.1600386908580488
2007,2,59103.823192945274,0.010612428148454244
2007,3,62196.95860478107,0.052333931118774074
2007,4,66542.13167688991,0.06986150399603021
2008,1,79261.31877834324,0.1911448698880607
2008,2,75585.75645093645,-0.046372712239189665
2008,3,80799.69805973968,0.06898047798446864
2008,4,85995.54385670189,0.06430526254096439
2009,1,79058.6474480009,-0.08066576589433788
2009,2,80512.32604073538,0.018387344581003624
2009,3,78472.54965491267,-0.0253349578397559
2009,4,81886.36953233337,0.043503363818725875
2010,1,77796.34643262332,-0.049947544665477836
2010,2,78777.42599983342,0.012610869432792354
2010,3,78458.30119063366,-0.004050967712507258
2010,4,76753.49822644344,-0.021728777431058423
2011,1,123613.16187301948,0.6105215362083881
2011,2,136960.2896599999,0.10797497276779584
2011,3,137272.69422295876,0.0022809864358085182
2011,4,142411.24479867818,0.03743315890175047
2012,1,151550.13314923996,0.06417251926616549
2012,2,152335.17084401046,0.00518005282118375
2012,3,147653.02822060557,-0.03073579526949392
2012,4,151710.25259295158,0.02747809795193764
2013,1,140877.82031988158,-0.07140211085228448
2013,2,135120.21433569453,-0.040869499337182
2013,3,127259.63479578687,-0.05817471189306085
2013,4,131416.90149600795,0.032667598857188555
2014,1,131249.32720430943,-0.0012751350076809459
2014,2,141687.88519965505,0.07953227812814936
2014,3,115574.75218982255,-0.18430039359424408
2014,4,122665.32126327128,0.06135050206988997
2015,1,114730.44939387268,-0.06468716494345071
2015,2,126440.12314211445,0.10206247609160969
2015,3,122948.62710984865,-0.02761382973616276
2015,4,117252.62901435852,-0.046328277341405585
2016,1,114627.63328000832,-0.022387521341024695
2016,2,115493.1278872008,0.007550488328397038
2016,3,114764.23100568028,-0.006311171018178764
