Date;PX_LAST
25/04/05;39,636
26/04/05;38,784
27/04/05;38,411
28/04/05;38,784
29/04/05;38,305
02/05/05;38,478
03/05/05;38,305
04/05/05;38,162
06/05/05;37,587
09/05/05;37,597
10/05/05;38,487
11/05/05;38,784
12/05/05;40,795
13/05/05;40,613
17/05/05;40,221
18/05/05;41,647
19/05/05;41,801
20/05/05;43,275
23/05/05;43,381
24/05/05;43,476
25/05/05;43,285
27/05/05;44,53
30/05/05;45,306
31/05/05;46,445
01/06/05;47,882
02/06/05;46,445
03/06/05;46,646
06/06/05;47,594
07/06/05;46,828
08/06/05;46,426
09/06/05;46,349
10/06/05;47,498
13/06/05;46,924
14/06/05;47,882
15/06/05;48,839
16/06/05;50,276
17/06/05;51,894
20/06/05;51,712
21/06/05;51,722
22/06/05;49,988
23/06/05;47,882
24/06/05;47,403
27/06/05;47,259
28/06/05;49,337
29/06/05;49,605
30/06/05;50,572
01/07/05;49,96
04/07/05;48,169
05/07/05;48,36
06/07/05;48,504
07/07/05;47,968
08/07/05;48,36
11/07/05;47,211
12/07/05;47,403
13/07/05;47,106
14/07/05;48,542
15/07/05;48,265
18/07/05;48,217
19/07/05;47,872
20/07/05;46,943
21/07/05;46,819
22/07/05;45,018
25/07/05;44,243
26/07/05;44,482
27/07/05;44,539
28/07/05;44,29
29/07/05;44,549
01/08/05;44,741
02/08/05;44,683
03/08/05;44,348
04/08/05;44,559
05/08/05;44,453
08/08/05;44,578
09/08/05;44,559
10/08/05;46,167
11/08/05;44,721
12/08/05;44,233
16/08/05;44,338
17/08/05;43,524
18/08/05;43,773
19/08/05;44,338
22/08/05;45,612
23/08/05;44,635
24/08/05;45,593
25/08/05;45,775
26/08/05;45,708
29/08/05;45,392
30/08/05;45,238
31/08/05;45,296
01/09/05;45,373
02/09/05;46,206
05/09/05;46,646
06/09/05;47,202
07/09/05;47,307
08/09/05;47,211
09/09/05;47,977
12/09/05;47,92
13/09/05;47,393
14/09/05;47,403
15/09/05;47,719
16/09/05;48,629
19/09/05;48,188
20/09/05;47,585
21/09/05;47,872
22/09/05;47,403
23/09/05;46,972
26/09/05;47,623
27/09/05;47,642
28/09/05;51,607
29/09/05;52,478
30/09/05;53,196
03/10/05;54,585
04/10/05;56,883
05/10/05;55,543
06/10/05;52,67
07/10/05;51,98
10/10/05;52,909
11/10/05;54,01
12/10/05;53,848
13/10/05;51,205
14/10/05;48,839
17/10/05;50,276
18/10/05;49,806
19/10/05;48,073
20/10/05;48,743
21/10/05;49,318
24/10/05;50,18
25/10/05;50,448
27/10/05;49,126
28/10/05;48,839
31/10/05;50,276
02/11/05;49,797
03/11/05;49,174
04/11/05;50,228
07/11/05;50,036
08/11/05;50,458
09/11/05;50,084
10/11/05;51,473
11/11/05;52,478
14/11/05;52,191
15/11/05;52,191
16/11/05;52,191
17/11/05;51,827
18/11/05;51,128
21/11/05;50,046
22/11/05;50,094
23/11/05;50,994
24/11/05;50,774
25/11/05;50,371
28/11/05;51,003
29/11/05;50,754
30/11/05;50,458
01/12/05;50,754
02/12/05;51,329
05/12/05;51,233
06/12/05;51,137
07/12/05;51,262
09/12/05;51,3
12/12/05;51,473
13/12/05;50,371
14/12/05;51,425
15/12/05;50,563
16/12/05;50,754
19/12/05;50,563
20/12/05;50,754
21/12/05;51,329
22/12/05;51,616
23/12/05;52,105
27/12/05;52,861
28/12/05;53,34
29/12/05;53,196
02/01/06;53,072
03/01/06;52,861
04/01/06;54,317
05/01/06;54,776
09/01/06;55,112
10/01/06;57,602
11/01/06;59,622
12/01/06;58,224
13/01/06;57,266
16/01/06;56,979
17/01/06;55,533
18/01/06;56,021
19/01/06;57,946
20/01/06;57,889
23/01/06;57,745
24/01/06;56,979
25/01/06;57,458
26/01/06;56,529
27/01/06;56,309
30/01/06;57,554
31/01/06;57,017
01/02/06;60,915
02/02/06;62,246
03/02/06;61,671
06/02/06;61,576
07/02/06;61,221
08/02/06;61,288
09/02/06;61,537
10/02/06;60,905
13/02/06;61,231
14/02/06;63,51
15/02/06;64,64
16/02/06;65,377
17/02/06;66,077
20/02/06;66,929
21/02/06;69,428
22/02/06;69,189
23/02/06;68,566
24/02/06;68,566
27/02/06;68,547
28/02/06;67,034
01/03/06;65,885
02/03/06;65,636
03/03/06;65,119
06/03/06;65,492
07/03/06;64,353
08/03/06;63,175
09/03/06;63,491
10/03/06;64,736
13/03/06;65,454
14/03/06;65,358
15/03/06;66,737
16/03/06;67,082
17/03/06;68,624
20/03/06;68,375
21/03/06;68,758
22/03/06;68,241
23/03/06;68,183
24/03/06;67,992
27/03/06;68,279
28/03/06;66,507
29/03/06;63,587
30/03/06;66,651
31/03/06;67,417
03/04/06;67,848
04/04/06;66,632
05/04/06;65,885
06/04/06;65,473
07/04/06;66,594
