Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/01;9,8344;3680,04;278,26;1,4591;3651,6538;2456,33;21622,4001
02/07/01;9,8344;3680,04;278,26;1,4599;3651,6538;2456,33;21622,4001
03/07/01;9,8344;3680,04;278,26;1,4836;3651,6538;2456,33;21622,4001
04/07/01;9,8344;3680,04;278,26;1,4925;3651,6538;2456,33;21622,4001
05/07/01;9,8344;3680,04;278,26;1,4999;3651,6538;2456,33;21622,4001
06/07/01;9,8344;3680,04;278,26;1,4778;3651,6538;2456,33;21622,4001
09/07/01;9,8344;3680,04;278,26;1,4591;3651,6538;2456,33;21622,4001
10/07/01;9,8344;3680,04;278,26;1,4754;3651,6538;2456,33;21622,4001
11/07/01;9,8344;3680,04;278,26;1,4412;3651,6538;2456,33;21622,4001
12/07/01;9,8344;3680,04;278,26;1,4526;3651,6538;2456,33;21622,4001
13/07/01;9,8344;3680,04;278,26;1,455;3651,6538;2456,33;21622,4001
16/07/01;9,8344;3680,04;278,26;1,4697;3651,6538;2456,33;21622,4001
17/07/01;9,8344;3680,04;278,26;1,4673;3651,6538;2456,33;21622,4001
18/07/01;9,8344;3680,04;278,26;1,4591;3651,6538;2456,33;21622,4001
19/07/01;9,8344;3680,04;278,26;1,4575;3651,6538;2456,33;21622,4001
20/07/01;9,8344;3680,04;278,26;1,4469;3651,6538;2456,33;21622,4001
23/07/01;9,8344;3680,04;278,26;1,4509;3651,6538;2456,33;21622,4001
24/07/01;9,8344;3680,04;278,26;1,433;3651,6538;2456,33;21622,4001
25/07/01;9,8344;3680,04;278,26;1,4224;3651,6538;2456,33;21622,4001
26/07/01;9,8344;3680,04;278,26;1,4224;3651,6538;2456,33;21622,4001
27/07/01;9,8344;3680,04;278,26;1,4265;3651,6538;2456,33;21622,4001
30/07/01;9,8344;3680,04;278,26;1,4338;3651,6538;2456,33;21622,4001
31/07/01;9,8344;3680,04;278,26;1,4338;3651,6538;2456,33;21622,4001
01/08/01;9,8344;3680,04;278,26;1,4656;3651,6538;2456,33;21622,4001
02/08/01;9,8344;3680,04;278,26;1,4599;3651,6538;2456,33;21622,4001
