Year,Quarter,MVA,DELTA_MVA
2001,3,24169.352597485864,0.0005307403238796278
2001,4,25003.32480632713,0.03450535985510917
2002,1,26163.31540131708,0.046393453829644694
2002,2,26201.47020199367,0.0014583320229618457
2002,3,27023.683033163088,0.03138040823017846
2002,4,25249.64179190366,-0.0656476483639313
2003,1,27308.942136031244,0.08155760628603853
2003,2,27624.722562993145,0.011563261051597537
2003,3,28801.920384332097,0.042613923765372375
2003,4,27441.822463199755,-0.04722247346646441
2004,1,30032.94292839007,0.09442231720087402
2004,2,40408.04302983134,0.34545732418496045
2004,3,44672.64428178613,0.10553842582295912
2004,4,46158.116151165894,0.03325238282313672
2005,1,46934.00318804296,0.01680933065673799
2005,2,45889.76724042405,-0.022249027926195333
2005,3,48987.01329640413,0.06749317423540416
2005,4,50082.58227474981,0.022364477942689684
2006,1,52195.11781212355,0.042181042618459785
2006,2,54893.13608522331,0.051691008396825264
2006,3,59417.24871885727,0.0824167274139727
2006,4,65068.41171680131,0.09510980598720535
2007,1,73028.84561410012,0.1223394530044038
2007,2,72414.9167542465,-0.00840666252754086
2007,3,75422.77032141841,0.04153638092797408
2007,4,73254.7052281417,-0.02874549799798369
2008,1,78156.05477572395,0.06690832394066262
2008,2,76496.32817584016,-0.021236059121030826
2008,3,78897.09827708025,0.03138412206820575
2008,4,82150.9341257005,0.04124151482977282
2009,1,78516.80038703303,-0.044237278338269695
2009,2,79585.86633281274,0.013615760455214255
2009,3,83365.47734696248,0.04749098286301401
2009,4,86909.35681729617,0.042510156279490376
2010,1,82515.37728219925,-0.05055818724253243
2010,2,84989.6523577072,0.029985623977044018
2010,3,84172.88945941276,-0.009610145183990301
2010,4,87358.679542097,0.037848173006112505
2011,1,93506.62243894326,0.07037586796265215
2011,2,98773.62165278732,0.056327552813526485
2011,3,94697.36417368935,-0.04126868500809843
2011,4,95282.58969204237,0.006179955730126015
2012,1,98256.38786696795,0.031210299641697765
2012,2,115931.36322604625,0.1798862724631088
2012,3,134339.3458191126,0.15878345670078908
2012,4,181260.89858325597,0.34927632316538926
2013,1,162248.15738440584,-0.10489157533397793
2013,2,161061.69439014109,-0.0073126438746156965
2013,3,165927.75089559806,0.030212376219449704
2013,4,176621.5322004954,0.06444841955114472
2014,1,171774.62367088825,-0.027442342217397817
2014,2,164969.21684389783,-0.03961823161976037
2014,3,163400.52465523413,-0.009508999428348349
2014,4,165872.5208819068,0.015128447303877619
2015,1,162301.12005382788,-0.021530997473786374
2015,2,168403.67306431723,0.0376001903650783
2015,3,190036.74478279767,0.1284596192282473
2015,4,207035.95235449597,0.08945221405011712
2016,1,210131.9763911968,0.014954040597739712
2016,2,206490.6766064085,-0.01732863244958684
2016,3,206592.8176051829,0.0004946518673533267
