Date;PX_LAST
19/04/01;3,1379
20/04/01;3,0113
23/04/01;2,8807
24/04/01;2,8674
25/04/01;2,8394
26/04/01;2,9101
27/04/01;2,9181
30/04/01;2,9314
02/05/01;2,9554
03/05/01;2,9314
04/05/01;2,9474
07/05/01;2,9354
08/05/01;2,9394
09/05/01;2,9314
10/05/01;2,938
11/05/01;2,9221
14/05/01;2,9207
15/05/01;2,9181
16/05/01;2,9034
17/05/01;2,8994
18/05/01;2,8914
21/05/01;2,9061
22/05/01;2,9247
23/05/01;2,9247
24/05/01;2,9314
25/05/01;2,9367
28/05/01;3,0326
29/05/01;3,0167
30/05/01;3,0153
31/05/01;2,9967
01/06/01;2,8759
04/06/01;2,9007
05/06/01;2,9676
06/06/01;2,9645
07/06/01;2,9847
08/06/01;2,9769
11/06/01;3,0002
12/06/01;2,9769
13/06/01;2,907
14/06/01;2,9536
15/06/01;2,9334
18/06/01;2,938
19/06/01;2,9132
20/06/01;2,8992
21/06/01;2,9007
22/06/01;2,907
25/06/01;2,8821
26/06/01;2,8603
27/06/01;2,7997
28/06/01;2,7981
29/06/01;2,7826
02/07/01;2,7841
03/07/01;2,8292
04/07/01;2,8463
05/07/01;2,8603
06/07/01;2,8183
09/07/01;2,7826
10/07/01;2,8137
11/07/01;2,7484
12/07/01;2,7702
13/07/01;2,7748
16/07/01;2,8028
17/07/01;2,7981
18/07/01;2,7826
19/07/01;2,7795
20/07/01;2,7593
23/07/01;2,767
24/07/01;2,7328
25/07/01;2,7126
26/07/01;2,7126
27/07/01;2,7204
30/07/01;2,7344
31/07/01;2,7344
01/08/01;2,795
02/08/01;2,7841
03/08/01;2,7935
06/08/01;2,7484
07/08/01;2,7515
08/08/01;2,7546
09/08/01;2,7639
10/08/01;2,7204
13/08/01;2,7484
14/08/01;2,7655
16/08/01;2,722
17/08/01;2,722
20/08/01;2,6971
21/08/01;2,7049
22/08/01;2,7018
23/08/01;2,7266
24/08/01;2,7235
27/08/01;2,7189
28/08/01;2,7406
29/08/01;2,7282
30/08/01;2,7282
31/08/01;2,736
