Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
19/07/00;23,0766;101130,7969;6178,3511;3,3177;48697,35;14850,9097;294863,147
20/07/00;23,0766;101130,7969;6178,3511;3,3295;48697,35;14850,9097;294863,147
21/07/00;23,0766;101130,7969;6178,3511;3,3028;48697,35;14850,9097;294863,147
24/07/00;23,0766;101130,7969;6178,3511;3,3444;48697,35;14850,9097;294863,147
25/07/00;23,0766;101130,7969;6178,3511;3,3088;48697,35;14850,9097;294863,147
26/07/00;23,0766;101130,7969;6178,3511;3,3355;48697,35;14850,9097;294863,147
27/07/00;23,0766;101130,7969;6178,3511;3,3266;48697,35;14850,9097;294863,147
28/07/00;23,0766;101130,7969;6178,3511;3,3058;48697,35;14850,9097;294863,147
31/07/00;23,0766;101130,7969;6178,3511;3,3058;48697,35;14850,9097;294863,147
01/08/00;23,0766;101130,7969;6178,3511;3,2969;48697,35;14850,9097;294863,147
02/08/00;23,0766;101130,7969;6178,3511;3,3325;48697,35;14850,9097;294863,147
03/08/00;23,0766;101130,7969;6178,3511;3,3325;48697,35;14850,9097;294863,147
04/08/00;23,0766;101130,7969;6178,3511;3,3444;48697,35;14850,9097;294863,147
07/08/00;23,0766;101130,7969;6178,3511;3,4097;48697,35;14850,9097;294863,147
08/08/00;23,0766;101130,7969;6178,3511;3,4334;48697,35;14850,9097;294863,147
09/08/00;23,0766;101130,7969;6178,3511;3,4601;48697,35;14850,9097;294863,147
10/08/00;23,0766;101130,7969;6178,3511;3,4453;48697,35;14850,9097;294863,147
11/08/00;23,0766;101130,7969;6178,3511;3,5105;48697,35;14850,9097;294863,147
14/08/00;23,0766;101130,7969;6178,3511;3,5284;48697,35;14850,9097;294863,147
15/08/00;23,0766;101130,7969;6178,3511;3,5788;48697,35;14850,9097;294863,147
16/08/00;23,0766;101130,7969;6178,3511;3,653;48697,35;14850,9097;294863,147
