Date;PX_LAST
01/02/95;2,17
02/02/95;2,17
03/02/95;2,1975
06/02/95;2,2295
07/02/95;2,2433
08/02/95;2,2364
09/02/95;2,2524
10/02/95;2,2593
13/02/95;2,2364
14/02/95;2,2639
15/02/95;2,2661
16/02/95;2,2295
17/02/95;2,2135
20/02/95;2,1814
21/02/95;2,1563
22/02/95;2,1311
23/02/95;2,138
24/02/95;2,1219
27/02/95;2,0876
28/02/95;2,0968
01/03/95;2,1059
02/03/95;2,1151
03/03/95;2,0624
06/03/95;2,0418
07/03/95;2,0143
08/03/95;1,9045
09/03/95;1,9274
10/03/95;1,9411
13/03/95;1,9434
14/03/95;1,9777
15/03/95;1,996
16/03/95;2,067
17/03/95;1,9823
20/03/95;1,9915
21/03/95;1,9846
22/03/95;1,9617
23/03/95;1,964
24/03/95;1,9823
27/03/95;2,0189
28/03/95;2,0304
29/03/95;2,0212
30/03/95;2,0601
31/03/95;2,035
03/04/95;2,0441
04/04/95;2,0853
05/04/95;2,0899
06/04/95;2,0601
07/04/95;2,0922
10/04/95;2,0922
11/04/95;2,083
12/04/95;2,083
17/04/95;2,083
18/04/95;2,0441
19/04/95;1,996
20/04/95;2,0052
21/04/95;1,9937
24/04/95;1,9869
25/04/95;1,9663
26/04/95;1,9663
27/04/95;2,0143
28/04/95;2,0578
02/05/95;2,0716
03/05/95;2,1105
04/05/95;2,1196
05/05/95;2,0876
08/05/95;2,1517
09/05/95;2,1563
10/05/95;2,1792
11/05/95;2,1769
12/05/95;2,1311
15/05/95;2,1654
16/05/95;2,1517
17/05/95;2,1402
18/05/95;2,138
19/05/95;2,1105
22/05/95;2,17
23/05/95;2,1975
24/05/95;2,2341
25/05/95;2,186
26/05/95;2,1402
29/05/95;2,1013
30/05/95;2,1219
31/05/95;2,1196
01/06/95;2,1334
02/06/95;2,1334
05/06/95;2,1425
06/06/95;2,1494
07/06/95;2,1494
08/06/95;2,1837
09/06/95;2,1563
12/06/95;2,1242
13/06/95;2,1425
14/06/95;2,1334
15/06/95;2,1174
16/06/95;2,1128
19/06/95;2,1975
20/06/95;2,1975
21/06/95;2,186
22/06/95;2,1975
23/06/95;2,1998
26/06/95;2,2021
27/06/95;2,1952
28/06/95;2,1906
29/06/95;2,1837
30/06/95;2,186
03/07/95;2,186
04/07/95;2,2021
05/07/95;2,2021
06/07/95;2,2433
07/07/95;2,3806
10/07/95;2,376
11/07/95;2,3898
12/07/95;2,3623
13/07/95;2,3257
14/07/95;2,2982
17/07/95;2,3531
18/07/95;2,3348
19/07/95;2,3485
20/07/95;2,3577
21/07/95;2,3669
24/07/95;2,3852
25/07/95;2,3577
26/07/95;2,3028
27/07/95;2,3211
28/07/95;2,3165
31/07/95;2,3165
01/08/95;2,3348
02/08/95;2,376
03/08/95;2,3898
04/08/95;2,3898
07/08/95;2,3898
08/08/95;2,3806
09/08/95;2,3623
10/08/95;2,3577
11/08/95;2,3348
14/08/95;2,3302
16/08/95;2,3531
17/08/95;2,3623
18/08/95;2,3714
21/08/95;2,3898
22/08/95;2,3806
23/08/95;2,3806
24/08/95;2,3852
25/08/95;2,4035
28/08/95;2,3852
29/08/95;2,3852
30/08/95;2,376
31/08/95;2,3485
01/09/95;2,344
04/09/95;2,3485
05/09/95;2,3623
06/09/95;2,3531
07/09/95;2,3714
08/09/95;2,3989
11/09/95;2,4447
12/09/95;2,4493
13/09/95;2,463
14/09/95;2,463
15/09/95;2,431
18/09/95;2,4126
19/09/95;2,431
20/09/95;2,4126
21/09/95;2,4126
22/09/95;2,3623
25/09/95;2,3485
26/09/95;2,376
27/09/95;2,3485
28/09/95;2,3394
29/09/95;2,3714
02/10/95;2,3623
03/10/95;2,3211
04/10/95;2,3257
05/10/95;2,344
06/10/95;2,3073
09/10/95;2,2684
10/10/95;2,2982
11/10/95;2,3348
13/10/95;2,3714
16/10/95;2,3669
17/10/95;2,3806
18/10/95;2,4172
19/10/95;2,3898
20/10/95;2,3531
23/10/95;2,3211
24/10/95;2,3623
25/10/95;2,4035
26/10/95;2,4126
27/10/95;2,3943
30/10/95;2,4218
31/10/95;2,4355
02/11/95;2,4401
03/11/95;2,4401
06/11/95;2,4264
07/11/95;2,4355
08/11/95;2,4493
09/11/95;2,4401
10/11/95;2,4264
13/11/95;2,4126
14/11/95;2,4218
15/11/95;2,3852
16/11/95;2,4264
17/11/95;2,4264
20/11/95;2,463
21/11/95;2,4584
22/11/95;2,5775
23/11/95;2,637
24/11/95;2,6965
27/11/95;2,7056
28/11/95;2,6599
29/11/95;2,6507
30/11/95;2,6324
01/12/95;2,6232
04/12/95;2,5683
05/12/95;2,5912
07/12/95;2,5683
11/12/95;2,5591
12/12/95;2,6095
13/12/95;2,6141
14/12/95;2,6324
15/12/95;2,7102
18/12/95;2,7056
19/12/95;2,6644
20/12/95;2,7102
21/12/95;2,7743
22/12/95;2,7468
26/12/95;2,7468
27/12/95;2,7056
28/12/95;2,724
29/12/95;2,788
02/01/96;2,8704
03/01/96;2,8704
04/01/96;2,8613
05/01/96;2,8064
08/01/96;2,7697
09/01/96;2,7697
10/01/96;2,7468
11/01/96;2,7331
12/01/96;2,7468
15/01/96;2,7514
16/01/96;2,756
17/01/96;2,7514
18/01/96;2,7606
19/01/96;2,7514
22/01/96;2,7789
23/01/96;2,7652
24/01/96;2,7835
25/01/96;2,7926
26/01/96;2,7743
29/01/96;2,7377
30/01/96;2,7606
31/01/96;2,7606
01/02/96;2,7514
02/02/96;2,7148
05/02/96;2,6782
06/02/96;2,6736
07/02/96;2,6827
08/02/96;2,6553
09/02/96;2,6324
12/02/96;2,6553
13/02/96;2,6965
14/02/96;2,6827
15/02/96;2,7331
16/02/96;2,7652
19/02/96;2,724
20/02/96;2,7331
21/02/96;2,7606
22/02/96;2,788
23/02/96;2,7789
26/02/96;2,7514
27/02/96;2,7697
28/02/96;2,8018
29/02/96;2,7926
01/03/96;2,756
04/03/96;2,5683
05/03/96;2,5179
06/03/96;2,5729
07/03/96;2,6141
08/03/96;2,6232
11/03/96;2,5591
12/03/96;2,5317
13/03/96;2,5866
14/03/96;2,5729
15/03/96;2,5683
18/03/96;2,5637
19/03/96;2,582
20/03/96;2,6461
21/03/96;2,6827
22/03/96;2,6599
25/03/96;2,6553
26/03/96;2,6553
27/03/96;2,6782
28/03/96;2,6782
29/03/96;2,7056
01/04/96;2,7148
02/04/96;2,7285
03/04/96;2,7468
08/04/96;2,7102
09/04/96;2,7331
10/04/96;2,7514
11/04/96;2,6965
12/04/96;2,7148
15/04/96;2,7468
16/04/96;2,7423
