Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/04/00;24,7985;164916;0;1,9451;76120,5565;38583;951896
04/04/00;24,7985;164916;0;2,0563;76120,5565;38583;951896
05/04/00;24,7985;164916;0;2,0192;76120,5565;38583;951896
06/04/00;24,7985;164916;0;2,0192;76120,5565;38583;951896
07/04/00;24,7985;164916;0;2,0377;76120,5565;38583;951896
10/04/00;24,7985;164916;0;2,0192;76120,5565;38583;951896
11/04/00;24,7985;164916;0;2,0933;76120,5565;38583;951896
12/04/00;24,7985;164916;0;2,1952;76120,5565;38583;951896
13/04/00;24,7985;164916;0;2,3064;76120,5565;38583;951896
14/04/00;24,7985;164916;0;2,2786;76120,5565;38583;951896
17/04/00;24,7985;164916;0;2,1859;76120,5565;38583;951896
18/04/00;24,7985;164916;0;2,223;76120,5565;38583;951896
19/04/00;24,7985;164916;0;2,1674;76120,5565;38583;951896
20/04/00;24,7985;164916;0;2,1582;76120,5565;38583;951896
25/04/00;24,7985;164916;0;2,1952;76120,5565;38583;951896
26/04/00;24,7985;164916;0;2,223;76120,5565;38583;951896
27/04/00;24,7985;164916;0;2,1859;76120,5565;38583;951896
28/04/00;24,7985;164916;0;2,1952;76120,5565;38583;951896
02/05/00;24,7985;164916;0;2,2415;76120,5565;38583;951896
03/05/00;24,7985;164916;0;2,2786;76120,5565;38583;951896
04/05/00;24,7985;164916;0;2,2971;76120,5565;38583;951896
05/05/00;24,7985;164916;0;2,26;76120,5565;38583;951896
08/05/00;24,7985;164916;0;2,2508;76120,5565;38583;951896
09/05/00;24,7985;164916;0;2,26;76120,5565;38583;951896
10/05/00;24,7985;164916;0;2,26;76120,5565;38583;951896
11/05/00;24,7985;164916;0;2,26;76120,5565;38583;951896
12/05/00;24,7985;164916;0;2,2415;76120,5565;38583;951896
