Date;PX_LAST
06/04/94;12,339
07/04/94;12,036
08/04/94;12,036
11/04/94;12,036
12/04/94;12,036
13/04/94;11,732
14/04/94;11,732
15/04/94;11,328
18/04/94;11,226
19/04/94;10,923
20/04/94;10,822
21/04/94;10,923
22/04/94;11,732
25/04/94;11,934
26/04/94;11,934
27/04/94;12,238
28/04/94;12,137
29/04/94;11,934
02/05/94;12,137
03/05/94;12,036
04/05/94;12,036
05/05/94;11,934
06/05/94;11,53
09/05/94;11,53
10/05/94;11,429
11/05/94;11,631
13/05/94;12,137
16/05/94;12,238
17/05/94;12,137
18/05/94;12,339
19/05/94;12,137
20/05/94;12,137
24/05/94;12,036
25/05/94;11,53
26/05/94;11,732
27/05/94;11,631
30/05/94;11,429
31/05/94;11,226
01/06/94;11,125
02/06/94;11,125
03/06/94;11,226
06/06/94;11,226
07/06/94;10,822
08/06/94;10,923
09/06/94;10,822
10/06/94;10,721
13/06/94;10,62
14/06/94;10,316
15/06/94;10,316
16/06/94;10,417
17/06/94;10,417
20/06/94;10,063
21/06/94;10,316
22/06/94;10,518
23/06/94;10,822
27/06/94;10,417
28/06/94;10,518
29/06/94;10,518
30/06/94;10,417
01/07/94;10,114
04/07/94;10,215
05/07/94;10,013
06/07/94;10,013
07/07/94;10,518
08/07/94;10,822
11/07/94;11,125
12/07/94;11,125
13/07/94;11,226
14/07/94;11,226
15/07/94;11,226
18/07/94;11,429
19/07/94;11,429
20/07/94;11,53
21/07/94;11,53
22/07/94;12,036
25/07/94;11,732
26/07/94;11,631
27/07/94;11,429
28/07/94;11,226
29/07/94;11,226
01/08/94;11,125
02/08/94;11,226
03/08/94;11,226
04/08/94;11,024
05/08/94;10,822
08/08/94;10,721
09/08/94;10,316
10/08/94;10,114
11/08/94;9,608
12/08/94;9,254
15/08/94;9,204
16/08/94;9,153
17/08/94;9,204
18/08/94;9,254
19/08/94;9,811
22/08/94;10,215
23/08/94;9,912
24/08/94;10,114
25/08/94;10,215
26/08/94;10,316
29/08/94;10,215
30/08/94;10,013
31/08/94;9,912
01/09/94;9,912
02/09/94;10,013
05/09/94;9,608
06/09/94;9,457
07/09/94;9,659
08/09/94;9,608
09/09/94;9,608
12/09/94;10,013
13/09/94;10,215
14/09/94;10,215
15/09/94;10,417
16/09/94;10,316
19/09/94;10,518
20/09/94;10,114
21/09/94;9,912
22/09/94;9,811
23/09/94;9,912
26/09/94;9,811
27/09/94;9,709
28/09/94;9,558
29/09/94;9,254
30/09/94;9,305
03/10/94;9,204
04/10/94;9,305
05/10/94;9,052
06/10/94;9,254
07/10/94;9,457
10/10/94;9,76
11/10/94;9,659
12/10/94;9,558
13/10/94;9,709
14/10/94;9,659
17/10/94;9,709
18/10/94;9,608
19/10/94;9,709
20/10/94;9,558
21/10/94;9,659
24/10/94;9,709
25/10/94;9,709
26/10/94;9,76
27/10/94;9,811
28/10/94;9,811
31/10/94;9,811
01/11/94;9,709
02/11/94;9,457
03/11/94;9,153
04/11/94;9,204
07/11/94;9,204
