Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
02/01/02;14,3197;11194;1174;1,8084;13482,702;7538;99924
03/01/02;14,3197;11194;1174;1,8288;13482,702;7538;99924
04/01/02;14,3197;11194;1174;1,8478;13482,702;7538;99924
07/01/02;14,3197;11194;1174;1,8432;13482,702;7538;99924
08/01/02;14,3197;11194;1174;1,8369;13482,702;7538;99924
09/01/02;14,3197;11194;1174;1,8286;13482,702;7538;99924
10/01/02;14,3197;11194;1174;1,8156;13482,702;7538;99924
11/01/02;14,3197;11194;1174;1,7914;13482,702;7538;99924
14/01/02;14,3197;11194;1174;1,7617;13482,702;7538;99924
15/01/02;14,3197;11194;1174;1,7635;13482,702;7538;99924
16/01/02;14,3197;11194;1174;1,7464;13482,702;7538;99924
17/01/02;14,3197;11194;1174;1,7431;13482,702;7538;99924
18/01/02;14,3197;11194;1174;1,7513;13482,702;7538;99924
21/01/02;14,3197;11194;1174;1,7552;13482,702;7538;99924
22/01/02;14,3197;11194;1174;1,7529;13482,702;7538;99924
23/01/02;14,3197;11194;1174;1,6933;13482,702;7538;99924
24/01/02;14,3197;11194;1174;1,6722;13482,702;7538;99924
25/01/02;14,3197;11194;1174;1,6175;13482,702;7538;99924
28/01/02;14,3197;11194;1174;1,6635;13482,702;7538;99924
29/01/02;14,3197;11194;1174;1,6306;13482,702;7538;99924
30/01/02;14,3197;11194;1174;1,6229;13482,702;7538;99924
31/01/02;14,3197;11194;1174;1,6554;13482,702;7538;99924
01/02/02;14,3197;11194;1174;1,6568;13482,702;7538;99924
04/02/02;14,3197;11194;1174;1,6438;13482,702;7538;99924
05/02/02;14,3197;11194;1174;1,6023;13482,702;7538;99924
06/02/02;14,3197;11194;1174;1,5596;13482,702;7538;99924
07/02/02;14,3197;11194;1174;1,5841;13482,702;7538;99924
08/02/02;14,3197;11194;1174;1,5954;13482,702;7538;99924
11/02/02;14,3197;11194;1174;1,6451;13482,702;7538;99924
12/02/02;14,3197;11194;1174;1,667;13482,702;7538;99924
13/02/02;14,3197;11194;1174;1,6497;13482,702;7538;99924
14/02/02;14,3197;11194;1174;1,6556;13482,702;7538;99924
15/02/02;14,3197;11194;1174;1,646;13482,702;7538;99924
18/02/02;14,3197;11194;1174;1,6351;13482,702;7538;99924
19/02/02;14,3197;11194;1174;1,5767;13482,702;7538;99924
20/02/02;14,3197;11194;1174;1,5855;13482,702;7538;99924
21/02/02;14,3197;11194;1174;1,5827;13482,702;7538;99924
22/02/02;14,3197;11194;1174;1,5692;13482,702;7538;99924
25/02/02;14,3197;11194;1174;1,5674;13482,702;7538;99924
26/02/02;14,3197;11194;1174;1,5514;13482,702;7538;99924
27/02/02;14,3197;11194;1174;1,5093;13482,702;7538;99924
28/02/02;14,3197;11194;1174;1,4665;13482,702;7538;99924
01/03/02;14,3197;11194;1174;1,5019;13482,702;7538;99924
04/03/02;14,3197;11194;1174;1,6068;13482,702;7538;99924
05/03/02;14,3197;11194;1174;1,6102;13482,702;7538;99924
06/03/02;14,3197;11194;1174;1,637;13482,702;7538;99924
07/03/02;14,3197;11194;1174;1,6835;13482,702;7538;99924
08/03/02;14,3197;11194;1174;1,6814;13482,702;7538;99924
11/03/02;14,3197;11194;1174;1,6611;13482,702;7538;99924
12/03/02;14,3197;11194;1174;1,6566;13482,702;7538;99924
13/03/02;14,3197;11194;1174;1,6593;13482,702;7538;99924
14/03/02;14,3197;11194;1174;1,6841;13482,702;7538;99924
15/03/02;14,3197;11194;1174;1,6933;13482,702;7538;99924
18/03/02;14,3197;11194;1174;1,7169;13482,702;7538;99924
19/03/02;14,3197;11194;1174;1,7292;13482,702;7538;99924
20/03/02;14,3197;11194;1174;1,7157;13482,702;7538;99924
21/03/02;14,3197;11194;1174;1,7107;13482,702;7538;99924
22/03/02;14,3197;11194;1174;1,6718;13482,702;7538;99924
25/03/02;14,3197;11194;1174;1,6504;13482,702;7538;99924
26/03/02;14,3197;11194;1174;1,6073;13482,702;7538;99924
27/03/02;14,3197;11194;1174;1,6192;13482,702;7538;99924
28/03/02;14,3197;11194;1174;1,6388;13482,702;7538;99924
02/04/02;14,3197;11194;1174;1,6475;13482,702;7538;99924
03/04/02;14,3197;11194;1174;1,6679;13482,702;7538;99924
04/04/02;14,3197;11194;1174;1,6206;13482,702;7538;99924
05/04/02;14,3197;11194;1174;1,6469;13482,702;7538;99924
08/04/02;14,3197;11194;1174;1,6385;13482,702;7538;99924
09/04/02;14,3197;11194;1174;1,6662;13482,702;7538;99924
10/04/02;14,3197;11194;1174;1,6851;13482,702;7538;99924
11/04/02;14,3197;11194;1174;1,6712;13482,702;7538;99924
12/04/02;14,3197;11194;1174;1,6979;13482,702;7538;99924
15/04/02;14,3197;11194;1174;1,6904;13482,702;7538;99924
16/04/02;14,3197;11194;1174;1,7487;13482,702;7538;99924
17/04/02;14,3197;11194;1174;1,7799;13482,702;7538;99924
18/04/02;14,3197;11194;1174;1,778;13482,702;7538;99924
