Date;PX_LAST
05/04/94;211,7
06/04/94;215,31
07/04/94;216,71
08/04/94;213,3
11/04/94;215,51
12/04/94;221,53
13/04/94;222,73
14/04/94;220,73
15/04/94;221,13
18/04/94;216,71
19/04/94;211,5
20/04/94;207,68
21/04/94;203,67
22/04/94;202,47
25/04/94;199,66
26/04/94;201,06
27/04/94;201,66
28/04/94;199,46
29/04/94;199,66
03/05/94;192,43
04/05/94;187,82
05/05/94;193,64
06/05/94;191,03
09/05/94;186,21
10/05/94;191,03
11/05/94;208,29
12/05/94;211,9
13/05/94;211,1
16/05/94;212,7
17/05/94;209,49
18/05/94;207,08
19/05/94;203,07
20/05/94;203,47
23/05/94;195,85
24/05/94;192,23
25/05/94;183,81
26/05/94;185,41
27/05/94;185,41
31/05/94;192,63
01/06/94;183,81
02/06/94;191,03
03/06/94;192,63
06/06/94;202,27
07/06/94;210,29
08/06/94;217,52
09/06/94;222,33
10/06/94;220,73
13/06/94;213,5
14/06/94;218,32
15/06/94;224,74
16/06/94;222,33
17/06/94;217,12
20/06/94;214,31
21/06/94;202,27
22/06/94;207,08
23/06/94;203,87
24/06/94;194,24
27/06/94;199,06
28/06/94;198,25
29/06/94;198,25
30/06/94;195,04
01/07/94;197,45
04/07/94;197,45
05/07/94;196,65
06/07/94;195,85
07/07/94;198,25
08/07/94;197,45
11/07/94;200,66
12/07/94;199,86
13/07/94;202,27
14/07/94;206,28
15/07/94;215,11
18/07/94;214,31
19/07/94;214,31
20/07/94;211,9
21/07/94;206,28
22/07/94;204,67
25/07/94;203,87
26/07/94;202,27
27/07/94;198,25
28/07/94;207,08
29/07/94;211,9
01/08/94;215,11
02/08/94;224,74
03/08/94;223,14
04/08/94;223,94
05/08/94;228,75
08/08/94;224,74
09/08/94;220,73
10/08/94;207,88
11/08/94;198,25
12/08/94;198,25
15/08/94;200,66
16/08/94;207,08
17/08/94;210,29
18/08/94;203,07
19/08/94;203,87
22/08/94;199,86
23/08/94;196,65
24/08/94;197,45
25/08/94;202,27
26/08/94;204,67
30/08/94;203,07
31/08/94;203,87
01/09/94;202,27
02/09/94;204,67
05/09/94;212,7
06/09/94;211,9
07/09/94;215,91
08/09/94;219,12
09/09/94;217,52
12/09/94;214,31
13/09/94;211,1
14/09/94;205,48
15/09/94;210,29
16/09/94;204,67
19/09/94;208,69
20/09/94;207,08
21/09/94;211,1
22/09/94;211,9
23/09/94;205,48
26/09/94;204,27
27/09/94;199,86
28/09/94;203,87
29/09/94;203,87
30/09/94;210,69
03/10/94;200,66
04/10/94;203,87
05/10/94;201,46
06/10/94;202,27
07/10/94;207,08
10/10/94;214,31
11/10/94;215,91
12/10/94;218,32
13/10/94;226,35
14/10/94;224,74
17/10/94;225,54
18/10/94;220,73
19/10/94;215,91
20/10/94;222,33
21/10/94;223,94
24/10/94;223,94
25/10/94;223,94
26/10/94;223,14
27/10/94;229,56
28/10/94;232,77
31/10/94;235,17
01/11/94;229,56
02/11/94;229,56
03/11/94;230,36
04/11/94;231,96
07/11/94;227,95
08/11/94;225,54
09/11/94;228,75
10/11/94;231,96
11/11/94;229,56
14/11/94;230,36
15/11/94;238,39
16/11/94;241,6
17/11/94;244
18/11/94;235,98
21/11/94;229,56
22/11/94;224,74
23/11/94;217,52
24/11/94;225,54
25/11/94;223,94
28/11/94;222,33
29/11/94;223,14
30/11/94;227,15
01/12/94;227,95
02/12/94;223,94
05/12/94;229,56
06/12/94;226,35
07/12/94;226,35
08/12/94;223,14
09/12/94;220,73
12/12/94;211,9
13/12/94;211,9
14/12/94;210,29
15/12/94;220,73
16/12/94;226,35
19/12/94;223,14
20/12/94;227,95
21/12/94;229,56
22/12/94;229,56
23/12/94;223,94
28/12/94;226,35
29/12/94;226,75
30/12/94;225,14
03/01/95;222,33
04/01/95;221,53
05/01/95;215,91
06/01/95;210,29
09/01/95;210,29
10/01/95;211,1
11/01/95;204,67
12/01/95;207,08
13/01/95;201,46
16/01/95;208,69
17/01/95;207,88
18/01/95;215,91
19/01/95;211,1
20/01/95;204,67
23/01/95;198,25
24/01/95;204,67
25/01/95;212,7
26/01/95;210,29
27/01/95;203,07
30/01/95;200,66
31/01/95;202,27
01/02/95;205,48
02/02/95;209,49
03/02/95;211,9
06/02/95;212,7
07/02/95;212,7
08/02/95;211,1
09/02/95;215,11
10/02/95;216,71
13/02/95;212,7
14/02/95;212,7
15/02/95;214,31
16/02/95;207,88
17/02/95;207,08
20/02/95;205,48
21/02/95;203,87
22/02/95;200,66
23/02/95;206,28
24/02/95;205,48
27/02/95;203,07
28/02/95;202,27
01/03/95;207,08
02/03/95;207,48
03/03/95;207,88
06/03/95;204,67
07/03/95;198,65
08/03/95;212,7
09/03/95;214,31
10/03/95;216,71
13/03/95;222,33
14/03/95;227,95
15/03/95;227,15
16/03/95;231,16
17/03/95;227,95
20/03/95;231,16
21/03/95;234,37
22/03/95;233,57
23/03/95;233,57
24/03/95;232,37
27/03/95;233,57
28/03/95;235,98
29/03/95;234,77
30/03/95;238,39
31/03/95;236,78
03/04/95;239,99
04/04/95;235,98
05/04/95;228,75
06/04/95;235,98
07/04/95;237,58
10/04/95;235,98
11/04/95;231,96
12/04/95;237,18
13/04/95;234,37
18/04/95;234,37
19/04/95;234,37
20/04/95;239,19
21/04/95;243,2
24/04/95;244
25/04/95;244
26/04/95;240,79
27/04/95;242,4
28/04/95;241,6
01/05/95;240,79
02/05/95;244
03/05/95;250,43
04/05/95;254,44
05/05/95;254,44
09/05/95;258,45
10/05/95;263,27
11/05/95;263,27
12/05/95;263,27
15/05/95;264,07
16/05/95;264,47
17/05/95;264,87
18/05/95;266,48
19/05/95;265,68
22/05/95;271,29
23/05/95;274,91
24/05/95;278,52
25/05/95;276,91
26/05/95;280,12
30/05/95;279,32
31/05/95;282,53
01/06/95;282,53
02/06/95;280,12
05/06/95;284,94
06/06/95;284,14
07/06/95;284,14
08/06/95;284,94
09/06/95;280,93
12/06/95;275,31
13/06/95;272,1
14/06/95;272,1
15/06/95;274,5
16/06/95;284,14
19/06/95;282,53
20/06/95;280,93
21/06/95;284,94
22/06/95;280,93
23/06/95;278,52
26/06/95;269,29
27/06/95;271,29
28/06/95;268,89
29/06/95;268,89
30/06/95;270,49
03/07/95;276,11
04/07/95;276,91
05/07/95;284,14
06/07/95;288,15
07/07/95;303,8
10/07/95;304,2
11/07/95;300,99
12/07/95;300,19
13/07/95;305
14/07/95;303,4
17/07/95;300,99
18/07/95;293,77
19/07/95;285,74
20/07/95;281,73
21/07/95;283,33
24/07/95;292,16
25/07/95;285,74
26/07/95;291,36
27/07/95;288,95
28/07/95;296,98
31/07/95;294,57
01/08/95;290,56
02/08/95;297,78
03/08/95;294,57
04/08/95;292,16
07/08/95;288,15
08/08/95;288,95
09/08/95;310,62
10/08/95;310,62
11/08/95;310,62
14/08/95;305,81
15/08/95;305
16/08/95;308,22
17/08/95;312,23
18/08/95;328,68
21/08/95;332,29
22/08/95;326,68
23/08/95;327,48
24/08/95;329,08
25/08/95;338,72
29/08/95;341,93
30/08/95;345,94
31/08/95;346,74
01/09/95;364,4
04/09/95;361,99
05/09/95;364,4
06/09/95;370,02
07/09/95;368,41
08/09/95;370,02
11/09/95;369,22
12/09/95;366,81
13/09/95;370,02
14/09/95;360,39
15/09/95;358,38
18/09/95;364,4
19/09/95;369,22
20/09/95;374,84
21/09/95;384,47
22/09/95;378,05
25/09/95;373,23
26/09/95;372,43
27/09/95;370,82
28/09/95;362,8
29/09/95;361,99
02/10/95;366,01
03/10/95;368,41
04/10/95;366,01
05/10/95;364,4
06/10/95;363,2
09/10/95;374,03
10/10/95;390,09
11/10/95;386,07
12/10/95;399,72
13/10/95;415,77
16/10/95;410,15
17/10/95;408,55
18/10/95;416,97
19/10/95;415,37
20/10/95;402,12
23/10/95;389,28
24/10/95;400,52
25/10/95;412,56
26/10/95;401,32
27/10/95;401,32
30/10/95;409,35
31/10/95;418,18
01/11/95;413,36
02/11/95;414,97
03/11/95;418,18
06/11/95;414,97
07/11/95;421,39
08/11/95;422,19
09/11/95;421,39
10/11/95;422,99
13/11/95;422,99
14/11/95;421,39
15/11/95;422,19
16/11/95;433,43
17/11/95;438,24
20/11/95;447,07
21/11/95;443,06
22/11/95;459,11
23/11/95;452,69
24/11/95;471,15
27/11/95;471,15
28/11/95;465,53
29/11/95;478,38
30/11/95;486,4
01/12/95;492,82
04/12/95;492,82
05/12/95;484,8
06/12/95;471,96
07/12/95;454,3
08/12/95;450,28
11/12/95;453,49
12/12/95;451,49
13/12/95;453,49
14/12/95;452,69
15/12/95;460,72
18/12/95;453,49
19/12/95;438,24
20/12/95;439,85
21/12/95;437,44
22/12/95;437,44
27/12/95;435,84
28/12/95;436,64
29/12/95;439,85
02/01/96;450,28
03/01/96;463,13
04/01/96;465,53
05/01/96;462,32
08/01/96;470,35
09/01/96;467,14
10/01/96;470,35
11/01/96;459,11
12/01/96;452,69
15/01/96;451,09
16/01/96;456,7
17/01/96;461,52
18/01/96;473,56
19/01/96;496,03
22/01/96;500,05
23/01/96;496,84
24/01/96;531,75
25/01/96;510,48
26/01/96;512,09
29/01/96;510,48
30/01/96;514,5
31/01/96;509,68
01/02/96;506,47
02/02/96;521,32
05/02/96;509,68
06/02/96;495,23
07/02/96;493,63
08/02/96;481,59
09/02/96;475,17
12/02/96;471,15
13/02/96;475,17
14/02/96;483,19
15/02/96;484,8
16/02/96;483,19
19/02/96;476,77
20/02/96;480,78
21/02/96;483,99
22/02/96;485,6
23/02/96;483,19
26/02/96;479,18
27/02/96;480,78
28/02/96;510,48
29/02/96;508,88
01/03/96;513,69
04/03/96;515,3
05/03/96;517,71
06/03/96;512,09
07/03/96;501,65
08/03/96;493,63
11/03/96;470,35
12/03/96;452,69
13/03/96;470,35
14/03/96;482,39
15/03/96;483,59
18/03/96;489,61
19/03/96;491,22
20/03/96;483,19
21/03/96;486,4
22/03/96;493,63
25/03/96;491,22
26/03/96;480,78
27/03/96;485,6
28/03/96;484,8
29/03/96;488,81
01/04/96;498,44
02/04/96;493,63
03/04/96;490,42
04/04/96;501,65
09/04/96;511,28
10/04/96;521,72
11/04/96;504,06
12/04/96;501,65
15/04/96;501,65
16/04/96;508,07
17/04/96;495,23
18/04/96;500,05
19/04/96;500,05
22/04/96;494,43
23/04/96;494,43
24/04/96;493,63
25/04/96;497,64
26/04/96;509,68
29/04/96;502,46
30/04/96;499,24
01/05/96;492,02
02/05/96;486,4
03/05/96;492,82
07/05/96;483,99
08/05/96;482,39
09/05/96;481,59
10/05/96;488,81
13/05/96;488,01
14/05/96;500,85
15/05/96;496,03
16/05/96;495,23
17/05/96;513,69
20/05/96;502,46
21/05/96;509,68
22/05/96;504,86
23/05/96;496,84
24/05/96;496,03
28/05/96;497,64
29/05/96;501,65
30/05/96;501,65
31/05/96;515,3
03/06/96;518,51
04/06/96;520,11
05/06/96;521,72
06/06/96;533,76
07/06/96;527,34
10/06/96;530,55
11/06/96;537,77
12/06/96;533,76
13/06/96;534,56
14/06/96;529,75
17/06/96;528,14
18/06/96;526,53
19/06/96;522,52
20/06/96;519,31
21/06/96;515,3
24/06/96;516,9
25/06/96;508,88
26/06/96;512,89
27/06/96;512,09
28/06/96;514,5
01/07/96;516,1
02/07/96;508,88
03/07/96;508,07
04/07/96;516,9
05/07/96;513,69
08/07/96;509,68
09/07/96;523,32
10/07/96;524,93
11/07/96;524,13
12/07/96;520,11
15/07/96;513,69
16/07/96;517,71
17/07/96;522,12
18/07/96;526,53
19/07/96;532,96
22/07/96;531,35
23/07/96;537,77
24/07/96;536,17
25/07/96;537,77
26/07/96;537,77
29/07/96;543,39
30/07/96;531,35
31/07/96;526,53
01/08/96;536,17
02/08/96;546,6
05/08/96;556,23
06/08/96;571,48
07/08/96;561,05
08/08/96;570,68
09/08/96;563,46
12/08/96;564,26
13/08/96;565,86
14/08/96;554,63
15/08/96;564,26
16/08/96;575,5
19/08/96;570,68
20/08/96;571,48
21/08/96;572,29
22/08/96;576,3
23/08/96;577,9
27/08/96;567,07
28/08/96;574,69
29/08/96;579,91
30/08/96;569,88
02/09/96;571,88
03/09/96;560,25
04/09/96;566,27
05/09/96;565,86
06/09/96;567,87
09/09/96;574,69
10/09/96;570,28
11/09/96;563,86
12/09/96;558,64
13/09/96;564,66
16/09/96;572,29
17/09/96;571,88
18/09/96;571,08
19/09/96;575,09
20/09/96;573,89
23/09/96;576,7
24/09/96;565,86
25/09/96;566,67
26/09/96;553,82
27/09/96;553,02
30/09/96;559,04
01/10/96;558,64
02/10/96;562,25
03/10/96;561,05
04/10/96;553,82
07/10/96;556,23
08/10/96;562,25
09/10/96;557,84
10/10/96;568,27
11/10/96;572,69
14/10/96;571,08
15/10/96;556,63
16/10/96;546,2
17/10/96;547
18/10/96;547
21/10/96;547,4
22/10/96;525,33
23/10/96;518,91
24/10/96;523,32
25/10/96;542,99
28/10/96;550,21
29/10/96;547,8
30/10/96;536,57
31/10/96;532,15
01/11/96;530,95
04/11/96;526,13
05/11/96;524,93
06/11/96;522,12
07/11/96;529,75
08/11/96;537,77
11/11/96;531,75
12/11/96;535,36
13/11/96;528,94
14/11/96;520,92
15/11/96;528,54
18/11/96;528,54
19/11/96;526,94
20/11/96;530,95
21/11/96;529,75
22/11/96;529,34
25/11/96;536,57
26/11/96;542,19
27/11/96;550,61
28/11/96;549,01
29/11/96;542,19
02/12/96;544,19
03/12/96;551,02
04/12/96;559,04
05/12/96;559,44
06/12/96;532,55
09/12/96;544,19
10/12/96;544,19
11/12/96;545,4
12/12/96;555,83
13/12/96;553,82
16/12/96;555,03
17/12/96;552,22
18/12/96;562,25
19/12/96;560,25
20/12/96;571,08
23/12/96;577,9
24/12/96;577,9
27/12/96;574,29
30/12/96;577,9
31/12/96;577,1
02/01/97;569,08
03/01/97;567,87
06/01/97;567,47
07/01/97;563,06
08/01/97;561,85
09/01/97;565,46
10/01/97;547,4
