Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/04/00;28,0785;117765;0;2,0678;62017,56;29864;845595
04/04/00;28,0785;117765;0;2,1474;62017,56;29864;845595
05/04/00;28,0785;117765;0;2,0943;62017,56;29864;845595
06/04/00;28,0785;117765;0;2,0855;62017,56;29864;845595
07/04/00;28,0785;117765;0;2,0678;62017,56;29864;845595
10/04/00;28,0785;117765;0;2,0502;62017,56;29864;845595
11/04/00;28,0785;117765;0;2,1032;62017,56;29864;845595
12/04/00;28,0785;117765;0;2,2092;62017,56;29864;845595
13/04/00;28,0785;117765;0;2,2446;62017,56;29864;845595
14/04/00;28,0785;117765;0;2,2446;62017,56;29864;845595
17/04/00;28,0785;117765;0;2,2269;62017,56;29864;845595
18/04/00;28,0785;117765;0;2,2534;62017,56;29864;845595
19/04/00;28,0785;117765;0;2,2622;62017,56;29864;845595
20/04/00;28,0785;117765;0;2,2004;62017,56;29864;845595
25/04/00;28,0785;117765;0;2,2799;62017,56;29864;845595
26/04/00;28,0785;117765;0;2,2711;62017,56;29864;845595
27/04/00;28,0785;117765;0;2,3594;62017,56;29864;845595
28/04/00;28,0785;117765;0;2,3329;62017,56;29864;845595
02/05/00;28,0785;117765;0;2,4301;62017,56;29864;845595
03/05/00;28,0785;117765;0;2,4036;62017,56;29864;845595
04/05/00;28,0785;117765;0;2,3594;62017,56;29864;845595
05/05/00;28,0785;117765;0;2,3153;62017,56;29864;845595
08/05/00;28,0785;117765;0;2,3153;62017,56;29864;845595
09/05/00;28,0785;117765;0;2,3329;62017,56;29864;845595
10/05/00;28,0785;117765;0;2,2799;62017,56;29864;845595
11/05/00;28,0785;117765;0;2,2976;62017,56;29864;845595
12/05/00;28,0785;117765;0;2,3153;62017,56;29864;845595
15/05/00;28,0785;117765;0;2,2976;62017,56;29864;845595
16/05/00;28,0785;117765;0;2,3329;62017,56;29864;845595
17/05/00;28,0785;117765;0;2,3329;62017,56;29864;845595
18/05/00;28,0785;117765;0;2,3329;62017,56;29864;845595
19/05/00;28,0785;117765;0;2,3506;62017,56;29864;845595
22/05/00;28,0785;117765;0;2,3771;62017,56;29864;845595
23/05/00;28,0785;117765;0;2,3329;62017,56;29864;845595
24/05/00;28,0785;117765;0;2,3241;62017,56;29864;845595
25/05/00;28,0785;117765;0;2,3683;62017,56;29864;845595
26/05/00;28,0785;117765;0;2,3153;62017,56;29864;845595
29/05/00;28,0785;117765;0;2,3683;62017,56;29864;845595
30/05/00;28,0785;117765;0;2,2976;62017,56;29864;845595
31/05/00;28,0785;117765;0;2,3683;62017,56;29864;845595
02/06/00;28,0785;117765;0;2,2799;62017,56;29864;845595
05/06/00;28,0785;117765;0;2,2622;62017,56;29864;845595
06/06/00;28,0785;117765;0;2,2357;62017,56;29864;845595
07/06/00;28,0785;117765;0;2,2888;62017,56;29864;845595
08/06/00;28,0785;117765;0;2,2799;62017,56;29864;845595
09/06/00;28,0785;117765;0;2,2888;62017,56;29864;845595
13/06/00;28,0785;117765;0;2,2181;62017,56;29864;845595
14/06/00;28,0785;117765;0;2,2181;62017,56;29864;845595
15/06/00;28,0785;117765;0;2,2269;62017,56;29864;845595
16/06/00;28,0785;117765;0;2,2181;62017,56;29864;845595
19/06/00;28,0785;117765;0;2,1739;62017,56;29864;845595
20/06/00;28,0785;117765;0;2,2269;62017,56;29864;845595
