Year,Quarter,MVA,DELTA_MVA
2000,3,1929465.9199036718,0.1060182018710668
2000,4,1952050.4826686732,0.011705085087032193
2001,1,2022277.916976078,0.03597623879654791
2001,2,1716400.8060853914,-0.15125374624476245
2001,3,1899115.092219905,0.10645199273194904
2001,4,1630199.6524774975,-0.1416003910684887
2002,1,1802753.6331135097,0.10584837285038873
2002,2,1740829.6046276907,-0.03434969002329559
2002,3,1670636.1507438156,-0.04032184063120144
2002,4,1272837.6153153067,-0.2381120121526147
2003,1,1358538.602194791,0.06733065227511717
2003,2,1300078.5355634477,-0.043031583009049496
2003,3,1517172.374477171,0.1669851727993001
2003,4,1568995.2122795337,0.03415751477825396
2004,1,1828725.5239377145,0.16553926336131292
2004,2,1805972.5496335807,-0.012441984325313517
2004,3,1949789.752854757,0.07963421329430273
2004,4,1958430.8092127452,0.004431788784065809
2005,1,1986621.9629413106,0.014394766256714367
2005,2,2015626.7253580277,0.01460004115416799
2005,3,2166480.9159427257,0.07484232506289197
2005,4,2324571.84884723,0.07297130186614745
2006,1,2513923.777914163,0.08145669025495343
2006,2,2521365.151907371,0.0029600634906209885
2006,3,2244167.886021276,-0.10993935792140212
2006,4,2619037.1850217707,0.1670415575124849
2007,1,2933171.2061061542,0.11994255861692639
2007,2,2901011.7180631855,-0.010964067823937622
2007,3,3045086.0037564337,0.049663462162585534
2007,4,2691775.590178243,-0.11602641539265075
2008,1,2264148.4451235537,-0.15886433721110188
2008,2,2039755.4569994796,-0.0991070124431833
2008,3,1434919.2324449995,-0.2965238908806284
2008,4,1055248.8287271406,-0.26459357093634306
2009,1,500805.0022293519,-0.5254152493744707
2009,2,308854.79310188605,-0.3832833303840665
2009,3,517545.45712455915,0.6756918418741507
2009,4,859188.5923135894,0.660121986360719
2010,1,1814532.0675975683,1.1119135936284574
2010,2,1495584.7797258482,-0.17577385022134367
2010,3,1772987.3743711188,0.18548102281177303
2010,4,1819062.475806661,0.025987269904775838
2011,1,2100026.7044193153,0.1544555134028924
2011,2,1918310.633183307,-0.08653036213949249
2011,3,2238977.5360983103,0.16716109339543103
2011,4,1315417.5796489844,-0.41249183681348633
2012,1,1588896.44635753,0.20790270020682164
2012,2,1882810.1860499545,0.18497979548397114
2012,3,1935897.2280085173,0.028195641999333384
2012,4,2207987.54153876,0.14054997837366895
2013,1,2262086.3854669854,0.024501426258285643
2013,2,3146652.1554691475,0.39103978331028777
2013,3,3261125.300805828,0.03637934531076674
2013,4,2959555.0001655356,-0.09247430651185776
2014,1,3374637.0576717095,0.14025150993408037
2014,2,3385865.4523386816,0.003327289564798118
2014,3,3698135.233411463,0.09222746310166896
2014,4,3779321.6207687375,0.021953331133967635
2015,1,3965890.1484981542,0.04936561278726724
2015,2,4466191.012035858,0.12615096354274033
2015,3,4419616.951636731,-0.01042813893844119
2015,4,4043430.4451973434,-0.08511744582300804
2016,1,3807601.5937830955,-0.058323954031250326
2016,2,3555788.96333456,-0.06613418558803144
2016,3,3893789.7183246994,0.09505647226970636
