Date;PX_LAST
12/06/95;31,216
13/06/95;31,978
14/06/95;31,47
15/06/95;31,724
16/06/95;31,724
19/06/95;31,47
20/06/95;31,216
21/06/95;30,963
22/06/95;30,963
26/06/95;31,216
27/06/95;30,963
28/06/95;30,963
29/06/95;31,216
30/06/95;30,963
03/07/95;30,963
04/07/95;31,216
05/07/95;31,216
06/07/95;30,963
07/07/95;31,216
10/07/95;31,47
11/07/95;31,216
12/07/95;31,724
13/07/95;31,47
14/07/95;31,47
17/07/95;31,724
18/07/95;31,216
19/07/95;31,216
20/07/95;31,216
21/07/95;31,216
24/07/95;31,47
25/07/95;31,216
26/07/95;31,724
27/07/95;32,485
28/07/95;32,485
31/07/95;31,724
01/08/95;31,724
02/08/95;32,232
03/08/95;31,216
04/08/95;31,47
07/08/95;31,47
08/08/95;31,47
09/08/95;31,216
10/08/95;31,216
11/08/95;31,47
14/08/95;30,963
15/08/95;31,216
16/08/95;31,47
17/08/95;31,216
18/08/95;31,216
21/08/95;31,216
22/08/95;31,216
23/08/95;32,232
24/08/95;32,485
25/08/95;32,739
28/08/95;32,485
29/08/95;32,232
30/08/95;31,724
31/08/95;31,216
01/09/95;31,47
04/09/95;31,724
05/09/95;31,47
06/09/95;31,724
07/09/95;32,485
08/09/95;33,247
11/09/95;34,262
12/09/95;34,262
13/09/95;34,769
14/09/95;36,546
15/09/95;37,815
18/09/95;37,307
19/09/95;36,8
20/09/95;36,292
21/09/95;36,546
22/09/95;34,262
25/09/95;34,769
26/09/95;34,516
27/09/95;34,262
28/09/95;34,008
29/09/95;34,262
02/10/95;34,262
03/10/95;34,262
04/10/95;34,008
05/10/95;34,008
06/10/95;33,754
09/10/95;32,485
10/10/95;32,739
11/10/95;33,754
12/10/95;34,262
13/10/95;34,262
16/10/95;34,008
17/10/95;34,008
18/10/95;35,023
19/10/95;35,277
20/10/95;35,277
23/10/95;34,262
24/10/95;34,769
25/10/95;35,531
26/10/95;35,277
27/10/95;35,023
30/10/95;35,531
31/10/95;35,531
01/11/95;35,785
02/11/95;35,531
03/11/95;35,531
06/11/95;36,038
07/11/95;36,038
08/11/95;36,292
09/11/95;36,8
10/11/95;36,292
13/11/95;36,292
14/11/95;36,292
15/11/95;36,546
16/11/95;38,576
17/11/95;39,338
20/11/95;40,099
21/11/95;39,592
22/11/95;39,592
23/11/95;39,845
24/11/95;39,845
27/11/95;41,114
28/11/95;40,86
29/11/95;40,607
30/11/95;40,607
01/12/95;40,86
04/12/95;40,099
05/12/95;39,592
06/12/95;37,815
07/12/95;37,054
08/12/95;37,561
11/12/95;38,323
12/12/95;39,592
13/12/95;39,338
14/12/95;39,845
15/12/95;39,592
18/12/95;39,084
19/12/95;38,069
20/12/95;38,323
21/12/95;37,561
22/12/95;38,83
27/12/95;39,592
28/12/95;40,86
29/12/95;42,891
02/01/96;42,637
03/01/96;42,891
04/01/96;42,637
05/01/96;41,368
08/01/96;40,353
09/01/96;40,607
10/01/96;40,607
11/01/96;41,114
12/01/96;41,876
15/01/96;42,129
16/01/96;42,637
17/01/96;41,368
18/01/96;40,607
19/01/96;40,607
22/01/96;39,084
23/01/96;38,069
24/01/96;37,307
25/01/96;37,307
26/01/96;37,307
29/01/96;37,561
30/01/96;38,323
31/01/96;38,069
01/02/96;38,576
02/02/96;38,576
05/02/96;37,815
06/02/96;38,323
07/02/96;38,83
08/02/96;38,069
09/02/96;38,323
12/02/96;39,845
13/02/96;39,084
14/02/96;37,815
15/02/96;37,815
16/02/96;36,8
19/02/96;36,038
20/02/96;35,785
21/02/96;37,561
22/02/96;37,307
23/02/96;37,815
26/02/96;36,8
27/02/96;37,561
28/02/96;38,323
29/02/96;37,054
01/03/96;37,815
04/03/96;37,815
05/03/96;36,8
06/03/96;37,307
07/03/96;38,323
08/03/96;36,8
11/03/96;36,038
12/03/96;36,8
13/03/96;36,546
14/03/96;37,561
15/03/96;37,815
18/03/96;39,084
19/03/96;39,338
20/03/96;40,353
21/03/96;39,845
22/03/96;39,845
25/03/96;39,592
26/03/96;38,576
27/03/96;38,83
28/03/96;38,83
29/03/96;38,069
01/04/96;38,323
02/04/96;38,576
03/04/96;38,576
04/04/96;38,323
09/04/96;38,323
10/04/96;38,576
11/04/96;39,592
12/04/96;40,353
15/04/96;40,86
16/04/96;40,607
17/04/96;40,607
18/04/96;41,368
19/04/96;41,622
22/04/96;43,398
23/04/96;42,891
24/04/96;42,891
25/04/96;42,344
26/04/96;42,071
29/04/96;42,071
30/04/96;41,798
02/05/96;43,71
03/05/96;43,437
06/05/96;43,437
07/05/96;42,891
08/05/96;42,618
09/05/96;44,257
10/05/96;44,53
13/05/96;43,437
14/05/96;44,257
15/05/96;43,71
17/05/96;43,71
20/05/96;45,35
21/05/96;45,35
22/05/96;44,53
23/05/96;44,257
24/05/96;44,257
28/05/96;43,71
29/05/96;43,164
30/05/96;43,164
31/05/96;43,164
03/06/96;43,984
04/06/96;45,623
05/06/96;46,169
06/06/96;47,262
07/06/96;46,442
10/06/96;46,715
11/06/96;45,896
12/06/96;45,076
13/06/96;45,896
14/06/96;45,35
17/06/96;45,896
18/06/96;45,623
19/06/96;46,169
20/06/96;46,715
24/06/96;46,989
25/06/96;46,169
26/06/96;46,169
27/06/96;46,169
28/06/96;46,989
01/07/96;47,262
02/07/96;47,262
03/07/96;47,262
04/07/96;47,535
05/07/96;47,535
08/07/96;46,715
09/07/96;46,715
10/07/96;46,442
11/07/96;46,169
12/07/96;45,623
15/07/96;45,076
16/07/96;44,257
17/07/96;45,35
18/07/96;45,623
19/07/96;45,35
22/07/96;43,984
23/07/96;43,71
24/07/96;44,257
25/07/96;44,803
26/07/96;44,803
29/07/96;43,984
30/07/96;42,891
31/07/96;43,437
01/08/96;43,984
02/08/96;44,257
05/08/96;45,076
06/08/96;45,076
07/08/96;46,169
08/08/96;46,715
09/08/96;47,535
12/08/96;48,355
13/08/96;47,808
14/08/96;46,989
15/08/96;46,989
16/08/96;46,989
19/08/96;47,535
20/08/96;46,989
21/08/96;45,896
22/08/96;46,442
23/08/96;46,715
26/08/96;46,442
27/08/96;46,169
28/08/96;46,169
29/08/96;45,076
30/08/96;45,076
02/09/96;45,35
03/09/96;44,53
04/09/96;45,35
05/09/96;45,076
06/09/96;45,35
09/09/96;46,169
10/09/96;45,623
11/09/96;47,262
12/09/96;48,081
13/09/96;48,355
16/09/96;48,355
17/09/96;47,535
18/09/96;47,262
19/09/96;48,081
20/09/96;49,174
23/09/96;49,447
24/09/96;49,994
25/09/96;51,36
26/09/96;52,179
27/09/96;51,906
30/09/96;52,452
01/10/96;52,179
02/10/96;51,36
03/10/96;51,087
04/10/96;53,272
07/10/96;53,818
08/10/96;54,092
09/10/96;55,184
10/10/96;55,184
11/10/96;55,731
14/10/96;55,458
15/10/96;56,824
16/10/96;56,824
17/10/96;57,643
18/10/96;58,463
21/10/96;59,282
22/10/96;59,009
23/10/96;57,097
24/10/96;56,277
25/10/96;57,097
28/10/96;57,643
29/10/96;57,37
30/10/96;56,824
31/10/96;56,824
01/11/96;57,37
04/11/96;57,643
05/11/96;57,916
06/11/96;59,009
07/11/96;59,282
08/11/96;58,736
11/11/96;59,555
12/11/96;59,555
13/11/96;60,102
14/11/96;62,014
15/11/96;62,834
18/11/96;63,38
19/11/96;61,741
20/11/96;60,648
21/11/96;61,195
22/11/96;62,561
25/11/96;62,834
26/11/96;62,014
27/11/96;60,375
28/11/96;59,829
29/11/96;60,648
02/12/96;62,287
03/12/96;61,195
04/12/96;61,468
05/12/96;60,648
06/12/96;59,282
09/12/96;59,009
10/12/96;60,921
11/12/96;60,102
12/12/96;61,195
13/12/96;61,741
16/12/96;61,195
17/12/96;59,829
18/12/96;61,195
19/12/96;63,107
20/12/96;63,653
23/12/96;63,38
27/12/96;62,834
30/12/96;63,926
02/01/97;62,014
03/01/97;64,746
07/01/97;64,2
08/01/97;63,653
09/01/97;61,468
10/01/97;62,287
13/01/97;62,287
14/01/97;62,834
15/01/97;62,561
16/01/97;63,926
17/01/97;64,2
20/01/97;63,38
21/01/97;63,38
22/01/97;63,653
23/01/97;63,38
24/01/97;64,2
27/01/97;63,653
28/01/97;63,926
29/01/97;62,834
30/01/97;62,287
31/01/97;62,834
03/02/97;63,38
04/02/97;63,107
05/02/97;62,834
06/02/97;62,561
07/02/97;62,561
10/02/97;62,561
11/02/97;62,287
12/02/97;63,653
13/02/97;63,653
14/02/97;65,292
18/02/97;76,22
19/02/97;84,143
20/02/97;83,323
21/02/97;81,957
24/02/97;83,05
25/02/97;83,05
26/02/97;82,503
27/02/97;81,684
28/02/97;80,864
03/03/97;77,859
04/03/97;78,406
05/03/97;78,679
06/03/97;81,957
07/03/97;83,596
10/03/97;81,957
11/03/97;81,137
12/03/97;78,952
13/03/97;78,679
14/03/97;77,04
17/03/97;74,581
18/03/97;72,122
19/03/97;72,122
20/03/97;73,761
21/03/97;77,313
24/03/97;77,313
25/03/97;76,766
26/03/97;76,766
27/03/97;76,493
01/04/97;74,034
02/04/97;73,488
03/04/97;73,215
04/04/97;72,395
07/04/97;73,761
08/04/97;72,669
09/04/97;74,034
10/04/97;74,034
11/04/97;74,034
14/04/97;72,669
