Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
28/06/02;14,2481;685,541;22,498;1,9918;267,0592;134,08;1720,767
01/07/02;14,2481;685,541;22,498;1,9608;267,0592;134,08;1720,767
02/07/02;14,2481;685,541;22,498;1,9546;267,0592;134,08;1720,767
03/07/02;14,2481;685,541;22,498;1,9794;267,0592;134,08;1720,767
04/07/02;14,2481;685,541;22,498;1,967;267,0592;134,08;1720,767
05/07/02;14,2481;685,541;22,498;1,9918;267,0592;134,08;1720,767
08/07/02;14,2481;685,541;22,498;2,029;267,0592;134,08;1720,767
09/07/02;14,2481;685,541;22,498;2,0414;267,0592;134,08;1720,767
10/07/02;14,2481;685,541;22,498;2,0414;267,0592;134,08;1720,767
11/07/02;14,2481;685,541;22,498;2,0414;267,0592;134,08;1720,767
12/07/02;14,2481;685,541;22,498;2,0352;267,0592;134,08;1720,767
15/07/02;14,2481;685,541;22,498;1,9732;267,0592;134,08;1720,767
16/07/02;14,2481;685,541;22,498;1,9856;267,0592;134,08;1720,767
17/07/02;14,2481;685,541;22,498;1,9732;267,0592;134,08;1720,767
18/07/02;14,2481;685,541;22,498;1,9359;267,0592;134,08;1720,767
19/07/02;14,2481;685,541;22,498;1,8801;267,0592;134,08;1720,767
22/07/02;14,2481;685,541;22,498;1,8118;267,0592;134,08;1720,767
23/07/02;14,2481;685,541;22,498;1,7312;267,0592;134,08;1720,767
24/07/02;14,2481;685,541;22,498;1,7002;267,0592;134,08;1720,767
25/07/02;14,2481;685,541;22,498;1,7064;267,0592;134,08;1720,767
26/07/02;14,2481;685,541;22,498;1,7002;267,0592;134,08;1720,767
29/07/02;14,2481;685,541;22,498;1,6691;267,0592;134,08;1720,767
30/07/02;14,2481;685,541;22,498;1,6877;267,0592;134,08;1720,767
31/07/02;14,2481;685,541;22,498;1,6753;267,0592;134,08;1720,767
01/08/02;14,2481;685,541;22,498;1,6691;267,0592;134,08;1720,767
02/08/02;14,2481;685,541;22,498;1,7436;267,0592;134,08;1720,767
05/08/02;14,2481;685,541;22,498;1,7002;267,0592;134,08;1720,767
06/08/02;14,2481;685,541;22,498;1,6505;267,0592;134,08;1720,767
07/08/02;14,2481;685,541;22,498;1,756;267,0592;134,08;1720,767
08/08/02;14,2481;685,541;22,498;1,8243;267,0592;134,08;1720,767
