Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/01;15,8591;1894,387;881,699;2,8329;2136,2664;754,093;10771,0259
02/07/01;15,8591;1894,387;881,699;2,8329;2136,2664;754,093;10771,0259
03/07/01;15,8591;1894,387;881,699;2,7575;2136,2664;754,093;10771,0259
04/07/01;15,8591;1894,387;881,699;2,7221;2136,2664;754,093;10771,0259
05/07/01;15,8591;1894,387;881,699;2,7043;2136,2664;754,093;10771,0259
06/07/01;15,8591;1894,387;881,699;2,7309;2136,2664;754,093;10771,0259
09/07/01;15,8591;1894,387;881,699;2,6511;2136,2664;754,093;10771,0259
10/07/01;15,8591;1894,387;881,699;2,5979;2136,2664;754,093;10771,0259
11/07/01;15,8591;1894,387;881,699;2,4915;2136,2664;754,093;10771,0259
12/07/01;15,8591;1894,387;881,699;2,5403;2136,2664;754,093;10771,0259
13/07/01;15,8591;1894,387;881,699;2,4339;2136,2664;754,093;10771,0259
16/07/01;15,8591;1894,387;881,699;2,3408;2136,2664;754,093;10771,0259
17/07/01;15,8591;1894,387;881,699;2,3497;2136,2664;754,093;10771,0259
18/07/01;15,8591;1894,387;881,699;2,4206;2136,2664;754,093;10771,0259
19/07/01;15,8591;1894,387;881,699;2,5625;2136,2664;754,093;10771,0259
20/07/01;15,8591;1894,387;881,699;2,4694;2136,2664;754,093;10771,0259
23/07/01;15,8591;1894,387;881,699;2,527;2136,2664;754,093;10771,0259
24/07/01;15,8591;1894,387;881,699;2,558;2136,2664;754,093;10771,0259
25/07/01;15,8591;1894,387;881,699;2,5492;2136,2664;754,093;10771,0259
26/07/01;15,8591;1894,387;881,699;2,5625;2136,2664;754,093;10771,0259
27/07/01;15,8591;1894,387;881,699;2,6068;2136,2664;754,093;10771,0259
30/07/01;15,8591;1894,387;881,699;2,5536;2136,2664;754,093;10771,0259
31/07/01;15,8591;1894,387;881,699;2,6024;2136,2664;754,093;10771,0259
01/08/01;15,8591;1894,387;881,699;2,6157;2136,2664;754,093;10771,0259
02/08/01;15,8591;1894,387;881,699;2,6733;2136,2664;754,093;10771,0259
03/08/01;15,8591;1894,387;881,699;2,7575;2136,2664;754,093;10771,0259
06/08/01;15,8591;1894,387;881,699;2,7354;2136,2664;754,093;10771,0259
07/08/01;15,8591;1894,387;881,699;2,6334;2136,2664;754,093;10771,0259
08/08/01;15,8591;1894,387;881,699;2,5891;2136,2664;754,093;10771,0259
