Year,Quarter,MVA,DELTA_MVA
2001,3,33640.510284387354,-0.00704714809257283
2001,4,19553.04137648114,-0.41876501839046854
2002,1,28687.137887967787,0.4671445395944058
2002,2,23068.488020442193,-0.1958595482570681
2002,3,22765.190232653273,-0.013147709876787445
2002,4,18907.65394018611,-0.16944889337819385
2003,1,21864.202163391255,0.15636779859405686
2003,2,20410.693587028905,-0.0664789213665459
2003,3,26367.250994945924,0.2918351295863086
2003,4,29585.87484948378,0.1220689959357083
2004,1,33140.959096018676,0.12016153872823293
2004,2,26688.524985660715,-0.1946966619663434
2004,3,27216.358665877004,0.019777551606912875
2004,4,26529.525011054095,-0.025236059799727692
2005,1,40558.189506439056,0.5287944088535176
2005,2,51663.149216804166,0.27380314174532067
2005,3,61769.502557543485,0.19562015660965718
2005,4,75694.18613607435,0.22542975096098355
2006,1,76494.71904436123,0.010575883686070398
2006,2,91296.03418557423,0.19349460101460517
2006,3,88712.98199156485,-0.028293147857429337
2006,4,105434.23488191601,0.18848710205616886
2007,1,126661.40469415925,0.20133090391386818
2007,2,139077.69564724434,0.09802742187382074
2007,3,153080.11333237914,0.10068054133317274
2007,4,142098.12480995007,-0.07174013843708198
2008,1,130412.90155627407,-0.08223347964165231
2008,2,123675.2692719844,-0.05166384770131295
2008,3,109834.67409926388,-0.11191077451614469
2008,4,78607.59416929142,-0.2843098519302817
2009,1,37356.95706771668,-0.5247665640642336
2009,2,31161.37256671281,-0.1658482110781448
2009,3,43173.4384207624,0.38547935680089773
2009,4,70926.55230259238,0.6428284356541616
2010,1,45845.1611591627,-0.3536248461144071
2010,2,47344.81774961064,0.03271133861306563
2010,3,21037.540639244067,-0.5556527273902733
2010,4,21685.70089320622,0.030809697059030503
2011,1,22284.424970944503,0.02760916424545234
2011,2,25800.011483921662,0.1577598038792093
2011,3,19495.995828712472,-0.24434158330269723
2011,4,11302.467462347427,-0.4202672404298596
2012,1,43168.47051807106,2.819384631000329
2012,2,49770.30210877006,0.152931792844858
2012,3,44339.567259036216,-0.10911597116419537
2012,4,60542.311366717404,0.36542404694712344
2013,1,57121.7084546093,-0.0564993776235069
2013,2,47643.60139467205,-0.16592828394600373
2013,3,106720.8727315047,1.239983326353646
2013,4,64814.82746889273,-0.39266962675653827
2014,1,82268.9125580069,0.26929154594280286
2014,2,110278.19873426146,0.3404601483762841
2014,3,83592.56303641504,-0.24198468966791048
2014,4,70305.59116177329,-0.15894921021686592
2015,1,65053.334134802106,-0.0747061071556277
2015,2,27302.034552263238,-0.5803130628833173
2015,3,32087.66282343843,0.17528467565353956
2015,4,6928.574499017968,-0.7840735694231681
2016,1,25344.529550586813,2.6579717161414744
2016,2,17306.493727213223,-0.31715072111833625
2016,3,12141.280724864839,-0.298455197439933
