Date;PX_LAST
01/02/95;451,8895
02/02/95;451,8895
03/02/95;443,7228
06/02/95;435,5561
07/02/95;442,3617
08/02/95;442,3617
09/02/95;442,3617
10/02/95;442,3617
13/02/95;460,0561
14/02/95;455,9728
15/02/95;455,9728
16/02/95;455,9728
17/02/95;449,1672
20/02/95;442,3617
21/02/95;442,3617
22/02/95;443,7228
23/02/95;442,3617
24/02/95;442,3617
27/02/95;435,5561
28/02/95;441,0006
01/03/95;436,9172
02/03/95;442,3617
03/03/95;437,5978
07/03/95;445,7645
08/03/95;445,7645
09/03/95;445,7645
10/03/95;435,5561
13/03/95;429,4311
14/03/95;431,4728
16/03/95;435,5561
20/03/95;432,1533
21/03/95;433,5144
22/03/95;432,1533
23/03/95;435,5561
24/03/95;428,7505
27/03/95;428,7505
28/03/95;427,3894
29/03/95;420,5839
30/03/95;428,07
31/03/95;420,5839
03/04/95;435,5561
04/04/95;430,1117
05/04/95;432,8339
06/04/95;435,5561
07/04/95;429,4311
10/04/95;421,945
11/04/95;412,4172
12/04/95;421,945
13/04/95;415,1394
14/04/95;412,4172
17/04/95;420,5839
18/04/95;420,5839
19/04/95;441,6811
20/04/95;439,6395
25/04/95;445,7645
26/04/95;435,5561
27/04/95;428,7505
28/04/95;442,3617
02/05/95;460,0561
03/05/95;462,7784
04/05/95;462,7784
08/05/95;475,0284
09/05/95;447,8061
10/05/95;417,8616
11/05/95;421,945
18/05/95;421,945
19/05/95;420,5839
22/05/95;418,5422
23/05/95;413,7783
24/05/95;416,5005
25/05/95;415,1394
26/05/95;411,7366
29/05/95;406,9727
01/06/95;408,3339
02/06/95;408,3339
05/06/95;407,6533
06/06/95;406,9727
08/06/95;405,6116
09/06/95;404,9311
13/06/95;404,9311
14/06/95;406,9727
15/06/95;406,9727
16/06/95;407,6533
19/06/95;408,3339
20/06/95;406,9727
21/06/95;402,8894
22/06/95;401,5283
23/06/95;398,8061
26/06/95;405,6116
27/06/95;406,9727
28/06/95;400,8477
29/06/95;397,445
30/06/95;397,445
03/07/95;395,4033
04/07/95;406,2922
05/07/95;410,3755
06/07/95;423,3061
07/07/95;421,2644
10/07/95;421,945
11/07/95;418,5422
12/07/95;416,5005
13/07/95;415,1394
14/07/95;415,1394
17/07/95;416,5005
18/07/95;414,4589
19/07/95;415,1394
20/07/95;411,0561
21/07/95;408,3339
24/07/95;408,3339
25/07/95;407,6533
26/07/95;407,6533
27/07/95;405,6116
28/07/95;408,3339
31/07/95;408,3339
01/08/95;436,9172
02/08/95;471,7617
03/08/95;477,0701
04/08/95;494,084
07/08/95;492,0423
08/08/95;497,4867
09/08/95;497,4867
10/08/95;504,2923
11/08/95;503,6118
16/08/95;503,6118
17/08/95;500,209
18/08/95;494,7645
21/08/95;477,7506
22/08/95;472,3062
23/08/95;465,5006
24/08/95;465,5006
25/08/95;472,3062
28/08/95;481,834
29/08/95;486,5978
30/08/95;483,1951
31/08/95;479,7923
01/09/95;483,1951
04/09/95;482,5145
05/09/95;481,834
06/09/95;476,3895
08/09/95;469,5839
11/09/95;469,5839
12/09/95;462,7784
13/09/95;466,1812
14/09/95;466,1812
15/09/95;467,5423
18/09/95;468,2228
19/09/95;465,5006
20/09/95;465,5006
21/09/95;462,7784
22/09/95;462,7784
25/09/95;466,1812
26/09/95;463,4589
27/09/95;462,7784
28/09/95;462,7784
29/09/95;438,2783
02/10/95;464,1395
03/10/95;461,4173
04/10/95;457,3339
05/10/95;451,2089
06/10/95;459,3756
09/10/95;453,2506
10/10/95;455,9728
11/10/95;453,2506
12/10/95;449,1672
13/10/95;447,8061
16/10/95;446,445
17/10/95;449,1672
18/10/95;448,4867
19/10/95;448,4867
20/10/95;447,8061
23/10/95;448,4867
24/10/95;449,1672
25/10/95;447,8061
26/10/95;446,445
27/10/95;447,8061
30/10/95;446,445
31/10/95;442,3617
01/11/95;435,5561
02/11/95;441,6811
03/11/95;441,0006
06/11/95;441,0006
07/11/95;440,32
08/11/95;441,6811
09/11/95;441,0006
10/11/95;441,0006
13/11/95;441,0006
14/11/95;441,6811
15/11/95;442,3617
16/11/95;447,8061
17/11/95;448,4867
20/11/95;441,0006
21/11/95;435,5561
22/11/95;435,5561
23/11/95;441,6811
24/11/95;447,1256
27/11/95;448,4867
28/11/95;442,3617
29/11/95;446,445
30/11/95;443,7228
01/12/95;448,4867
04/12/95;451,8895
05/12/95;449,1672
06/12/95;449,1672
07/12/95;449,1672
08/12/95;449,1672
11/12/95;449,1672
12/12/95;449,1672
13/12/95;449,1672
14/12/95;447,8061
15/12/95;447,1256
18/12/95;443,7228
19/12/95;445,7645
20/12/95;446,445
21/12/95;421,945
22/12/95;447,8061
27/12/95;449,1672
28/12/95;451,2089
29/12/95;455,9728
02/01/96;449,1672
03/01/96;442,3617
04/01/96;449,1672
05/01/96;448,4867
08/01/96;443,7228
09/01/96;450,5284
10/01/96;456,6534
11/01/96;449,8478
12/01/96;449,1672
15/01/96;455,9728
16/01/96;462,7784
17/01/96;462,7784
18/01/96;465,5006
19/01/96;476,3895
22/01/96;479,1117
23/01/96;473,6673
24/01/96;468,2228
25/01/96;447,8061
26/01/96;460,7367
29/01/96;462,7784
30/01/96;462,7784
31/01/96;462,7784
01/02/96;458,695
02/02/96;469,5839
05/02/96;462,7784
06/02/96;469,5839
07/02/96;462,7784
08/02/96;462,7784
09/02/96;462,7784
12/02/96;462,7784
13/02/96;460,7367
14/02/96;460,7367
15/02/96;460,7367
16/02/96;462,7784
19/02/96;468,2228
20/02/96;467,5423
21/02/96;467,5423
22/02/96;464,1395
23/02/96;462,7784
27/02/96;462,7784
28/02/96;470,945
29/02/96;484,5562
01/03/96;490,0006
04/03/96;498,1673
05/03/96;504,2923
06/03/96;491,3617
07/03/96;496,1256
08/03/96;487,959
11/03/96;487,2784
12/03/96;479,1117
13/03/96;479,1117
14/03/96;479,7923
15/03/96;490,0006
18/03/96;483,1951
19/03/96;476,3895
20/03/96;479,1117
21/03/96;476,3895
22/03/96;480,4728
26/03/96;489,3201
27/03/96;483,1951
28/03/96;480,4728
29/03/96;476,3895
01/04/96;487,959
02/04/96;483,1951
03/04/96;487,2784
04/04/96;490,0006
05/04/96;483,1951
08/04/96;484,5562
09/04/96;481,834
10/04/96;487,959
11/04/96;496,1256
16/04/96;524,0284
17/04/96;525,3896
18/04/96;515,8618
19/04/96;515,8618
22/04/96;510,4173
23/04/96;506,334
24/04/96;506,334
25/04/96;503,6118
26/04/96;500,8895
29/04/96;503,6118
30/04/96;503,6118
02/05/96;510,4173
03/05/96;503,6118
06/05/96;514,5007
07/05/96;524,0284
08/05/96;530,834
09/05/96;532,1951
10/05/96;539,0007
13/05/96;544,4451
14/05/96;536,2785
15/05/96;537,6396
16/05/96;535,5979
17/05/96;534,9174
20/05/96;533,5562
21/05/96;533,5562
22/05/96;517,2229
23/05/96;539,6812
24/05/96;534,9174
27/05/96;533,5562
28/05/96;532,8757
29/05/96;530,834
30/05/96;536,2785
31/05/96;509,4212
04/06/96;509,4212
05/06/96;504,8728
06/06/96;503,9631
07/06/96;503,9631
10/06/96;507,6019
11/06/96;504,8728
12/06/96;491,2276
13/06/96;496,6857
14/06/96;476,6727
17/06/96;476,6727
18/06/96;479,4018
19/06/96;481,2211
20/06/96;485,7695
21/06/96;482,1308
24/06/96;482,1308
25/06/96;487,5889
27/06/96;485,7695
28/06/96;489,4082
01/07/96;494,8663
02/07/96;496,6857
03/07/96;492,1373
04/07/96;492,1373
05/07/96;499,4147
08/07/96;493,047
09/07/96;491,2276
10/07/96;482,1308
11/07/96;482,1308
12/07/96;488,4986
15/07/96;473,9437
16/07/96;483,9502
17/07/96;480,3114
18/07/96;478,4921
19/07/96;474,8534
22/07/96;473,9437
23/07/96;476,6727
24/07/96;472,1243
25/07/96;473,034
26/07/96;473,034
29/07/96;480,3114
30/07/96;477,5824
31/07/96;474,8534
01/08/96;473,034
02/08/96;473,034
05/08/96;473,034
06/08/96;471,2146
07/08/96;469,3953
08/08/96;469,3953
09/08/96;471,2146
12/08/96;473,034
13/08/96;472,1243
14/08/96;473,034
16/08/96;478,4921
19/08/96;481,2211
20/08/96;497,5954
21/08/96;495,776
22/08/96;500,3244
23/08/96;503,9631
26/08/96;508,5115
27/08/96;508,5115
28/08/96;503,9631
29/08/96;504,8728
30/08/96;508,5115
02/09/96;505,7825
03/09/96;500,3244
04/09/96;503,9631
05/09/96;502,1438
06/09/96;500,3244
09/09/96;498,5051
10/09/96;500,3244
11/09/96;504,8728
12/09/96;509,4212
13/09/96;511,2406
16/09/96;549,4472
17/09/96;547,6278
18/09/96;545,8085
19/09/96;544,8988
20/09/96;545,8085
23/09/96;545,8085
24/09/96;537,6213
25/09/96;545,8085
26/09/96;543,9891
27/09/96;534,8923
30/09/96;531,2536
01/10/96;532,1632
02/10/96;533,0729
03/10/96;527,6148
04/10/96;531,2536
07/10/96;533,0729
08/10/96;518,518
09/10/96;514,8793
10/10/96;513,9696
11/10/96;518,518
14/10/96;514,8793
15/10/96;508,5115
16/10/96;510,3309
17/10/96;504,8728
18/10/96;505,7825
21/10/96;489,4082
22/10/96;490,3179
23/10/96;487,5889
24/10/96;488,4986
25/10/96;503,9631
29/10/96;508,5115
30/10/96;508,5115
31/10/96;504,8728
01/11/96;510,3309
04/11/96;511,2406
05/11/96;509,4212
06/11/96;518,518
07/11/96;515,789
13/11/96;505,7825
14/11/96;496,6857
15/11/96;514,8793
18/11/96;507,6019
19/11/96;507,6019
20/11/96;508,5115
21/11/96;508,5115
22/11/96;509,4212
25/11/96;504,8728
26/11/96;509,4212
27/11/96;511,2406
28/11/96;509,4212
29/11/96;509,4212
02/12/96;508,5115
03/12/96;507,6019
04/12/96;503,9631
05/12/96;497,5954
06/12/96;491,2276
09/12/96;484,8598
10/12/96;480,3114
11/12/96;491,2276
12/12/96;491,2276
13/12/96;491,2276
16/12/96;491,2276
17/12/96;491,2276
18/12/96;492,1373
19/12/96;491,2276
20/12/96;491,2276
23/12/96;493,047
24/12/96;493,9566
27/12/96;490,3179
30/12/96;500,3244
31/12/96;509,4212
02/01/97;514,8793
03/01/97;514,8793
07/01/97;517,6083
08/01/97;533,0729
09/01/97;533,0729
10/01/97;531,2536
13/01/97;535,802
14/01/97;543,0794
15/01/97;565,8214
16/01/97;578,557
17/01/97;562,1827
20/01/97;570,3698
21/01/97;571,2795
22/01/97;573,0989
23/01/97;574,0086
24/01/97;571,2795
27/01/97;571,2795
28/01/97;574,9182
29/01/97;574,9182
30/01/97;605,8474
31/01/97;618,5829
03/02/97;600,3893
04/02/97;599,4796
05/02/97;604,028
06/02/97;607,6667
07/02/97;605,8474
10/02/97;622,2216
11/02/97;645,8733
12/02/97;697,5432
13/02/97;691,3574
14/02/97;709,551
17/02/97;719,5575
18/02/97;715,0091
19/02/97;711,3703
20/02/97;723,1962
21/02/97;731,3833
24/02/97;789,7848
25/02/97;852,9167
26/02/97;921,1427
27/02/97;847,4586
28/02/97;825,9901
03/03/97;806,8868
04/03/97;771,4093
05/03/97;833,0856
06/03/97;891,4871
07/03/97;946,068
11/03/97;855,0999
12/03/97;818,7127
13/03/97;818,7127
14/03/97;807,7965
17/03/97;811,4352
18/03/97;809,6159
19/03/97;788,6932
20/03/97;800,5191
21/03/97;809,6159
24/03/97;844,1837
26/03/97;871,4742
27/03/97;903,313
28/03/97;926,055
31/03/97;940,6099
01/04/97;926,055
02/04/97;935,1518
03/04/97;937,8809
04/04/97;955,1648
07/04/97;997,0101
08/04/97;1001,5585
09/04/97;1046,1329
10/04/97;1042,4941
11/04/97;1027,0296
14/04/97;993,3714
15/04/97;982,4552
16/04/97;1025,2102
17/04/97;1018,8424
18/04/97;1011,565
21/04/97;1014,294
22/04/97;1009,7456
23/04/97;1026,1199
24/04/97;1033,3973
29/04/97;1069,7846
30/04/97;1089,7975
02/05/97;1164,3914
05/05/97;1228,069
06/05/97;1208,9657
07/05/97;1208,056
08/05/97;1209,8754
09/05/97;1233,5271
12/05/97;1255,3594
13/05/97;1231,7077
14/05/97;1228,9787
15/05/97;1244,4433
16/05/97;1235,3465
19/05/97;1226,2497
20/05/97;1200,7786
21/05/97;1200,7786
22/05/97;1248,082
23/05/97;1290,5565
27/05/97;1343,362
28/05/97;1358,0302
29/05/97;1347,0291
30/05/97;1295,6904
02/06/97;1271,2434
03/06/97;1307,9139
04/06/97;1295,6904
05/06/97;1265,1316
06/06/97;1210,1259
09/06/97;1222,3494
10/06/97;1229,6835
