Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/01/00;19,4018;2721,5;59,2;5,3387;3288,6;611,1;10797,6999
04/01/00;19,4018;2721,5;59,2;5,3387;3288,6;611,1;10797,6999
05/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
06/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
07/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
10/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
11/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
12/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
13/01/00;19,4018;2721,5;59,2;5,0825;3288,6;611,1;10797,6999
14/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
17/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
18/01/00;19,4018;2721,5;59,2;5,1679;3288,6;611,1;10797,6999
19/01/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
20/01/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
21/01/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
24/01/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
25/01/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
26/01/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
27/01/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
28/01/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
31/01/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
01/02/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
02/02/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
03/02/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
04/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
07/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
08/02/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
09/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
10/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
11/02/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
14/02/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
15/02/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
16/02/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
17/02/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
18/02/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
21/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
22/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
23/02/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
24/02/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
25/02/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
28/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
29/02/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
01/03/00;19,4018;2721,5;59,2;4,57;3288,6;611,1;10797,6999
02/03/00;19,4018;2721,5;59,2;4,57;3288,6;611,1;10797,6999
03/03/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
06/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
07/03/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
08/03/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
09/03/00;19,4018;2721,5;59,2;4,9543;3288,6;611,1;10797,6999
10/03/00;19,4018;2721,5;59,2;5,0398;3288,6;611,1;10797,6999
13/03/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
14/03/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
15/03/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
16/03/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
17/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
20/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
21/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
22/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
23/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
24/03/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
27/03/00;19,4018;2721,5;59,2;4,5272;3288,6;611,1;10797,6999
28/03/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
29/03/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
30/03/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
31/03/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
03/04/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
04/04/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
05/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
06/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
07/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
10/04/00;19,4018;2721,5;59,2;4,24965;3288,6;611,1;10797,6999
11/04/00;19,4018;2721,5;59,2;4,2283;3288,6;611,1;10797,6999
12/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
13/04/00;19,4018;2721,5;59,2;4,1856;3288,6;611,1;10797,6999
14/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
17/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
18/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
19/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
20/04/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
25/04/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
26/04/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
27/04/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
28/04/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
02/05/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
03/05/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
04/05/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
05/05/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
08/05/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
09/05/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
10/05/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
11/05/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
12/05/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
15/05/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
16/05/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
17/05/00;19,4018;2721,5;59,2;4,1856;3288,6;611,1;10797,6999
18/05/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
19/05/00;19,4018;2721,5;59,2;4,1856;3288,6;611,1;10797,6999
22/05/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
23/05/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
24/05/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
25/05/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
26/05/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
29/05/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
30/05/00;19,4018;2721,5;59,2;4,2283;3288,6;611,1;10797,6999
31/05/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
01/06/00;19,4018;2721,5;59,2;4,1001;3288,6;611,1;10797,6999
02/06/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
05/06/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
06/06/00;19,4018;2721,5;59,2;4,3137;3288,6;611,1;10797,6999
07/06/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
08/06/00;19,4018;2721,5;59,2;3,972;3288,6;611,1;10797,6999
09/06/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
12/06/00;19,4018;2721,5;59,2;3,972;3288,6;611,1;10797,6999
13/06/00;19,4018;2721,5;59,2;3,972;3288,6;611,1;10797,6999
14/06/00;19,4018;2721,5;59,2;3,972;3288,6;611,1;10797,6999
15/06/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
16/06/00;19,4018;2721,5;59,2;3,9293;3288,6;611,1;10797,6999
19/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
20/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
21/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
22/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
23/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
26/06/00;19,4018;2721,5;59,2;3,8439;3288,6;611,1;10797,6999
27/06/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
28/06/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
29/06/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
30/06/00;19,4018;2721,5;59,2;4,8689;3288,6;611,1;10797,6999
03/07/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
04/07/00;19,4018;2721,5;59,2;4,4845;3288,6;611,1;10797,6999
05/07/00;19,4018;2721,5;59,2;4,4418;3288,6;611,1;10797,6999
06/07/00;19,4018;2721,5;59,2;4,57;3288,6;611,1;10797,6999
07/07/00;19,4018;2721,5;59,2;4,1001;3288,6;611,1;10797,6999
10/07/00;19,4018;2721,5;59,2;4,0574;3288,6;611,1;10797,6999
11/07/00;19,4018;2721,5;59,2;4,1429;3288,6;611,1;10797,6999
12/07/00;19,4018;2721,5;59,2;3,9934;3288,6;611,1;10797,6999
13/07/00;19,4018;2721,5;59,2;4,4418;3288,6;611,1;10797,6999
14/07/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
17/07/00;19,4018;2721,5;59,2;4,271;3288,6;611,1;10797,6999
18/07/00;19,4018;2721,5;59,2;4,3564;3288,6;611,1;10797,6999
19/07/00;19,4018;2721,5;59,2;4,3137;3288,6;611,1;10797,6999
20/07/00;19,4018;2721,5;59,2;4,7408;3288,6;611,1;10797,6999
21/07/00;19,4018;2721,5;59,2;4,7408;3288,6;611,1;10797,6999
24/07/00;19,4018;2721,5;59,2;4,7408;3288,6;611,1;10797,6999
25/07/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
26/07/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
27/07/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
28/07/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
31/07/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
01/08/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
02/08/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
03/08/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
04/08/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
07/08/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
08/08/00;19,4018;2721,5;59,2;4,6127;3288,6;611,1;10797,6999
09/08/00;19,4018;2721,5;59,2;4,6554;3288,6;611,1;10797,6999
10/08/00;19,4018;2721,5;59,2;4,5272;3288,6;611,1;10797,6999
11/08/00;19,4018;2721,5;59,2;4,5272;3288,6;611,1;10797,6999
14/08/00;19,4018;2721,5;59,2;4,6981;3288,6;611,1;10797,6999
15/08/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
16/08/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
17/08/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
18/08/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
21/08/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
22/08/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
23/08/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
24/08/00;19,4018;2721,5;59,2;5,0825;3288,6;611,1;10797,6999
25/08/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
28/08/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
29/08/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
30/08/00;19,4018;2721,5;59,2;4,8689;3288,6;611,1;10797,6999
31/08/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
01/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
04/09/00;19,4018;2721,5;59,2;4,7835;3288,6;611,1;10797,6999
05/09/00;19,4018;2721,5;59,2;4,8903;3288,6;611,1;10797,6999
06/09/00;19,4018;2721,5;59,2;4,8903;3288,6;611,1;10797,6999
07/09/00;19,4018;2721,5;59,2;4,8689;3288,6;611,1;10797,6999
08/09/00;19,4018;2721,5;59,2;4,9543;3288,6;611,1;10797,6999
11/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
12/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
13/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
14/09/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
15/09/00;19,4018;2721,5;59,2;4,8903;3288,6;611,1;10797,6999
18/09/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
19/09/00;19,4018;2721,5;59,2;5,1252;3288,6;611,1;10797,6999
20/09/00;19,4018;2721,5;59,2;4,9971;3288,6;611,1;10797,6999
21/09/00;19,4018;2721,5;59,2;5,1038;3288,6;611,1;10797,6999
22/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
25/09/00;19,4018;2721,5;59,2;4,9543;3288,6;611,1;10797,6999
26/09/00;19,4018;2721,5;59,2;4,9116;3288,6;611,1;10797,6999
27/09/00;19,4018;2721,5;59,2;4,8262;3288,6;611,1;10797,6999
28/09/00;19,4018;2721,5;59,2;4,9543;3288,6;611,1;10797,6999
29/09/00;19,4018;2711;81,5;4,7309;2923,2;617,9;11360
02/10/00;19,4018;2711;81,5;4,7309;2923,2;617,9;11360
03/10/00;19,4018;2711;81,5;4,7309;2923,2;617,9;11360
04/10/00;19,4018;2711;81,5;4,8576;2923,2;617,9;11360
05/10/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
06/10/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
09/10/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
10/10/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
11/10/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
12/10/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
13/10/00;19,4018;2711;81,5;4,5619;2923,2;617,9;11360
16/10/00;19,4018;2711;81,5;4,3929;2923,2;617,9;11360
17/10/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
18/10/00;19,4018;2711;81,5;4,3085;2923,2;617,9;11360
19/10/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
20/10/00;19,4018;2711;81,5;4,3929;2923,2;617,9;11360
23/10/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
24/10/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
25/10/00;19,4018;2711;81,5;4,4774;2923,2;617,9;11360
26/10/00;19,4018;2711;81,5;4,3085;2923,2;617,9;11360
27/10/00;19,4018;2711;81,5;4,6041;2923,2;617,9;11360
30/10/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
31/10/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
01/11/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
02/11/00;19,4018;2711;81,5;4,3085;2923,2;617,9;11360
03/11/00;19,4018;2711;81,5;4,3085;2923,2;617,9;11360
06/11/00;19,4018;2711;81,5;4,6041;2923,2;617,9;11360
07/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
08/11/00;19,4018;2711;81,5;4,4774;2923,2;617,9;11360
09/11/00;19,4018;2711;81,5;4,469;2923,2;617,9;11360
10/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
13/11/00;19,4018;2711;81,5;4,4774;2923,2;617,9;11360
14/11/00;19,4018;2711;81,5;4,6041;2923,2;617,9;11360
15/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
16/11/00;19,4018;2711;81,5;4,3929;2923,2;617,9;11360
17/11/00;19,4018;2711;81,5;4,3085;2923,2;617,9;11360
20/11/00;19,4018;2711;81,5;4,224;2923,2;617,9;11360
21/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
22/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
23/11/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
24/11/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
27/11/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
28/11/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
29/11/00;19,4018;2711;81,5;4,8576;2923,2;617,9;11360
30/11/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
01/12/00;19,4018;2711;81,5;4,6464;2923,2;617,9;11360
04/12/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
05/12/00;19,4018;2711;81,5;4,5197;2923,2;617,9;11360
06/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
07/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
08/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
11/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
12/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
13/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
14/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
15/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
18/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
19/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
20/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
21/12/00;19,4018;2711;81,5;4,224;2923,2;617,9;11360
22/12/00;19,4018;2711;81,5;4,224;2923,2;617,9;11360
27/12/00;19,4018;2711;81,5;4,3507;2923,2;617,9;11360
28/12/00;19,4018;2711;81,5;4,4352;2923,2;617,9;11360
29/12/00;17,5256;2785,7;63,6;4,1942;2740,5;653,4;9634,2999
02/01/01;17,5256;2785,7;63,6;4,1942;2740,5;653,4;9634,2999
03/01/01;17,5256;2785,7;63,6;4,1942;2740,5;653,4;9634,2999
04/01/01;17,5256;2785,7;63,6;4,1942;2740,5;653,4;9634,2999
05/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
08/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
09/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
10/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
11/01/01;17,5256;2785,7;63,6;3,9146;2740,5;653,4;9634,2999
12/01/01;17,5256;2785,7;63,6;3,9146;2740,5;653,4;9634,2999
15/01/01;17,5256;2785,7;63,6;4,0744;2740,5;653,4;9634,2999
16/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
17/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
18/01/01;17,5256;2785,7;63,6;4,3939;2740,5;653,4;9634,2999
19/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
22/01/01;17,5256;2785,7;63,6;4,1942;2740,5;653,4;9634,2999
23/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
24/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
25/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
26/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
29/01/01;17,5256;2785,7;63,6;3,9945;2740,5;653,4;9634,2999
30/01/01;17,5256;2785,7;63,6;3,9146;2740,5;653,4;9634,2999
31/01/01;17,5256;2785,7;63,6;3,9146;2740,5;653,4;9634,2999
01/02/01;17,5256;2785,7;63,6;3,7948;2740,5;653,4;9634,2999
02/02/01;17,5256;2785,7;63,6;3,7149;2740,5;653,4;9634,2999
05/02/01;17,5256;2785,7;63,6;3,7948;2740,5;653,4;9634,2999
06/02/01;17,5256;2785,7;63,6;3,7948;2740,5;653,4;9634,2999
