Year,Quarter,MVA,DELTA_MVA
2000,2,63804.75948000007,-2.280694316060892e-16
2000,3,63695.69151507701,-0.0017094017094015368
2000,4,56572.10722476194,-0.11183777302470907
2001,1,47868.6774726563,-0.15384666011337994
2001,2,37774.22984999997,-0.21087793011249406
2001,3,37680.14019323073,-0.0024908424908427324
2001,4,31709.77855290841,-0.1584484985911729
2002,1,34844.80007467733,0.09886608058577498
2002,2,32982.857099999936,-0.05343531805856225
2002,3,32982.85709999993,-2.205981607998247e-16
2002,4,32952.97049516123,-0.0009061254077561113
2003,1,31194.806999999935,-0.053353718003038925
2003,2,35219.809799999915,0.12902797571403435
2003,3,35219.809799999915,0.0
2003,4,35192.75925483863,-0.0007680491551457627
2004,1,33508.71989999996,-0.047851870398798964
2004,2,31369.485599999975,-0.06384112274011362
2004,3,31366.5150047727,-9.469696969702042e-05
2004,4,31219.68997705073,-0.004680948065146212
2005,1,34126.607768080605,0.09311168026225501
2005,2,34929.56436838397,0.02352875520942906
2005,3,40079.155602779145,0.1474278688415666
2005,4,44476.718636046404,0.10972194815806763
2006,1,42683.53476795288,-0.04031735980271327
2006,2,46305.10171217829,0.08484693134984957
2006,3,51145.11100394245,0.10452432049169286
2006,4,58820.457510439315,0.1500699940978761
2007,1,57921.94501488279,-0.01527551014707868
2007,2,61431.73746368373,0.060595210466414966
2007,3,61934.28310075732,0.008180553860627484
2007,4,70259.99684594794,0.1344281927288316
2008,1,67976.6747286962,-0.03249818132298168
2008,2,61109.60051724614,-0.10102103756703985
2008,3,66320.17668235129,0.08526608128676345
2008,4,66006.32529724365,-0.004732366540741778
2009,1,58144.94420294782,-0.11910042043537462
2009,2,51580.074314126,-0.11290525734976964
2009,3,52007.4787605372,0.008286231691103683
2009,4,49358.76377591712,-0.05092950182830048
2010,1,50863.32489795916,0.0304821475852306
2010,2,43558.776267396745,-0.14361130825042667
2010,3,56249.40933541877,0.2913450320577721
2010,4,49969.91607542725,-0.11163660799612143
2011,1,38977.52173516098,-0.2199802441867976
2011,2,39512.00456078414,0.013712591304670035
2011,3,38605.68896083235,-0.022937727660907237
2011,4,44824.59486463327,0.16108781040303033
2012,1,45931.04827095885,0.024684069307641922
2012,2,39883.44642448862,-0.13166696764232114
2012,3,41930.27247186572,0.051320189975366325
2012,4,40903.157108405925,-0.02449579511196751
2013,1,39488.32833998518,-0.034589720413781645
2013,2,36348.149594568626,-0.07952169355917921
2013,3,38121.96752242425,0.04880077659085794
2013,4,39632.951319241525,0.03963551450822877
2014,1,35416.27883455654,-0.10639309827622696
2014,2,30734.030081125922,-0.13220611841529872
2014,3,33661.36002526407,0.09524718809772523
2014,4,33771.609401744645,0.003275250209671582
2015,1,33597.98493603053,-0.005141136853997391
2015,2,31149.49963479841,-0.07287595687342435
2015,3,31480.909452853586,0.010639330388631525
2015,4,32445.20858187217,0.030631234795257055
2016,1,29588.37691797003,-0.08805095694463545
2016,2,29588.37691797003,0.0
