Date;PX_LAST
01/02/95;29,328
02/02/95;29,475
03/02/95;29,475
06/02/95;29,817
07/02/95;29,963
08/02/95;30,012
09/02/95;30,159
10/02/95;30,208
13/02/95;30,208
14/02/95;30,208
15/02/95;30,061
16/02/95;30,061
17/02/95;30,061
20/02/95;29,67
21/02/95;29,67
22/02/95;30,159
23/02/95;30,159
24/02/95;30,159
27/02/95;30,159
28/02/95;30,159
01/03/95;30,305
02/03/95;30,305
03/03/95;30,208
06/03/95;30,208
07/03/95;30,208
08/03/95;29,817
09/03/95;29,817
10/03/95;29,817
13/03/95;29,817
14/03/95;29,817
15/03/95;29,817
16/03/95;29,817
17/03/95;30,061
20/03/95;30,061
21/03/95;29,817
22/03/95;29,817
23/03/95;29,817
24/03/95;29,328
27/03/95;29,328
28/03/95;29,328
29/03/95;29,328
30/03/95;29,328
31/03/95;29,572
03/04/95;29,572
04/04/95;29,719
05/04/95;29,719
06/04/95;29,719
07/04/95;30,208
10/04/95;30,667
11/04/95;31,004
12/04/95;30,794
13/04/95;30,794
18/04/95;30,794
19/04/95;30,794
20/04/95;30,55
21/04/95;30,55
24/04/95;30,55
25/04/95;30,55
26/04/95;30,55
27/04/95;30,55
28/04/95;30,55
02/05/95;31,039
03/05/95;31,283
04/05/95;30,794
05/05/95;30,794
08/05/95;30,794
09/05/95;30,794
10/05/95;31,039
11/05/95;30,794
12/05/95;30,794
15/05/95;31,039
16/05/95;31,039
17/05/95;31,039
18/05/95;30,794
19/05/95;31,039
22/05/95;31,039
23/05/95;31,039
24/05/95;31,039
26/05/95;31,039
29/05/95;31,039
30/05/95;31,234
31/05/95;30,794
01/06/95;31,039
02/06/95;30,941
06/06/95;30,794
07/06/95;30,794
08/06/95;30,794
09/06/95;31,088
12/06/95;31,088
13/06/95;31,039
14/06/95;30,305
15/06/95;31,039
16/06/95;30,794
19/06/95;30,794
20/06/95;31,283
21/06/95;31,185
22/06/95;31,185
23/06/95;31,039
26/06/95;30,794
27/06/95;30,843
28/06/95;30,843
29/06/95;30,843
30/06/95;30,843
03/07/95;30,843
04/07/95;30,843
05/07/95;30,843
06/07/95;30,843
07/07/95;30,843
10/07/95;31,136
11/07/95;31,136
12/07/95;31,136
13/07/95;31,136
14/07/95;30,794
17/07/95;30,794
18/07/95;30,794
19/07/95;30,794
20/07/95;30,794
21/07/95;30,794
24/07/95;30,794
25/07/95;30,794
26/07/95;30,794
27/07/95;30,794
28/07/95;30,794
31/07/95;30,794
01/08/95;30,794
02/08/95;30,794
03/08/95;30,794
04/08/95;30,794
07/08/95;30,794
08/08/95;30,794
09/08/95;30,55
10/08/95;30,55
11/08/95;30,305
14/08/95;29,572
15/08/95;29,572
16/08/95;30,061
17/08/95;30,061
18/08/95;29,817
21/08/95;30,159
22/08/95;29,817
23/08/95;29,328
24/08/95;29,817
25/08/95;29,817
28/08/95;29,67
29/08/95;29,523
30/08/95;29,328
31/08/95;29,083
01/09/95;29,083
04/09/95;29,328
05/09/95;29,083
06/09/95;29,377
07/09/95;29,572
08/09/95;29,817
11/09/95;29,963
12/09/95;30,208
13/09/95;30,305
14/09/95;30,305
15/09/95;30,305
18/09/95;30,305
19/09/95;30,305
20/09/95;30,305
21/09/95;30,305
22/09/95;30,305
25/09/95;30,305
26/09/95;30,061
27/09/95;30,061
28/09/95;29,817
29/09/95;29,817
02/10/95;29,817
04/10/95;29,817
05/10/95;29,817
06/10/95;29,817
09/10/95;29,572
10/10/95;29,572
11/10/95;29,572
12/10/95;29,817
13/10/95;29,817
16/10/95;29,817
17/10/95;29,817
18/10/95;29,817
19/10/95;29,817
20/10/95;29,817
23/10/95;29,572
24/10/95;29,328
25/10/95;29,572
26/10/95;29,817
27/10/95;29,572
30/10/95;29,572
31/10/95;29,572
01/11/95;29,817
02/11/95;29,181
03/11/95;29,181
06/11/95;29,181
07/11/95;29,426
08/11/95;29,426
