Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/04;16,557;11054,4004;261,7;1,2188;4591,3883;3767,2179;57140,2009
01/07/04;16,557;11054,4004;261,7;1,242;4591,3883;3767,2179;57140,2009
02/07/04;16,557;11054,4004;261,7;1,2249;4591,3883;3767,2179;57140,2009
05/07/04;16,557;11054,4004;261,7;1,2268;4591,3883;3767,2179;57140,2009
06/07/04;16,557;11054,4004;261,7;1,2048;4591,3883;3767,2179;57140,2009
07/07/04;16,557;11054,4004;261,7;1,2135;4591,3883;3767,2179;57140,2009
08/07/04;16,557;11054,4004;261,7;1,2236;4591,3883;3767,2179;57140,2009
09/07/04;16,557;11054,4004;261,7;1,2207;4591,3883;3767,2179;57140,2009
12/07/04;16,557;11054,4004;261,7;1,2211;4591,3883;3767,2179;57140,2009
13/07/04;16,557;11054,4004;261,7;1,2215;4591,3883;3767,2179;57140,2009
14/07/04;16,557;11054,4004;261,7;1,2087;4591,3883;3767,2179;57140,2009
15/07/04;16,557;11054,4004;261,7;1,2105;4591,3883;3767,2179;57140,2009
16/07/04;16,557;11054,4004;261,7;1,2219;4591,3883;3767,2179;57140,2009
19/07/04;16,557;11054,4004;261,7;1,2207;4591,3883;3767,2179;57140,2009
20/07/04;16,557;11054,4004;261,7;1,2127;4591,3883;3767,2179;57140,2009
21/07/04;16,557;11054,4004;261,7;1,2197;4591,3883;3767,2179;57140,2009
22/07/04;16,557;11054,4004;261,7;1,2089;4591,3883;3767,2179;57140,2009
23/07/04;16,557;11054,4004;261,7;1,2027;4591,3883;3767,2179;57140,2009
26/07/04;16,557;11054,4004;261,7;1,1991;4591,3883;3767,2179;57140,2009
27/07/04;16,557;11054,4004;261,7;1,2098;4591,3883;3767,2179;57140,2009
28/07/04;16,557;11054,4004;261,7;1,2071;4591,3883;3767,2179;57140,2009
29/07/04;16,557;11054,4004;261,7;1,2125;4591,3883;3767,2179;57140,2009
30/07/04;16,557;11054,4004;261,7;1,2125;4591,3883;3767,2179;57140,2009
02/08/04;16,557;11054,4004;261,7;1,2091;4591,3883;3767,2179;57140,2009
03/08/04;16,557;11054,4004;261,7;1,2116;4591,3883;3767,2179;57140,2009
04/08/04;16,557;11054,4004;261,7;1,1937;4591,3883;3767,2179;57140,2009
05/08/04;16,557;11054,4004;261,7;1,1984;4591,3883;3767,2179;57140,2009
06/08/04;16,557;11054,4004;261,7;1,1826;4591,3883;3767,2179;57140,2009
09/08/04;16,557;11054,4004;261,7;1,1803;4591,3883;3767,2179;57140,2009
10/08/04;16,557;11054,4004;261,7;1,1812;4591,3883;3767,2179;57140,2009
11/08/04;16,557;11054,4004;261,7;1,1696;4591,3883;3767,2179;57140,2009
12/08/04;16,557;11054,4004;261,7;1,161;4591,3883;3767,2179;57140,2009
13/08/04;16,557;11054,4004;261,7;1,1498;4591,3883;3767,2179;57140,2009
16/08/04;16,557;11054,4004;261,7;1,1657;4591,3883;3767,2179;57140,2009
17/08/04;16,557;11054,4004;261,7;1,1723;4591,3883;3767,2179;57140,2009
18/08/04;16,557;11054,4004;261,7;1,175;4591,3883;3767,2179;57140,2009
19/08/04;16,557;11054,4004;261,7;1,1687;4591,3883;3767,2179;57140,2009
20/08/04;16,557;11054,4004;261,7;1,1759;4591,3883;3767,2179;57140,2009
23/08/04;16,557;11054,4004;261,7;1,183;4591,3883;3767,2179;57140,2009
24/08/04;16,557;11054,4004;261,7;1,1829;4591,3883;3767,2179;57140,2009
25/08/04;16,557;11054,4004;261,7;1,1705;4591,3883;3767,2179;57140,2009
26/08/04;16,557;11054,4004;261,7;1,1776;4591,3883;3767,2179;57140,2009
27/08/04;16,557;11054,4004;261,7;1,1817;4591,3883;3767,2179;57140,2009
30/08/04;16,557;11054,4004;261,7;1,1828;4591,3883;3767,2179;57140,2009
31/08/04;16,557;11054,4004;261,7;1,1875;4591,3883;3767,2179;57140,2009
01/09/04;16,557;11054,4004;261,7;1,1984;4591,3883;3767,2179;57140,2009
02/09/04;16,557;11054,4004;261,7;1,2134;4591,3883;3767,2179;57140,2009
03/09/04;16,557;11054,4004;261,7;1,2258;4591,3883;3767,2179;57140,2009
06/09/04;16,557;11054,4004;261,7;1,2119;4591,3883;3767,2179;57140,2009
07/09/04;16,557;11054,4004;261,7;1,2116;4591,3883;3767,2179;57140,2009
08/09/04;16,557;11054,4004;261,7;1,2164;4591,3883;3767,2179;57140,2009
09/09/04;16,557;11054,4004;261,7;1,2126;4591,3883;3767,2179;57140,2009
10/09/04;16,557;11054,4004;261,7;1,217;4591,3883;3767,2179;57140,2009
13/09/04;16,557;11054,4004;261,7;1,2185;4591,3883;3767,2179;57140,2009
14/09/04;16,557;11054,4004;261,7;1,1957;4591,3883;3767,2179;57140,2009
15/09/04;16,557;11054,4004;261,7;1,2081;4591,3883;3767,2179;57140,2009
16/09/04;16,557;11054,4004;261,7;1,2142;4591,3883;3767,2179;57140,2009
17/09/04;16,557;11054,4004;261,7;1,2078;4591,3883;3767,2179;57140,2009
20/09/04;16,557;11054,4004;261,7;1,2033;4591,3883;3767,2179;57140,2009
21/09/04;16,557;11054,4004;261,7;1,2089;4591,3883;3767,2179;57140,2009
22/09/04;16,557;11054,4004;261,7;1,2107;4591,3883;3767,2179;57140,2009
23/09/04;16,557;11054,4004;261,7;1,2045;4591,3883;3767,2179;57140,2009
24/09/04;16,557;11054,4004;261,7;1,2071;4591,3883;3767,2179;57140,2009
27/09/04;16,557;11054,4004;261,7;1,1813;4591,3883;3767,2179;57140,2009
28/09/04;16,557;11054,4004;261,7;1,1964;4591,3883;3767,2179;57140,2009
29/09/04;16,557;11054,4004;261,7;1,2143;4591,3883;3767,2179;57140,2009
30/09/04;16,1762;26487,342;252,267;1,1155;4497,3747;4031,886;60043,914
01/10/04;16,1762;26487,342;252,267;1,1297;4497,3747;4031,886;60043,914
04/10/04;16,1762;26487,342;252,267;1,1414;4497,3747;4031,886;60043,914
05/10/04;16,1762;26487,342;252,267;1,1479;4497,3747;4031,886;60043,914
06/10/04;16,1762;26487,342;252,267;1,1606;4497,3747;4031,886;60043,914
07/10/04;16,1762;26487,342;252,267;1,1592;4497,3747;4031,886;60043,914
08/10/04;16,1762;26487,342;252,267;1,1485;4497,3747;4031,886;60043,914
11/10/04;16,1762;26487,342;252,267;1,1531;4497,3747;4031,886;60043,914
12/10/04;16,1762;26487,342;252,267;1,1531;4497,3747;4031,886;60043,914
13/10/04;16,1762;26487,342;252,267;1,1664;4497,3747;4031,886;60043,914
14/10/04;16,1762;26487,342;252,267;1,1697;4497,3747;4031,886;60043,914
15/10/04;16,1762;26487,342;252,267;1,1748;4497,3747;4031,886;60043,914
18/10/04;16,1762;26487,342;252,267;1,1679;4497,3747;4031,886;60043,914
19/10/04;16,1762;26487,342;252,267;1,1708;4497,3747;4031,886;60043,914
20/10/04;16,1762;26487,342;252,267;1,1622;4497,3747;4031,886;60043,914
21/10/04;16,1762;26487,342;252,267;1,1689;4497,3747;4031,886;60043,914
22/10/04;16,1762;26487,342;252,267;1,1748;4497,3747;4031,886;60043,914
25/10/04;16,1762;26487,342;252,267;1,1522;4497,3747;4031,886;60043,914
26/10/04;16,1762;26487,342;252,267;1,1622;4497,3747;4031,886;60043,914
27/10/04;16,1762;26487,342;252,267;1,1671;4497,3747;4031,886;60043,914
28/10/04;16,1762;26487,342;252,267;1,1646;4497,3747;4031,886;60043,914
29/10/04;16,1762;26487,342;252,267;1,1647;4497,3747;4031,886;60043,914
01/11/04;16,1762;26487,342;252,267;1,1742;4497,3747;4031,886;60043,914
02/11/04;16,1762;26487,342;252,267;1,1739;4497,3747;4031,886;60043,914
03/11/04;16,1762;26487,342;252,267;1,1857;4497,3747;4031,886;60043,914
04/11/04;16,1762;26487,342;252,267;1,1744;4497,3747;4031,886;60043,914
05/11/04;16,1762;26487,342;252,267;1,1846;4497,3747;4031,886;60043,914
08/11/04;16,1762;26487,342;252,267;1,189;4497,3747;4031,886;60043,914
09/11/04;16,1762;26487,342;252,267;1,1873;4497,3747;4031,886;60043,914
10/11/04;16,1762;26487,342;252,267;1,199;4497,3747;4031,886;60043,914
11/11/04;16,1762;26487,342;252,267;1,1959;4497,3747;4031,886;60043,914
12/11/04;16,1762;26487,342;252,267;1,2022;4497,3747;4031,886;60043,914
15/11/04;16,1762;26487,342;252,267;1,1982;4497,3747;4031,886;60043,914
16/11/04;16,1762;26487,342;252,267;1,1981;4497,3747;4031,886;60043,914
17/11/04;16,1762;26487,342;252,267;1,21;4497,3747;4031,886;60043,914
18/11/04;16,1762;26487,342;252,267;1,2049;4497,3747;4031,886;60043,914
19/11/04;16,1762;26487,342;252,267;1,1973;4497,3747;4031,886;60043,914
22/11/04;16,1762;26487,342;252,267;1,2115;4497,3747;4031,886;60043,914
23/11/04;16,1762;26487,342;252,267;1,2189;4497,3747;4031,886;60043,914
24/11/04;16,1762;26487,342;252,267;1,2249;4497,3747;4031,886;60043,914
25/11/04;16,1762;26487,342;252,267;1,2347;4497,3747;4031,886;60043,914
26/11/04;16,1762;26487,342;252,267;1,2316;4497,3747;4031,886;60043,914
29/11/04;16,1762;26487,342;252,267;1,2434;4497,3747;4031,886;60043,914
30/11/04;16,1762;26487,342;252,267;1,2383;4497,3747;4031,886;60043,914
01/12/04;16,1762;26487,342;252,267;1,2416;4497,3747;4031,886;60043,914
02/12/04;16,1762;26487,342;252,267;1,2449;4497,3747;4031,886;60043,914
03/12/04;16,1762;26487,342;252,267;1,2435;4497,3747;4031,886;60043,914
06/12/04;16,1762;26487,342;252,267;1,2441;4497,3747;4031,886;60043,914
07/12/04;16,1762;26487,342;252,267;1,25;4497,3747;4031,886;60043,914
08/12/04;16,1762;26487,342;252,267;1,2533;4497,3747;4031,886;60043,914
09/12/04;16,1762;26487,342;252,267;1,2478;4497,3747;4031,886;60043,914
10/12/04;16,1762;26487,342;252,267;1,25;4497,3747;4031,886;60043,914
13/12/04;16,1762;26487,342;252,267;1,2311;4497,3747;4031,886;60043,914
14/12/04;16,1762;26487,342;252,267;1,2232;4497,3747;4031,886;60043,914
15/12/04;16,1762;26487,342;252,267;1,2442;4497,3747;4031,886;60043,914
16/12/04;16,1762;26487,342;252,267;1,245;4497,3747;4031,886;60043,914
17/12/04;16,1762;26487,342;252,267;1,2418;4497,3747;4031,886;60043,914
20/12/04;16,1762;26487,342;252,267;1,2349;4497,3747;4031,886;60043,914
21/12/04;16,1762;26487,342;252,267;1,2405;4497,3747;4031,886;60043,914
22/12/04;16,1762;26487,342;252,267;1,2458;4497,3747;4031,886;60043,914
23/12/04;16,1762;26487,342;252,267;1,2433;4497,3747;4031,886;60043,914
27/12/04;16,1762;26487,342;252,267;1,2353;4497,3747;4031,886;60043,914
28/12/04;16,1762;26487,342;252,267;1,2366;4497,3747;4031,886;60043,914
29/12/04;16,1762;26487,342;252,267;1,2445;4497,3747;4031,886;60043,914
30/12/04;16,1553;27611,8301;339,042;1,2438;5120,6696;4116,855;62194,76
03/01/05;16,1553;27611,8301;339,042;1,255;5120,6696;4116,855;62194,76
04/01/05;16,1553;27611,8301;339,042;1,2704;5120,6696;4116,855;62194,76
05/01/05;16,1553;27611,8301;339,042;1,2766;5120,6696;4116,855;62194,76
06/01/05;16,1553;27611,8301;339,042;1,2806;5120,6696;4116,855;62194,76
07/01/05;16,1553;27611,8301;339,042;1,2789;5120,6696;4116,855;62194,76
10/01/05;16,1553;27611,8301;339,042;1,2677;5120,6696;4116,855;62194,76
11/01/05;16,1553;27611,8301;339,042;1,2395;5120,6696;4116,855;62194,76
12/01/05;16,1553;27611,8301;339,042;1,2352;5120,6696;4116,855;62194,76
13/01/05;16,1553;27611,8301;339,042;1,2388;5120,6696;4116,855;62194,76
14/01/05;16,1553;27611,8301;339,042;1,2539;5120,6696;4116,855;62194,76
17/01/05;16,1553;27611,8301;339,042;1,2833;5120,6696;4116,855;62194,76
18/01/05;16,1553;27611,8301;339,042;1,2742;5120,6696;4116,855;62194,76
19/01/05;16,1553;27611,8301;339,042;1,2741;5120,6696;4116,855;62194,76
20/01/05;16,1553;27611,8301;339,042;1,2773;5120,6696;4116,855;62194,76
21/01/05;16,1553;27611,8301;339,042;1,2823;5120,6696;4116,855;62194,76
24/01/05;16,1553;27611,8301;339,042;1,2735;5120,6696;4116,855;62194,76
25/01/05;16,1553;27611,8301;339,042;1,2995;5120,6696;4116,855;62194,76
26/01/05;16,1553;27611,8301;339,042;1,2993;5120,6696;4116,855;62194,76
27/01/05;16,1553;27611,8301;339,042;1,2787;5120,6696;4116,855;62194,76
28/01/05;16,1553;27611,8301;339,042;1,2907;5120,6696;4116,855;62194,76
31/01/05;16,1553;27611,8301;339,042;1,3031;5120,6696;4116,855;62194,76
01/02/05;16,1553;27611,8301;339,042;1,3041;5120,6696;4116,855;62194,76
02/02/05;16,1553;27611,8301;339,042;1,3104;5120,6696;4116,855;62194,76
03/02/05;16,1553;27611,8301;339,042;1,314;5120,6696;4116,855;62194,76
04/02/05;16,1553;27611,8301;339,042;1,3171;5120,6696;4116,855;62194,76
07/02/05;16,1553;27611,8301;339,042;1,3091;5120,6696;4116,855;62194,76
08/02/05;16,1553;27611,8301;339,042;1,3251;5120,6696;4116,855;62194,76
09/02/05;16,1553;27611,8301;339,042;1,3243;5120,6696;4116,855;62194,76
10/02/05;16,1553;27611,8301;339,042;1,3083;5120,6696;4116,855;62194,76
11/02/05;16,1553;27611,8301;339,042;1,3162;5120,6696;4116,855;62194,76
14/02/05;16,1553;27611,8301;339,042;1,3259;5120,6696;4116,855;62194,76
15/02/05;16,1553;27611,8301;339,042;1,3284;5120,6696;4116,855;62194,76
16/02/05;16,1553;27611,8301;339,042;1,3057;5120,6696;4116,855;62194,76
17/02/05;16,1553;27611,8301;339,042;1,3121;5120,6696;4116,855;62194,76
18/02/05;16,1553;27611,8301;339,042;1,3138;5120,6696;4116,855;62194,76
21/02/05;16,1553;27611,8301;339,042;1,3155;5120,6696;4116,855;62194,76
22/02/05;16,1553;27611,8301;339,042;1,3143;5120,6696;4116,855;62194,76
23/02/05;16,1553;27611,8301;339,042;1,2954;5120,6696;4116,855;62194,76
24/02/05;16,1553;27611,8301;339,042;1,2834;5120,6696;4116,855;62194,76
25/02/05;16,1553;27611,8301;339,042;1,3051;5120,6696;4116,855;62194,76
28/02/05;16,1553;27611,8301;339,042;1,2927;5120,6696;4116,855;62194,76
01/03/05;16,1553;27611,8301;339,042;1,2935;5120,6696;4116,855;62194,76
02/03/05;16,1553;27611,8301;339,042;1,2881;5120,6696;4116,855;62194,76
03/03/05;16,1553;27611,8301;339,042;1,2827;5120,6696;4116,855;62194,76
04/03/05;16,1553;27611,8301;339,042;1,3051;5120,6696;4116,855;62194,76
07/03/05;16,1553;27611,8301;339,042;1,3184;5120,6696;4116,855;62194,76
08/03/05;16,1553;27611,8301;339,042;1,3101;5120,6696;4116,855;62194,76
09/03/05;16,1553;27611,8301;339,042;1,3143;5120,6696;4116,855;62194,76
10/03/05;16,1553;27611,8301;339,042;1,3135;5120,6696;4116,855;62194,76
11/03/05;16,1553;27611,8301;339,042;1,3068;5120,6696;4116,855;62194,76
14/03/05;16,1553;27611,8301;339,042;1,2993;5120,6696;4116,855;62194,76
15/03/05;16,1553;27611,8301;339,042;1,301;5120,6696;4116,855;62194,76
16/03/05;16,1553;27611,8301;339,042;1,2893;5120,6696;4116,855;62194,76
17/03/05;16,1553;27611,8301;339,042;1,284;5120,6696;4116,855;62194,76
18/03/05;16,1553;27611,8301;339,042;1,287;5120,6696;4116,855;62194,76
21/03/05;16,1553;27611,8301;339,042;1,3107;5120,6696;4116,855;62194,76
22/03/05;16,1553;27611,8301;339,042;1,3194;5120,6696;4116,855;62194,76
23/03/05;16,1553;27611,8301;339,042;1,3223;5120,6696;4116,855;62194,76
24/03/05;16,1553;27611,8301;339,042;1,3217;5120,6696;4116,855;62194,76
29/03/05;16,1553;27611,8301;339,042;1,3419;5120,6696;4116,855;62194,76
30/03/05;16,1553;27611,8301;339,042;1,3486;5120,6696;4116,855;62194,76
31/03/05;16,1668;26602,578;283,275;1,3267;5549,5406;4183,036;62605,195
01/04/05;16,1668;26602,578;283,275;1,3271;5549,5406;4183,036;62605,195
04/04/05;16,1668;26602,578;283,275;1,3299;5549,5406;4183,036;62605,195
05/04/05;16,1668;26602,578;283,275;1,35;5549,5406;4183,036;62605,195
06/04/05;16,1668;26602,578;283,275;1,3609;5549,5406;4183,036;62605,195
07/04/05;16,1668;26602,578;283,275;1,3685;5549,5406;4183,036;62605,195
08/04/05;16,1668;26602,578;283,275;1,3548;5549,5406;4183,036;62605,195
11/04/05;16,1668;26602,578;283,275;1,35;5549,5406;4183,036;62605,195
12/04/05;16,1668;26602,578;283,275;1,3444;5549,5406;4183,036;62605,195
13/04/05;16,1668;26602,578;283,275;1,3602;5549,5406;4183,036;62605,195
14/04/05;16,1668;26602,578;283,275;1,3531;5549,5406;4183,036;62605,195
15/04/05;16,1668;26602,578;283,275;1,3227;5549,5406;4183,036;62605,195
18/04/05;16,1668;26602,578;283,275;1,3103;5549,5406;4183,036;62605,195
19/04/05;16,1668;26602,578;283,275;1,3164;5549,5406;4183,036;62605,195
20/04/05;16,1668;26602,578;283,275;1,3096;5549,5406;4183,036;62605,195
21/04/05;16,1668;26602,578;283,275;1,3136;5549,5406;4183,036;62605,195
22/04/05;16,1668;26602,578;283,275;1,3389;5549,5406;4183,036;62605,195
25/04/05;16,1668;26602,578;283,275;1,3295;5549,5406;4183,036;62605,195
26/04/05;16,1668;26602,578;283,275;1,3452;5549,5406;4183,036;62605,195
27/04/05;16,1668;26602,578;283,275;1,3318;5549,5406;4183,036;62605,195
28/04/05;16,1668;26602,578;283,275;1,347;5549,5406;4183,036;62605,195
29/04/05;16,1668;26602,578;283,275;1,3445;5549,5406;4183,036;62605,195
02/05/05;16,1668;26602,578;283,275;1,3483;5549,5406;4183,036;62605,195
03/05/05;16,1668;26602,578;283,275;1,3453;5549,5406;4183,036;62605,195
04/05/05;16,1668;26602,578;283,275;1,3563;5549,5406;4183,036;62605,195
05/05/05;16,1668;26602,578;283,275;1,3567;5549,5406;4183,036;62605,195
06/05/05;16,1668;26602,578;283,275;1,3599;5549,5406;4183,036;62605,195
09/05/05;16,1668;26602,578;283,275;1,3615;5549,5406;4183,036;62605,195
10/05/05;16,1668;26602,578;283,275;1,3469;5549,5406;4183,036;62605,195
11/05/05;16,1668;26602,578;283,275;1,3797;5549,5406;4183,036;62605,195
12/05/05;16,1668;26602,578;283,275;1,3888;5549,5406;4183,036;62605,195
13/05/05;16,1668;26602,578;283,275;1,3822;5549,5406;4183,036;62605,195
16/05/05;16,1668;26602,578;283,275;1,3794;5549,5406;4183,036;62605,195
17/05/05;16,1668;26602,578;283,275;1,3798;5549,5406;4183,036;62605,195
18/05/05;16,1668;26602,578;283,275;1,4021;5549,5406;4183,036;62605,195
19/05/05;16,1668;26602,578;283,275;1,4057;5549,5406;4183,036;62605,195
20/05/05;16,1668;26602,578;283,275;1,3975;5549,5406;4183,036;62605,195
23/05/05;16,1668;26602,578;283,275;1,3762;5549,5406;4183,036;62605,195
24/05/05;16,1668;26602,578;283,275;1,3631;5549,5406;4183,036;62605,195
25/05/05;16,1668;26602,578;283,275;1,3637;5549,5406;4183,036;62605,195
26/05/05;16,1668;26602,578;283,275;1,369;5549,5406;4183,036;62605,195
27/05/05;16,1668;26602,578;283,275;1,3544;5549,5406;4183,036;62605,195
30/05/05;16,1668;26602,578;283,275;1,3629;5549,5406;4183,036;62605,195
31/05/05;16,1668;26602,578;283,275;1,3492;5549,5406;4183,036;62605,195
01/06/05;16,1668;26602,578;283,275;1,3385;5549,5406;4183,036;62605,195
02/06/05;16,1668;26602,578;283,275;1,3544;5549,5406;4183,036;62605,195
03/06/05;16,1668;26602,578;283,275;1,3616;5549,5406;4183,036;62605,195
06/06/05;16,1668;26602,578;283,275;1,3458;5549,5406;4183,036;62605,195
07/06/05;16,1668;26602,578;283,275;1,3458;5549,5406;4183,036;62605,195
08/06/05;16,1668;26602,578;283,275;1,3399;5549,5406;4183,036;62605,195
09/06/05;16,1668;26602,578;283,275;1,3543;5549,5406;4183,036;62605,195
10/06/05;16,1668;26602,578;283,275;1,364;5549,5406;4183,036;62605,195
13/06/05;16,1668;26602,578;283,275;1,3705;5549,5406;4183,036;62605,195
14/06/05;16,1668;26602,578;283,275;1,367;5549,5406;4183,036;62605,195
15/06/05;16,1668;26602,578;283,275;1,3504;5549,5406;4183,036;62605,195
16/06/05;16,1668;26602,578;283,275;1,3451;5549,5406;4183,036;62605,195
17/06/05;16,1668;26602,578;283,275;1,3563;5549,5406;4183,036;62605,195
20/06/05;16,1668;26602,578;283,275;1,3748;5549,5406;4183,036;62605,195
21/06/05;16,1668;26602,578;283,275;1,3667;5549,5406;4183,036;62605,195
22/06/05;16,1668;26602,578;283,275;1,3615;5549,5406;4183,036;62605,195
23/06/05;16,1668;26602,578;283,275;1,3525;5549,5406;4183,036;62605,195
24/06/05;16,1668;26602,578;283,275;1,3369;5549,5406;4183,036;62605,195
27/06/05;16,1668;26602,578;283,275;1,335;5549,5406;4183,036;62605,195
28/06/05;16,1668;26602,578;283,275;1,3288;5549,5406;4183,036;62605,195
