Date;PX_LAST
01/07/03;12,1677
02/07/03;11,7164
03/07/03;11,8119
04/07/03;12,0198
07/07/03;12,046
08/07/03;12,0928
09/07/03;11,9936
10/07/03;11,9758
11/07/03;12,0919
14/07/03;12,1134
15/07/03;11,9645
16/07/03;11,9233
17/07/03;12,0189
18/07/03;12,1022
21/07/03;11,7829
22/07/03;11,8381
23/07/03;11,7951
24/07/03;11,9683
25/07/03;12,076
28/07/03;12,3082
29/07/03;12,1808
30/07/03;12,252
31/07/03;12,4393
01/08/03;12,3868
04/08/03;12,2895
05/08/03;12,2988
06/08/03;12,0301
07/08/03;12,0816
08/08/03;12,2305
11/08/03;12,1265
12/08/03;12,2651
13/08/03;12,4739
14/08/03;12,8241
18/08/03;12,7155
19/08/03;12,7801
20/08/03;12,649
21/08/03;12,678
22/08/03;12,664
25/08/03;12,694
26/08/03;12,8915
27/08/03;12,8887
28/08/03;12,9411
29/08/03;13,0058
01/09/03;12,8934
02/09/03;12,8625
03/09/03;12,6387
04/09/03;12,6996
05/09/03;12,6565
08/09/03;12,7904
09/09/03;12,6677
10/09/03;12,6499
11/09/03;12,6106
12/09/03;12,4767
15/09/03;12,6453
16/09/03;12,6303
17/09/03;12,5741
18/09/03;12,723
19/09/03;12,6715
22/09/03;12,488
23/09/03;12,5301
24/09/03;12,5572
25/09/03;12,4365
26/09/03;12,0273
29/09/03;11,9009
30/09/03;11,7042
01/10/03;12,3765
02/10/03;12,5001
03/10/03;12,6003
06/10/03;12,6808
07/10/03;12,5778
08/10/03;12,2801
09/10/03;12,369
10/10/03;12,2127
13/10/03;12,1865
14/10/03;12,2033
15/10/03;12,3999
16/10/03;12,4833
17/10/03;12,4234
20/10/03;12,2895
21/10/03;12,3962
22/10/03;12,2979
23/10/03;12,238
24/10/03;12,3129
27/10/03;12,2838
28/10/03;12,2932
29/10/03;12,2108
30/10/03;12,2707
31/10/03;12,2848
03/11/03;12,4056
04/11/03;12,4861
05/11/03;12,4945
06/11/03;12,5348
07/11/03;12,6827
10/11/03;12,7249
11/11/03;12,6312
12/11/03;12,59
13/11/03;12,8672
14/11/03;12,884
17/11/03;12,7614
18/11/03;12,7595
19/11/03;12,7857
20/11/03;12,6481
21/11/03;12,7913
24/11/03;12,8213
25/11/03;12,9112
26/11/03;12,7717
27/11/03;13,134
28/11/03;13,2745
01/12/03;13,1631
02/12/03;13,1397
03/12/03;13,2923
04/12/03;13,5245
05/12/03;13,5704
08/12/03;13,5966
09/12/03;13,4992
10/12/03;13,3691
11/12/03;13,5488
12/12/03;13,6069
15/12/03;13,9046
16/12/03;13,9646
17/12/03;14,2417
18/12/03;14,208
19/12/03;13,9842
22/12/03;13,5694
23/12/03;13,4206
29/12/03;13,5292
30/12/03;13,4458
02/01/04;13,6059
05/01/04;13,7258
06/01/04;13,9842
07/01/04;13,5938
08/01/04;13,5535
09/01/04;13,5432
12/01/04;13,3953
13/01/04;13,4608
14/01/04;13,443
15/01/04;13,5891
16/01/04;13,6069
19/01/04;13,7745
20/01/04;13,7642
21/01/04;13,6069
22/01/04;13,4421
23/01/04;13,5835
26/01/04;13,6275
27/01/04;13,9224
28/01/04;13,84
29/01/04;13,8578
30/01/04;13,7071
02/02/04;13,5217
03/02/04;13,4889
04/02/04;13,6734
05/02/04;13,4898
06/02/04;13,4149
09/02/04;13,4758
10/02/04;13,488
11/02/04;13,4814
12/02/04;13,3662
13/02/04;13,1631
16/02/04;13,281
17/02/04;13,3672
18/02/04;13,267
19/02/04;13,3382
20/02/04;13,2295
23/02/04;13,1743
24/02/04;13,1902
25/02/04;13,1471
26/02/04;13,1509
27/02/04;13,3803
01/03/04;13,3962
02/03/04;13,2061
03/03/04;13,2305
04/03/04;13,1743
05/03/04;13,2426
08/03/04;13,3007
09/03/04;13,2061
10/03/04;13,3812
11/03/04;13,2024
12/03/04;13,2061
15/03/04;12,929
16/03/04;12,9646
17/03/04;13,0104
18/03/04;12,8007
19/03/04;12,6808
22/03/04;12,5732
23/03/04;12,6481
24/03/04;12,4374
25/03/04;12,4112
26/03/04;12,458
29/03/04;12,6574
30/03/04;12,4973
31/03/04;12,4065
01/04/04;12,5029
02/04/04;12,649
05/04/04;12,8691
06/04/04;12,9468
07/04/04;13,0619
08/04/04;12,9215
13/04/04;13,0254
14/04/04;12,9262
15/04/04;12,987
16/04/04;12,987
19/04/04;13,0338
20/04/04;13,3728
21/04/04;13,3194
22/04/04;13,2792
23/04/04;13,4177
26/04/04;13,3185
27/04/04;13,3456
28/04/04;13,399
29/04/04;13,3147
30/04/04;13,2867
03/05/04;13,3466
04/05/04;13,2305
05/05/04;13,1865
06/05/04;12,9674
07/05/04;12,9833
10/05/04;12,884
11/05/04;12,8447
12/05/04;12,7267
13/05/04;12,9046
14/05/04;12,8466
17/05/04;12,7529
18/05/04;12,7998
19/05/04;12,9636
20/05/04;12,9187
21/05/04;12,781
24/05/04;12,2885
25/05/04;12,2099
26/05/04;12,2754
27/05/04;12,2848
28/05/04;12,3222
31/05/04;12,2408
01/06/04;12,1949
02/06/04;12,238
03/06/04;12,2941
04/06/04;12,341
07/06/04;12,487
08/06/04;12,5095
09/06/04;12,5095
10/06/04;12,6443
11/06/04;12,4814
14/06/04;12,4627
15/06/04;12,5226
16/06/04;12,5366
17/06/04;12,7267
18/06/04;12,6968
21/06/04;12,7005
22/06/04;12,575
23/06/04;12,5095
24/06/04;12,635
25/06/04;12,5956
28/06/04;12,7408
29/06/04;12,8091
30/06/04;12,7623
01/07/04;13,0058
02/07/04;12,826
05/07/04;12,8466
06/07/04;12,6162
07/07/04;12,7071
08/07/04;12,8129
09/07/04;12,782
12/07/04;12,7867
13/07/04;12,7913
14/07/04;12,6565
15/07/04;12,6752
16/07/04;12,7951
19/07/04;12,7829
20/07/04;12,6986
21/07/04;12,7717
22/07/04;12,6593
23/07/04;12,5938
26/07/04;12,5563
27/07/04;12,6687
28/07/04;12,6406
29/07/04;12,6968
30/07/04;12,6968
02/08/04;12,6612
03/08/04;12,6874
04/08/04;12,5001
05/08/04;12,5488
06/08/04;12,3831
09/08/04;12,3597
10/08/04;12,369
11/08/04;12,2473
