Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/04/00;28,536;161866;3135;2,9357;99894,0064;32487;871750
04/04/00;28,536;161866;3135;2,9755;99894,0064;32487;871750
05/04/00;28,536;161866;3135;2,9092;99894,0064;32487;871750
06/04/00;28,536;161866;3135;2,9026;99894,0064;32487;871750
07/04/00;28,536;161866;3135;2,8993;99894,0064;32487;871750
10/04/00;28,536;161866;3135;2,886;99894,0064;32487;871750
11/04/00;28,536;161866;3135;2,9059;99894,0064;32487;871750
12/04/00;28,536;161866;3135;2,9291;99894,0064;32487;871750
13/04/00;28,536;161866;3135;2,9457;99894,0064;32487;871750
14/04/00;28,536;161866;3135;2,9059;99894,0064;32487;871750
17/04/00;28,536;161866;3135;2,8496;99894,0064;32487;871750
18/04/00;28,536;161866;3135;2,8463;99894,0064;32487;871750
19/04/00;28,536;161866;3135;2,8131;99894,0064;32487;871750
20/04/00;28,536;161866;3135;2,8131;99894,0064;32487;871750
25/04/00;28,536;161866;3135;2,8231;99894,0064;32487;871750
26/04/00;28,536;161866;3135;2,78;99894,0064;32487;871750
27/04/00;28,536;161866;3135;2,7767;99894,0064;32487;871750
28/04/00;28,536;161866;3135;2,7966;99894,0064;32487;871750
02/05/00;28,536;161866;3135;2,8363;99894,0064;32487;871750
03/05/00;28,536;161866;3135;2,8496;99894,0064;32487;871750
04/05/00;28,536;161866;3135;2,8827;99894,0064;32487;871750
05/05/00;28,536;161866;3135;2,8827;99894,0064;32487;871750
08/05/00;28,536;161866;3135;2,8761;99894,0064;32487;871750
09/05/00;28,536;161866;3135;2,8893;99894,0064;32487;871750
10/05/00;28,536;161866;3135;2,896;99894,0064;32487;871750
11/05/00;28,536;161866;3135;2,9059;99894,0064;32487;871750
12/05/00;28,536;161866;3135;2,9059;99894,0064;32487;871750
15/05/00;28,536;161866;3135;2,9424;99894,0064;32487;871750
16/05/00;28,536;161866;3135;3,0384;99894,0064;32487;871750
17/05/00;28,536;161866;3135;3,0318;99894,0064;32487;871750
18/05/00;28,536;161866;3135;3,055;99894,0064;32487;871750
19/05/00;28,536;161866;3135;3,0152;99894,0064;32487;871750
22/05/00;28,536;161866;3135;2,9457;99894,0064;32487;871750
