Year,Quarter,MVA,DELTA_MVA
2000,3,2669574.717515999,-0.06250405735538789
2000,4,2669574.717515999,0.0
2001,1,2669574.717515999,0.0
2001,2,2779583.0974802393,0.041208204154181374
2001,3,9270077.515370406,2.3350603994440604
2001,4,9270077.515370406,0.0
2002,1,9167664.149573427,-0.011047735644839143
2002,2,2913780.822416857,-0.682167586543576
2002,3,2504124.2942205565,-0.14059277384374702
2002,4,2106945.9265402127,-0.1586096858678379
2003,1,2343208.5842056726,0.11213513108683507
2003,2,2090141.015675623,-0.10800044444862657
2003,3,2865089.318676071,0.37076364570069514
2003,4,3000341.2579329894,0.04720688404905198
2004,1,3690882.8655584278,0.2301543552086371
2004,2,4463266.517940129,0.2092679937337541
2004,3,4299013.476621051,-0.036801082942025005
2004,4,4492505.879973178,0.045008559383304864
2005,1,4864113.661588595,0.08271726104399359
2005,2,5131212.59036997,0.054912147898727594
2005,3,5255769.49540018,0.02427436065774654
2005,4,5996831.520686206,0.1409997196289905
2006,1,6211787.103750222,0.03584485945995344
2006,2,6583800.828436988,0.059888357162493765
2006,3,6187249.956362567,-0.060231298365166934
2006,4,7041464.610414116,0.13806047275868172
2007,1,6880130.587327372,-0.022911998002253003
2007,2,6877868.51734977,-0.000328783000393704
2007,3,7045003.173109099,0.024300356329540668
2007,4,6038771.616223397,-0.14282911336740145
2008,1,5621036.242669305,-0.06917555425209813
2008,2,4807887.398518155,-0.1446617330054793
2008,3,4278286.620242359,-0.11015249201531323
2008,4,2350986.8644405007,-0.4504840200941655
2009,1,2161896.5623003314,-0.08043018232055071
2009,2,1878009.4008814946,-0.13131394275254835
2009,3,2269540.333326372,0.20848188100714596
2009,4,2796831.1160483602,0.23233373515295055
2010,1,1978054.7422063502,-0.29275145329434776
2010,2,2086586.0860185027,0.0548677149809793
2010,3,1741469.980011274,-0.16539749225768025
2010,4,1967523.1967782262,0.1298059796388156
2011,1,1711015.7343436473,-0.13037074371199484
2011,2,1745053.1463500853,0.019893102864711472
2011,3,1546719.7309567062,-0.11365465619669456
2011,4,1069055.0218746136,-0.3088243458216172
2012,1,1142385.6216910232,0.06859385000392466
2012,2,1244028.1728575062,0.0889739412301303
2012,3,1066626.8717803166,-0.14260231797620998
2012,4,1118042.3976471103,0.04820385387532529
2013,1,1429066.2031989465,0.27818605645579936
2013,2,1452416.5182390725,0.01633956144778779
2013,3,1506890.1458313959,0.037505513678932706
2013,4,1603005.2414059981,0.06378374418366954
2014,1,1378899.9819399393,-0.139803198191352
2014,2,1405744.6294351886,0.019468161466999395
2014,3,1218194.8706439815,-0.13341666392605203
2014,4,1266534.616827694,0.039681456020380694
2015,1,1292615.9036332204,0.020592636363033247
2015,2,1373548.0701308683,0.06261114865612274
2015,3,1413245.1994354674,0.028901157642642075
2015,4,1251423.7230578987,-0.11450346793479972
2016,1,1282162.5994420939,0.02456312423827449
2016,2,996782.1204101549,-0.22257744778713423
2016,3,846783.9867943977,-0.15048236775558949
2016,4,889525.680639049,0.05047532134665789
