Date;PX_LAST
01/04/96;22,159
02/04/96;22,233
03/04/96;22,233
04/04/96;22,159
09/04/96;21,492
10/04/96;21,27
11/04/96;20,825
12/04/96;20,825
15/04/96;20,751
16/04/96;20,677
17/04/96;20,084
18/04/96;19,491
19/04/96;19,603
22/04/96;20,01
23/04/96;19,973
24/04/96;19,862
25/04/96;19,714
26/04/96;20,01
29/04/96;19,936
30/04/96;20,01
02/05/96;19,862
03/05/96;19,862
06/05/96;19,788
07/05/96;19,788
08/05/96;19,64
09/05/96;19,491
10/05/96;19,64
13/05/96;19,565
14/05/96;19,603
15/05/96;19,417
17/05/96;19,38
20/05/96;18,676
21/05/96;18,824
22/05/96;18,75
23/05/96;18,824
24/05/96;19,195
28/05/96;19,195
29/05/96;18,824
30/05/96;18,602
31/05/96;18,75
03/06/96;18,528
04/06/96;18,602
05/06/96;18,565
06/06/96;18,824
07/06/96;18,602
10/06/96;18,713
11/06/96;18,676
12/06/96;18,898
13/06/96;19,269
14/06/96;19,269
17/06/96;19,269
18/06/96;19,417
19/06/96;19,417
20/06/96;19,38
21/06/96;19,38
24/06/96;19,565
25/06/96;19,491
26/06/96;19,565
27/06/96;19,491
28/06/96;19,64
01/07/96;19,603
02/07/96;20,158
03/07/96;19,862
04/07/96;19,862
05/07/96;19,64
08/07/96;19,64
09/07/96;20,01
10/07/96;20,232
11/07/96;19,936
12/07/96;19,788
15/07/96;19,64
16/07/96;19,343
17/07/96;19,121
18/07/96;18,898
19/07/96;19,121
22/07/96;18,676
23/07/96;18,602
24/07/96;18,157
25/07/96;18,306
26/07/96;18,38
29/07/96;18,38
30/07/96;18,231
31/07/96;18,046
02/08/96;18,454
05/08/96;18,25
06/08/96;18,343
07/08/96;18,417
08/08/96;18,324
09/08/96;18,398
12/08/96;18,324
13/08/96;18,306
14/08/96;18,139
15/08/96;18,083
16/08/96;18,157
19/08/96;18,083
20/08/96;18,139
21/08/96;18,139
22/08/96;18,25
23/08/96;18,417
26/08/96;18,324
27/08/96;18,343
28/08/96;18,157
29/08/96;18,176
30/08/96;17,954
02/09/96;17,898
03/09/96;17,694
04/09/96;17,787
05/09/96;17,731
06/09/96;17,639
09/09/96;17,787
10/09/96;17,824
11/09/96;17,657
12/09/96;17,231
13/09/96;17,379
16/09/96;17,287
17/09/96;17,138
18/09/96;17,416
19/09/96;17,49
20/09/96;17,564
23/09/96;17,379
24/09/96;17,787
25/09/96;17,916
26/09/96;17,75
27/09/96;17,935
30/09/96;18,028
01/10/96;18,028
02/10/96;18,176
03/10/96;18,213
04/10/96;18,528
07/10/96;18,676
08/10/96;18,528
09/10/96;18,602
10/10/96;18,676
11/10/96;18,75
14/10/96;18,824
15/10/96;18,75
16/10/96;18,676
17/10/96;18,695
18/10/96;18,75
21/10/96;18,676
22/10/96;18,602
23/10/96;18,324
24/10/96;18,306
25/10/96;18,435
28/10/96;18,546
29/10/96;18,361
30/10/96;18,25
31/10/96;18,083
01/11/96;18,176
04/11/96;18,231
05/11/96;18,361
06/11/96;18,417
07/11/96;18,343
08/11/96;18,454
11/11/96;18,565
12/11/96;18,676
13/11/96;18,546
14/11/96;18,732
15/11/96;18,824
18/11/96;19,084
19/11/96;18,787
20/11/96;19,065
21/11/96;19,01
22/11/96;18,973
25/11/96;19,028
26/11/96;18,454
27/11/96;18,194
28/11/96;18,361
29/11/96;18,491
02/12/96;17,935
03/12/96;18,046
04/12/96;18,231
05/12/96;18,157
06/12/96;17,861
09/12/96;17,898
10/12/96;17,75
11/12/96;17,713
12/12/96;17,75
13/12/96;17,694
16/12/96;17,731
17/12/96;17,62
18/12/96;17,546
19/12/96;17,713
20/12/96;17,861
23/12/96;17,639
24/12/96;17,602
27/12/96;17,564
30/12/96;17,435
31/12/96;17,453
03/01/97;17,564
06/01/97;17,249
07/01/97;17,268
08/01/97;17,694
09/01/97;17,694
10/01/97;17,361
13/01/97;17,342
14/01/97;17,324
15/01/97;17,138
16/01/97;17,231
17/01/97;17,231
20/01/97;17,101
21/01/97;17,342
22/01/97;17,342
23/01/97;17,787
24/01/97;17,639
27/01/97;17,639
28/01/97;17,842
29/01/97;17,713
30/01/97;17,527
31/01/97;17,639
03/02/97;17,787
04/02/97;17,935
05/02/97;18,157
06/02/97;18,454
07/02/97;18,472
10/02/97;18,454
11/02/97;18,602
12/02/97;19,047
13/02/97;19,047
14/02/97;19,343
17/02/97;19,751
18/02/97;19,454
19/02/97;19,454
20/02/97;19,417
21/02/97;19,417
24/02/97;19,084
25/02/97;19,121
26/02/97;19,38
27/02/97;19,491
28/02/97;19,936
03/03/97;19,714
04/03/97;19,677
05/03/97;19,862
06/03/97;19,825
07/03/97;20,01
10/03/97;20,084
11/03/97;20,084
12/03/97;20,047
13/03/97;19,751
14/03/97;19,862
17/03/97;19,343
18/03/97;19,158
19/03/97;19,195
20/03/97;18,676
21/03/97;18,602
24/03/97;18,787
