Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/00;22,4241;37759,6016;877,5;3,0685;25109,2481;8193,5;171696,6008
03/07/00;22,4241;37759,6016;877,5;3,077;25109,2481;8193,5;171696,6008
04/07/00;22,4241;37759,6016;877,5;3,0703;25109,2481;8193,5;171696,6008
05/07/00;22,4241;37759,6016;877,5;3,0831;25109,2481;8193,5;171696,6008
06/07/00;22,4241;37759,6016;877,5;3,1548;25109,2481;8193,5;171696,6008
07/07/00;22,4241;37759,6016;877,5;3,1664;25109,2481;8193,5;171696,6008
10/07/00;22,4241;37759,6016;877,5;3,1743;25109,2481;8193,5;171696,6008
11/07/00;22,4241;37759,6016;877,5;3,2319;25109,2481;8193,5;171696,6008
12/07/00;22,4241;37759,6016;877,5;3,2667;25109,2481;8193,5;171696,6008
13/07/00;22,4241;37759,6016;877,5;3,2465;25109,2481;8193,5;171696,6008
14/07/00;22,4241;37759,6016;877,5;3,2208;25109,2481;8193,5;171696,6008
17/07/00;22,4241;37759,6016;877,5;3,1884;25109,2481;8193,5;171696,6008
18/07/00;22,4241;37759,6016;877,5;3,2239;25109,2481;8193,5;171696,6008
19/07/00;22,4241;37759,6016;877,5;3,2704;25109,2481;8193,5;171696,6008
20/07/00;22,4241;37759,6016;877,5;3,2637;25109,2481;8193,5;171696,6008
21/07/00;22,4241;37759,6016;877,5;3,2239;25109,2481;8193,5;171696,6008
24/07/00;22,4241;37759,6016;877,5;3,1737;25109,2481;8193,5;171696,6008
25/07/00;22,4241;37759,6016;877,5;3,1596;25109,2481;8193,5;171696,6008
26/07/00;22,4241;37759,6016;877,5;3,1456;25109,2481;8193,5;171696,6008
27/07/00;22,4241;37759,6016;877,5;3,1474;25109,2481;8193,5;171696,6008
28/07/00;22,4241;37759,6016;877,5;3,1462;25109,2481;8193,5;171696,6008
31/07/00;22,4241;37759,6016;877,5;3,2159;25109,2481;8193,5;171696,6008
01/08/00;22,4241;37759,6016;877,5;3,2135;25109,2481;8193,5;171696,6008
02/08/00;22,4241;37759,6016;877,5;3,2068;25109,2481;8193,5;171696,6008
03/08/00;22,4241;37759,6016;877,5;3,2123;25109,2481;8193,5;171696,6008
04/08/00;22,4241;37759,6016;877,5;3,2484;25109,2481;8193,5;171696,6008
07/08/00;22,4241;37759,6016;877,5;3,4271;25109,2481;8193,5;171696,6008
