Year,Quarter,MVA,DELTA_MVA
2000,3,564404.9678378527,0.0024024012367941053
2000,4,646861.781453183,0.14609512373927105
2001,1,627454.0629839469,-0.030002883190341653
2001,2,565340.7231567084,-0.09899264901058998
2001,3,587602.3110229856,0.03937729400064189
2001,4,485403.54345129186,-0.17392506063117913
2002,1,506341.7769884921,0.043135724532059
2002,2,504217.330769406,-0.004195676350708084
2002,3,424957.0915040041,-0.1571945953235194
2002,4,409175.287719357,-0.03713740539966582
2003,1,418136.7251446515,0.021901218607906024
2003,2,378874.53773480153,-0.09389796458626655
2003,3,465057.32098072005,0.22747050715306538
2003,4,512687.66816819244,0.10241822897665341
2004,1,491240.60675658955,-0.04183260636682012
2004,2,448929.2469599542,-0.08613164142922876
2004,3,473655.7912977791,0.05507893394174561
2004,4,473990.5510899554,0.0007067575195460711
2005,1,495963.5342761409,0.046357428720167536
2005,2,551143.5141959627,0.11125813917016499
2005,3,544017.301095092,-0.012929868386942408
2005,4,581644.6245987507,0.06916567437821551
2006,1,1268346.2491681003,1.1806205980895512
2006,2,1375794.197870287,0.08471499700705638
2006,3,1424076.09337769,0.03509383567843413
2006,4,1526955.941150412,0.07224322369509531
2007,1,1484630.9768752996,-0.027718523589635898
2007,2,1575104.7541443815,0.06094024621492266
2007,3,1468597.5476786299,-0.06761912576640518
2007,4,1351519.0374179136,-0.0797213031206398
2008,1,1437966.9206354104,0.0639634964984704
2008,2,1010086.1780610491,-0.297559517144726
2008,3,944495.3157642791,-0.06493590717445269
2008,4,649603.7220635618,-0.3122213406236886
2009,1,436766.56127303274,-0.3276415352338507
2009,2,332424.3148731599,-0.23889705772289216
2009,3,529034.7710675059,0.5914442698614415
2009,4,739844.610978252,0.3984801216097123
2010,1,622832.7634171881,-0.15815732901851676
2010,2,601066.3302860515,-0.03494747612780433
2010,3,521047.44870593044,-0.13312820490550442
2010,4,537726.2984686162,0.03201023208943684
2011,1,441217.5551877379,-0.17947558740519906
2011,2,479193.71360252297,0.08607127701123816
2011,3,396399.388249946,-0.17277840464587652
2011,4,247096.37389107354,-0.37664794342399643
2012,1,226386.50399622676,-0.08381292517054995
2012,2,355227.78804435185,0.5691208697240738
2012,3,265409.5201479332,-0.2528469644531424
2012,4,290238.81038254144,0.09355086517156185
2013,1,320871.58560893056,0.1055433461362883
2013,2,283814.34728244285,-0.1154893109533608
2013,3,305006.5330444661,0.07466918415133357
2013,4,392121.9471800138,0.285618190751499
2014,1,491047.9447945946,0.2522837559234251
2014,2,679787.5380290396,0.38436082511941844
2014,3,631071.2543971171,-0.07166398456372036
2014,4,625454.0511113034,-0.008901060294974105
2015,1,540661.1690805134,-0.13557012202595928
2015,2,655293.2562593557,0.2120220458476678
2015,3,640249.5286837552,-0.02295724461056624
2015,4,589487.1101688979,-0.0792853664714385
2016,1,536715.3657759071,-0.08952145599565502
2016,2,335046.3284951975,-0.37574671816813926
2016,3,220218.7106717931,-0.34272161208013463
