Date;PX_LAST
01/02/95;5,5896
02/02/95;5,5484
03/02/95;5,5896
06/02/95;5,4934
07/02/95;5,4797
08/02/95;5,3836
09/02/95;5,4248
10/02/95;5,4
13/02/95;5,2654
14/02/95;5,2819
15/02/95;5,1473
16/02/95;5,0814
17/02/95;5,0485
20/02/95;5,0292
21/02/95;4,9551
22/02/95;4,9056
23/02/95;4,8342
24/02/95;4,8644
27/02/95;4,7573
28/02/95;4,9166
01/03/95;4,9303
02/03/95;4,837
03/03/95;4,7381
06/03/95;4,793
07/03/95;4,6474
08/03/95;4,5788
09/03/95;4,4881
10/03/95;4,5733
13/03/95;4,4826
14/03/95;4,598
15/03/95;4,4359
16/03/95;4,4826
17/03/95;4,2986
20/03/95;4,3261
21/03/95;4,4634
22/03/95;4,348
23/03/95;4,2986
24/03/95;4,3645
27/03/95;4,4085
28/03/95;4,3975
29/03/95;4,4057
30/03/95;4,4552
31/03/95;4,4195
03/04/95;4,3673
04/04/95;4,4442
05/04/95;4,4634
06/04/95;4,5595
07/04/95;4,5733
10/04/95;4,5733
11/04/95;4,6062
12/04/95;4,7243
13/04/95;4,8095
14/04/95;4,8946
18/04/95;4,8452
19/04/95;4,8617
20/04/95;4,8974
21/04/95;4,8891
24/04/95;4,8617
26/04/95;4,988
27/04/95;5,0677
28/04/95;5,216
02/05/95;5,2435
03/05/95;5,1775
04/05/95;5,1913
05/05/95;5,183
08/05/95;5,0951
09/05/95;5,1858
10/05/95;5,3204
11/05/95;5,3808
12/05/95;5,3973
15/05/95;5,3973
16/05/95;5,3918
17/05/95;5,3918
18/05/95;5,2105
19/05/95;5,1501
22/05/95;5,1473
23/05/95;5,0539
24/05/95;5,0951
25/05/95;4,999
26/05/95;4,9221
29/05/95;4,9413
30/05/95;5,0924
31/05/95;5,1583
01/06/95;5,1034
02/06/95;5,1363
05/06/95;5,1913
06/06/95;5,2242
07/06/95;5,2187
08/06/95;5,2105
09/06/95;5,1803
